raw_id,gene,logFC,unshrunk.logFC,logCPM,PValue,FDR,sample,tumor,Cell_line,Estrogen_status
Adrenal.2,7503,-7.161248667,-7.208721789,6.932172387,7.16E-06,0.131603007,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,283463,7.041404756,7.219114814,4.978438755,3.98E-05,0.365894368,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,101929335,5.773736011,5.949644454,3.764124944,0.00064549,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,4584,5.340558172,5.43061892,4.23405241,0.000739161,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,55816,5.660600827,5.836257721,3.658816824,0.000818449,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,26085,4.777685401,4.800456999,5.592715286,0.000953809,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,285313,5.896788894,6.229921569,3.091004415,0.001228212,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,10562,4.633004052,4.655685475,5.454989437,0.001304206,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,100131257,6.101229874,6.580917707,2.863420759,0.001392895,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,273,4.578553708,4.60440497,5.216530897,0.001552172,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,4143,4.981287074,5.070722974,3.898147698,0.001574459,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,105373990,4.525167463,4.555233514,4.95172302,0.001869512,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,23114,5.237240995,5.411759892,3.271333068,0.001946944,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,55911,5.179321427,5.353656938,3.219235142,0.002185649,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,10202,4.648417857,4.708152895,4.122736707,0.002222844,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,10071,4.302757305,4.319110604,5.590813506,0.002353521,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,89795,5.118978964,5.293115396,3.165217651,0.00246355,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,63928,4.653146989,4.724547333,3.886224741,0.00253988,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,773,4.747321072,4.836257721,3.683090418,0.002541944,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,56999,4.225490219,4.239299186,5.754185539,0.002641197,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,63895,5.07730125,5.25129522,3.128068081,0.002674563,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,79776,5.034383607,5.208226498,3.0899533,0.00290953,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,4036,4.944517144,5.118028689,3.010618889,0.003465627,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,654463,4.498750106,4.569824739,3.745252705,0.003469619,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,563,4.126849047,4.1478319,5.064188702,0.003700731,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,2904,4.897393637,5.070722974,2.969283695,0.003795532,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,22873,4.897393637,5.070722974,2.969283695,0.003795532,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,285175,4.897393637,5.070722974,2.969283695,0.003795532,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,4915,4.897393637,5.070722974,2.969283695,0.003795532,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,3371,5.731193076,6.33375738,2.306882749,0.003883431,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,146177,4.119098648,4.148725486,4.573747272,0.004334185,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,59352,4.467926069,4.556149802,3.430861786,0.004433409,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,9256,4.798261341,4.971187301,2.882950109,0.004587371,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,10350,4.798261341,4.971187301,2.882950109,0.004587371,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,57575,-3.974131824,-3.989972957,5.334982559,0.004784632,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,100846978,5.445740398,5.921954625,2.302715563,0.004806647,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,83657,4.746017971,4.918719881,2.837802889,0.005064012,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
Adrenal.2,284837,4.746017971,4.918719881,2.837802889,0.005064012,0.999967231,Adrenal.2,Adrenal,MCF-7,E2
