genes,logFC
7503,-7.161248667
283463,7.041404756
101929335,5.773736011
4584,5.340558172
55816,5.660600827
26085,4.777685401
285313,5.896788894
10562,4.633004052
100131257,6.101229874
273,4.578553708
4143,4.981287074
105373990,4.525167463
23114,5.237240995
55911,5.179321427
10202,4.648417857
10071,4.302757305
89795,5.118978964
63928,4.653146989
773,4.747321072
56999,4.225490219
63895,5.07730125
79776,5.034383607
4036,4.944517144
654463,4.498750106
563,4.126849047
2904,4.897393637
22873,4.897393637
285175,4.897393637
4915,4.897393637
3371,5.731193076
146177,4.119098648
59352,4.467926069
9256,4.798261341
10350,4.798261341
57575,-3.974131824
100846978,5.445740398
83657,4.746017971
284837,4.746017971
5175,4.096938276
1612,4.691811433
54885,4.691811433
253982,4.342762309
2153,4.32396124
51715,-4.152854957
8029,4.635488405
9369,4.2856077
100169751,-3.898047344
150000,-4.588592253
3651,4.576876871
124773,4.576876871
6854,4.576876871
100169756,-3.835859743
100169757,-3.835859743
100169755,-3.834097167
100169753,-3.832710773
100169754,-3.832710773
100169759,-3.818511546
51252,4.546653282
116496,4.205699209
100169758,-3.815871712
9496,3.768834881
4744,4.515782955
27145,4.515782955
201625,3.703833483
91156,4.164021494
54848,3.756650818
1281,-3.682132947
6286,3.699725144
2568,-3.693301508
101927666,4.451987046
347731,-3.954000463
5655,3.530183104
25790,3.820668073
222256,3.76122333
230,4.385239041
129446,4.385239041
646300,4.385239041
1384,4.385239041
92749,3.8784018
287,3.8784018
200373,4.031237389
5327,3.592716612
375323,3.984113882
6910,4.315252415
5104,3.494489998
3745,3.806464157
641455,4.899519245
283310,3.935399029
133396,4.645085395
8618,3.61467532
266675,4.241696795
126638,4.241696795
55359,4.241696795
4069,4.241696795
150084,4.241696795
1836,3.363037134
79740,3.443641542
118430,3.644215976
374407,3.730750344
645191,3.845977488
127670,4.164188524
716,4.164188524
84530,4.164188524
146212,4.164188524
152273,4.164188524
4045,4.164188524
57709,4.164188524
5294,4.164188524
115019,3.832738216
79935,3.325611021
100873980,3.650841853
342538,3.650841853
100874243,3.630153492
2849,3.778531678
344387,3.778531678
800,3.778531678
103504739,-4.070495016
100505967,-3.435154987
2977,-3.759469167
23026,3.251262439
270,3.609164138
6688,4.08227855
6664,4.08227855
8291,4.08227855
140731,4.08227855
389136,4.08227855
165721,4.08227855
6586,4.08227855
9844,4.08227855
55026,4.08227855
221491,-4.076726966
123041,4.039510931
653641,4.137775607
916,4.424699763
259232,4.424699763
2947,3.204493595
2069,-4.006788459
5799,3.443135291
84229,3.995436665
1770,3.995436665
79853,3.995436665
57091,3.995436665
132204,3.995436665
22798,3.995436665
116443,3.995436665
3908,3.522012882
23495,3.663597116
5923,3.499376872
54768,3.235694598
55071,-3.933285989
116285,3.6025032
400867,3.6025032
89766,3.6025032
151887,3.6025032
131034,3.6025032
80258,3.6025032
653113,4.300444477
64333,4.300444477
253573,4.300444477
93432,4.300444477
8224,3.912542219
388697,3.903030689
84457,3.903030689
348021,3.903030689
114088,3.903030689
390598,3.903030689
930,3.903030689
391257,3.903030689
100505625,3.903030689
23414,3.903030689
128102,3.429256525
3778,3.429256525
400891,3.570957848
80122,3.331004322
10100,3.538707291
728194,4.234058687
79747,3.380541673
79838,3.291603255
12,2.978942395
5858,3.804298514
51411,3.804298514
91807,3.804298514
339145,3.804298514
646457,3.804298514
5136,3.804298514
199221,3.804298514
10891,3.804298514
401124,3.804298514
80243,3.804298514
200162,3.151850864
55130,3.181690471
54715,4.164470182
101929567,3.33012423
6900,3.471959286
9734,3.471959286
137902,3.471959286
126433,-3.773992666
7367,3.299638409
339479,-3.133191904
138474,3.752277288
154664,3.295331167
4921,3.437390322
6101,3.554546543
93035,2.973510602
10720,3.105657182
8110,3.27788086
84125,3.015125434
30817,3.533321204
200772,4.091354202
5588,3.40197266
344405,3.40197266
167838,3.40197266
10404,3.40197266
10125,-2.891292374
102723475,3.511778924
23046,3.166500474
90288,3.166500474
57554,3.698309867
388698,3.698309867
7139,3.698309867
