genes,logFC
339145,6.378585319
101927736,6.031513347
5858,6.031513347
145837,6.031513347
101927851,5.89440694
100507091,5.89440694
165186,5.89440694
101930452,5.742889063
253982,5.706966303
6791,5.661059821
100,5.573570352
128344,5.562057924
103625681,5.507804806
89766,5.408036553
6101,5.398753545
4005,5.381704416
144571,5.381704416
383,5.381704416
283575,5.292839483
7125,5.292839483
201625,5.221398391
101927560,5.160350197
255512,5.160350197
105369311,5.160350197
202374,5.160350197
200772,5.14903578
338442,4.928710096
353149,4.928710096
100130148,4.928710096
6853,4.928710096
132228,4.919846486
127733,4.898768021
9576,4.898768021
120400,4.898768021
716,4.898768021
359,4.898768021
283948,4.898768021
9229,4.898768021
80086,4.898768021
140706,4.898768021
100507244,4.898768021
1325,4.87901533
785,4.871461589
402160,4.756264519
102723743,4.756264519
200162,4.751777301
1116,4.709696619
338761,4.709696619
100874231,4.709696619
8651,4.709696619
6528,4.709696619
85477,4.709696619
4062,4.668564158
400499,4.631064651
92749,4.631064651
100127888,4.585924582
388697,4.579015532
4069,4.579015532
101929110,4.579015532
6910,4.579015532
6252,4.579015532
6458,4.579015532
8170,4.579015532
400710,4.579015532
3373,4.579015532
10744,4.579015532
3128,4.579015532
259285,4.579015532
1491,4.517830684
80070,4.517830684
952,4.517830684
100189359,4.493958244
399694,4.493958244
101928794,4.390079581
150356,4.387922453
25790,4.366043306
164656,4.366043306
653113,4.35095795
254272,4.35095795
102465526,4.35095795
55001,4.342440366
30008,4.342440366
79747,4.342440366
92340,4.331603003
10100,4.296476465
2153,4.296476465
116337,4.296476465
645191,4.296476465
1436,4.296476465
728763,4.286736733
219670,4.281084605
9247,4.240843438
4610,4.174983554
9770,4.173121655
100188987,4.173121655
27019,4.173121655
374973,4.167596769
283463,4.167596769
1735,4.167596769
123264,4.167596769
80125,4.167596769
55911,4.167596769
256957,4.167596769
83546,4.167596769
646457,4.167596769
53827,4.167596769
342897,4.167596769
147719,4.167596769
100271832,4.167596769
101929696,4.167596769
285643,4.167596769
102465139,4.167596769
399693,4.167596769
132203,4.146888305
1368,4.127531045
113179,4.083362138
100506380,4.068722425
414918,4.059212502
414318,4.059212502
80133,4.034894288
51046,4.034894288
150946,4.034894288
151887,4.034894288
4880,3.98125572
644990,3.98125572
50853,3.98125572
2719,3.98125572
23105,3.934012634
102724077,3.921528517
100129434,3.911773223
101928002,3.907450831
149465,3.833658681
148713,3.822199759
284757,3.818213777
51279,3.809975541
956,3.806331448
389799,3.806331448
102467224,3.796906226
101929570,3.782900442
54863,3.782900442
102465486,3.772991721
9056,3.759901501
100189163,3.759901501
65266,3.759901501
101927043,3.759901501
202500,3.759901501
100128750,3.759901501
100132077,3.75164248
51751,3.74180354
30014,3.732368167
728712,3.732368167
7145,3.716728823
59352,3.7151418
10000,3.7151418
81029,3.7151418
83758,3.7151418
51561,3.7151418
145581,3.7151418
374569,3.7151418
2628,3.7151418
148046,3.7151418
200373,3.7151418
3623,3.7151418
7032,3.7151418
100126791,3.7151418
136288,3.7151418
130367,3.70643249
642987,3.68113158
117154,3.673637609
8843,3.671943374
375719,3.646991748
8412,3.645388349
221468,3.635030904
149473,3.621343312
197135,3.621343312
1580,3.591034507
57710,3.591034507
100509620,3.591034507
100874244,3.591034507
90632,3.590767787
54970,3.559651223
440993,3.552900228
101927685,3.551637502
79029,3.544025172
22801,3.544025172
79740,3.53895552
374618,3.537006759
137872,3.537006759
643376,3.534051715
84216,3.527346852
100616468,3.52404872
101927824,3.52404872
136263,3.52404872
153643,3.519284027
84125,3.504016295
388588,3.498319324
126859,3.498319324
57559,3.498319324
105371591,3.498319324
80054,3.498319324
200420,3.498319324
105369214,3.498319324
154467,3.498319324
105375304,3.498319324
55036,3.493654679
6517,3.476069638
222256,3.476069638
146754,3.462834976
6097,3.460323729
5664,3.456636279
100134934,3.426766905
100507057,3.422051051
79948,3.393734376
440836,3.392507295
56971,3.369680288
389118,3.369680288
90288,3.369680288
83884,3.369680288
100130771,3.369680288
100130705,3.369680288
342132,3.369334206
57106,3.353648695
8395,3.328929145
64063,3.312737833
105369190,3.284203702
55259,3.284203702
4861,3.284203702
130540,3.284203702
200942,3.284203702
105375110,3.284203702
100874366,3.280954319
100130987,3.278887089
79854,3.277456183
112611,3.276406983
720,3.257138675
653162,3.256248284
7127,3.238451626
79574,3.223188584
9597,3.223188584
2583,3.221007132
148696,3.205086545
1606,3.188302656
730183,3.177411267
400946,3.153231519
55200,3.141780681
474343,3.125620559
728621,3.113251758
79414,3.113251758
2891,3.113251758
3934,3.113251758
100873995,3.108098111
642819,3.108098111
8798,3.108098111
100652865,3.108098111
9154,3.108098111
100288072,3.108098111
3801,3.108098111
200728,3.108098111
144535,3.103654161
10309,3.089345025
197358,3.070404456
441389,3.070404456
6609,3.062849483
3223,3.062849483
51172,3.062849483
57139,3.049668048
10233,3.042332879
57085,3.039750355
9469,3.031322648
644656,3.031322648
100505538,3.031322648
146177,3.031322648
84657,3.031322648
153020,3.031322648
222699,3.031322648
25806,3.016728215
3399,3.008092557
374470,3.008092557
84465,3.008092557
23604,2.990262804
259173,2.990262804
55330,2.990262804
8404,2.990262804
100526825,2.982816531
84182,2.982816531
59285,2.97614535
90342,2.97614535
51127,2.955207386
57452,2.955207386
51537,2.940422862
166979,2.940298961
84812,2.934548255
105377650,2.915346804
345643,2.844100464
5778,2.843233976
89876,2.842210832
2912,2.840274875
122622,2.836498919
100129250,2.832031922
644096,2.830007518
51533,2.830007518
150082,2.824756484
399671,2.809634266
399512,2.777298777
51192,2.757167896
84311,2.751305324
115811,2.744691317
84100,2.744691317
84883,2.742195351
1767,2.73864434
123872,2.708938287
286207,2.69842863
27075,-2.792179273
286410,-2.854907442
80063,-2.877483538
4256,-2.962480327
10611,-3.030169758
23176,-3.071238417
63901,-3.086816777
3161,-3.103500076
25814,-3.137389025
728927,-3.143781769
6018,-3.169614771
79703,-3.181370455
55973,-3.181370455
92335,-3.197523855
1196,-3.209496395
9318,-3.265504414
79983,-3.265504414
8405,-3.325533821
847,-3.410076333
84335,-3.419153384
84890,-3.428173682
157378,-3.438581983
79647,-3.446046824
