"genes","logFC","logCPM","PValue","FDR"
"1363",6.11706609170199,7.87225318562537,3.20806867555938e-05,0.476975650682168
"347",5.7738445465962,7.53542519072413,6.93335739673348e-05,0.515425788873167
"345557",-5.74463004767954,6.1184954111742,0.000106670799978904,0.5261090847892
"10202",5.76185915594159,5.79430591754994,0.000141541319555878,0.5261090847892
"23213",-5.34330470803224,7.19919977712103,0.000177596793912981,0.528101826379641
"10125",-5.15887797769708,6.93451524601651,0.000231931791980441,0.556772870236248
"5327",5.25251898802243,6.40842431393923,0.000262134119696915,0.556772870236248
"10409",5.0727241294085,6.23479821982205,0.000387539723049209,0.709931647656051
"57575",-5.17090353481651,5.31440667393138,0.00042974070681359,0.709931647656051
"5104",4.95337567540916,5.67127875215989,0.000590585061128384,0.849045982017143
"10561",-5.17332456269186,4.62247999725918,0.000696381946450993,0.849045982017143
"753",-4.71129809760556,5.97577880509562,0.000709459903538123,0.849045982017143
"29909",-4.62089175482691,6.77060199034632,0.000742372731115339,0.849045982017143
"63928",5.03656183447283,4.78937351806222,0.000824232544225367,0.875334961967339
"132430",-4.75757411271184,5.17448456580442,0.000919053648158745,0.910965976054948
"55008",-4.67274936961383,5.09478297241679,0.00110724861637511,1
"100505967",4.18538596559202,7.19115621182679,0.00170576848479088,1
"6445",4.68080105124281,4.4545304490319,0.00175615710137518,1
"27443",4.31763341953108,4.55130788996184,0.00236111198143465,1
"23639",4.66649362418937,4.05480223765641,0.00241447682739536,1
"624",4.09784781613349,5.83874068631909,0.00269991115463595,1
"54809",-4.03080934232214,6.24847568237396,0.00274848623442908,1
"29933",-4.10607394904061,5.12831645059138,0.00284800515332501,1
"256764",4.01646672177054,5.36859353482983,0.00345443046739577,1
"25849",4.19484990659868,4.5573291397469,0.00351745871822912,1
"5314",4.12522270289784,4.49328122289823,0.0040387534144414,1
"101929206",4.08196190333554,4.20496838782846,0.00508818680180555,1
"7052",-3.79054348088561,4.98571915797418,0.00511812902052267,1
"171019",-3.6697663684417,6.16205189534446,0.00543242702667525,1
"26834",-3.57284136759247,7.80150608238243,0.00550798072480544,1
"1836",3.73818262049929,5.59126166404403,0.00552935767063809,1
"7366",3.6330812743587,6.03210982849123,0.00567447694784545,1
"223117",-3.61460719132295,6.46213374381133,0.00567665882078234,1
"57526",4.08224059958576,3.90482209299042,0.0059696651974504,1
"7078",3.71248674859263,5.29386410209793,0.00617499146067467,1
"3694",-3.65147983348855,5.75727897337648,0.00620738024686764,1
"1326",3.52318329233185,7.28458791415186,0.00622787552875309,1
"3623",3.82761316943843,4.61766903043498,0.00624682400552495,1
"9383",-3.67635781644283,5.21133923806654,0.00625541750084222,1
"4286",3.93409400158099,4.07111918175433,0.00678792588954549,1
"56999",3.77373555538804,4.56878516719626,0.0069360374025708,1
"90649",3.52751073407978,5.69790546607395,0.00699629380794976,1
"5655",3.63020923091818,5.31593704859384,0.00712561220328353,1
"8519",-3.59959802417464,5.39365570414969,0.00731006738672309,1
"10317",3.85405878185626,3.99925762323168,0.00791786104771091,1
"339479",-3.77457924789401,4.02578335384817,0.00791786104771091,1
"3429",-3.38421607443868,6.98513273829436,0.00839341469103953,1
"4128",3.5560111394666,5.15157539551888,0.00851072318386743,1
"2515",3.99365321896185,3.44713329298269,0.00944575000087737,1
"55601",-3.35954379265951,6.09078021956475,0.00974561830734378,1
"79689",3.8197362946343,3.67065279170723,0.00984005043303927,1
"347731",-3.62069034395036,3.8902870635336,0.0105576996271848,1
"57586",3.93108278327673,3.39220985239947,0.0106307334221059,1
"3437",-3.40165666548385,4.63723199583302,0.0110644679618064,1
"1290",3.61749059103728,4.03496894853774,0.011131114077712,1
"2568",-3.29803279580815,5.93434157448487,0.0112026872356782,1
"150",3.89874959355311,3.36394971007888,0.0112959003597803,1
"6781",3.23640963789345,6.11993491124818,0.0118864463377452,1
"857",-3.22121242861697,6.31266340798172,0.0120468257495416,1
"83872",-3.16402907931684,7.27008214064591,0.0125905036002131,1
"12",3.18334860024139,6.47240986240078,0.0130387900160311,1
