genes,logFC,logCPM,PValue,FDR
101928635,6.564369379,4.588485384,0.000193532,0.379703537
10218,6.175967419,4.630005858,0.000193532,0.379703537
83733,6.062333731,3.875737091,0.000629255,0.379703537
100129075,5.936946451,3.722280584,0.000833396,0.379703537
9148,5.789287468,4.083042723,0.000485619,0.379703537
5146,5.673931771,3.93791817,0.000629255,0.379703537
23581,5.647822702,3.403781764,0.001738108,0.417526694
606495,5.530748349,4.582949423,0.000942845,0.379703537
100874201,5.458831406,4.299780355,0.001430165,0.408188688
56971,5.41121327,3.637752717,0.001132719,0.379703537
3400,5.316203915,4.62259105,0.000942845,0.379703537
8605,5.285854067,3.067254924,0.003967621,0.522788168
53833,5.285854067,3.067254924,0.003967621,0.522788168
344807,5.265967156,5.585144178,0.000619387,0.379703537
81893,5.259420742,3.48242514,0.001588271,0.417526694
387638,5.223173515,4.497523042,0.001153693,0.379703537
100505736,5.223173515,4.497523042,0.001153693,0.379703537
5329,5.137556664,5.173344395,0.001125264,0.379703537
5596,5.105505783,3.70622865,0.001132719,0.379703537
219858,5.063912565,2.890586849,0.006572417,0.644368794
8404,5.036442572,4.538533595,0.001153693,0.379703537
138649,4.981551454,3.350084474,0.00255993,0.435944605
2644,4.936997184,4.413728542,0.001430165,0.408188688
339883,4.903258736,4.847006432,0.0018491,0.417526694
135250,4.901561395,4.105952064,0.002456124,0.435944605
81617,4.871134273,4.577936221,0.001153693,0.379703537
2184,4.871134273,4.577936221,0.001153693,0.379703537
3820,4.815865608,4.732690772,0.002329471,0.432863509
128229,4.80150921,2.706963114,0.011917968,0.742933945
105377650,4.776174115,3.970330233,0.003222855,0.476653605
10668,4.738989882,6.180980416,0.00104986,0.379703537
574407,4.722871245,5.860239699,0.000946079,0.379703537
93611,4.722835208,4.615849962,0.002836663,0.437389306
90632,4.722601641,2.450427327,0.024616561,0.762376983
84134,4.629809906,4.181248553,0.002302471,0.432863509
8632,4.592799629,3.015066135,0.006572417,0.644368794
23710,4.59174462,3.245773352,0.014317937,0.742933945
414318,4.59174462,3.245773352,0.014317937,0.742933945
631,4.589443171,4.024720541,0.003222855,0.476653605
7483,4.588369343,4.652381306,0.002836663,0.437389306
116224,4.567348067,5.707811356,0.001205075,0.379703537
55848,4.542400707,5.410096745,0.001861691,0.417526694
9543,4.539560079,6.213089338,0.00168235,0.417526694
79029,4.531932961,3.477750129,0.008584784,0.679556067
84465,4.487050366,3.691590943,0.00599272,0.620417704
10202,4.480527173,2.514959635,0.024616561,0.762376983
554203,4.45617631,5.430535556,0.001861691,0.417526694
10609,4.445077489,4.83160624,0.002221444,0.432863509
170082,4.445077489,4.83160624,0.002221444,0.432863509
26353,4.41310725,2.816724723,0.011917968,0.742933945
5317,4.401223088,4.251698148,0.005554459,0.591958345
83478,4.382112919,4.416970277,0.004372288,0.530920241
201625,4.365929349,4.573376659,0.003497196,0.496944638
2274,4.357700008,6.316159781,0.002285271,0.432863509
3767,4.317388527,3.54829117,0.008584784,0.679556067
284486,4.286803652,3.945897165,0.004332002,0.530920241
8820,4.286803652,3.945897165,0.004332002,0.530920241
93034,4.273294793,2.576528602,0.024616561,0.762376983
93164,4.230521034,5.267395998,0.002610761,0.435944605
84791,4.155793094,5.609687207,0.002812043,0.437389306
100499467,4.154343494,5.401197447,0.003724888,0.516909002
285671,4.145790665,4.495840077,0.004372288,0.530920241
144699,4.141369942,4.173694662,0.007187629,0.651109349
130367,4.125081731,3.402108933,0.012842563,0.742933945
114905,4.125081731,3.402108933,0.012842563,0.742933945
29760,4.117684664,3.17131698,0.023003461,0.761214973
51233,4.117684664,3.17131698,0.023003461,0.761214973
57214,4.095636155,5.722685337,0.003780347,0.516909002
5653,4.092125214,2.635387971,0.024616561,0.762376983
284541,4.067065061,2.312696376,0.048177131,0.804134996
647946,4.067065061,2.312696376,0.048177131,0.804134996
101926889,4.067065061,2.312696376,0.048177131,0.804134996
100189268,4.067065061,2.312696376,0.048177131,0.804134996
100874300,4.067065061,2.312696376,0.048177131,0.804134996
3397,4.049596809,4.678691997,0.006780989,0.646603016
284408,4.04261001,5.82891806,0.003339394,0.484011821
374659,4.021262642,5.92258914,0.004400332,0.530920241
100996437,4.018375337,4.219247961,0.007187629,0.651109349
57644,4.013578813,4.832430785,0.005264348,0.591958345
100874366,4.00642798,3.212670156,0.020301247,0.761214973
51265,4.004038722,4.049363577,0.010229187,0.733969462
101928834,3.965349285,3.678194966,0.008584784,0.679556067
79973,3.965349285,3.678194966,0.008584784,0.679556067
103021295,3.921990176,3.365333372,0.016021153,0.747929873
26230,3.900155512,2.541676174,0.030341342,0.765008257
319085,3.889295076,3.708607669,0.019701559,0.761214973
8495,3.881044116,4.097793855,0.010229187,0.733969462
105370579,3.855281308,3.01202988,0.039960247,0.797773862
100507002,3.855281308,3.01202988,0.039960247,0.797773862
101954266,3.844305918,4.753605643,0.006780989,0.646603016
389072,3.835796333,5.496419943,0.005858739,0.615337379
9501,3.806755744,3.291556278,0.020301247,0.761214973
