genes,logFC,logCPM,PValue,FDR
10202,4.977532077,3.875334637,0.001910488,1
105373990,4.932780868,4.925693652,0.001369491,1
101929567,4.726538983,3.612752046,0.003222855,1
353322,3.975036499,2.666133074,0.023003461,1
8632,3.859584814,3.287832796,0.016518134,1
105376526,3.846947373,2.983443247,0.012842563,1
27296,3.827319895,2.986357955,0.012842563,1
5358,3.807669398,3.992620098,0.008917347,1
57010,3.796749685,2.755483287,0.020301247,1
101927282,3.796749685,2.755483287,0.020301247,1
101927102,3.75098967,3.105634235,0.023728585,1
57514,3.722089916,3.400367203,0.01397127,1
78997,3.702178106,3.654284346,0.016669671,1
8110,3.659895584,2.64732251,0.026191573,1
147807,3.659895584,2.64732251,0.026191573,1
100506286,3.659895584,2.64732251,0.026191573,1
100873986,3.644467388,3.015099409,0.028891018,1
146177,3.628365928,3.58609933,0.019182577,1
100996761,3.58743365,2.519994346,0.034504839,1
6459,3.568427407,2.952258658,0.035608143,1
3563,3.542078866,3.241729468,0.019701559,1
102723320,3.529448445,2.920628829,0.035608143,1
91179,3.508685833,2.533504678,0.034504839,1
26468,3.508685833,2.533504678,0.034504839,1
105370641,3.442883811,3.157790261,0.023728585,1
2784,3.438684164,3.535131559,0.022209555,1
100130100,3.434014805,2.546863875,0.034504839,1
398,3.404458972,2.821891254,0.044495486,1
23566,3.339751896,2.413400665,0.046588422,1
64377,3.339751896,2.413400665,0.046588422,1
5452,3.339751896,2.413400665,0.046588422,1
57333,3.339751896,2.413400665,0.046588422,1
1950,3.339751896,2.413400665,0.046588422,1
652995,3.33636153,3.070479911,0.028891018,1
254559,3.333448984,4.248085913,0.016710229,1
57657,3.315786977,3.640915139,0.019182577,1
161497,3.312028611,2.641090163,0.029977458,1
101927233,3.302358524,3.906659236,0.019938386,1
1636,3.258161349,3.140503868,0.026145302,1
161142,3.221342586,2.979545993,0.035608143,1
10071,3.170257284,4.097853133,0.022758476,1
10873,3.157696546,4.222226718,0.026466514,1
399833,3.13031369,2.455364196,0.046588422,1
10663,3.103350815,4.173026316,0.029256302,1
400746,3.096353113,2.884701914,0.044495486,1
54033,3.096353113,2.884701914,0.044495486,1
11172,3.096353113,2.884701914,0.044495486,1
346157,3.072612759,3.334022479,0.03596681,1
4578,3.015795743,7.463094139,0.016961051,1
257106,2.986223387,3.935327264,0.03197569,1
101927217,2.973417705,3.255322772,0.042941864,1
84069,2.876559403,3.278431344,0.042941864,1
752014,2.876559403,3.278431344,0.042941864,1
4575,2.826399369,6.04701429,0.027705666,1
340706,2.81179794,3.490975074,0.048755938,1
54432,2.749189046,3.990168697,0.0451262,1
4564,2.736794181,6.470616523,0.030941525,1
114818,2.729693128,4.193364621,0.043951187,1
3747,2.623210785,6.55549915,0.036727184,1
57139,2.57204356,5.286597087,0.045910598,1
9383,2.541566745,7.306386525,0.040058284,1
54414,2.529916463,6.384243981,0.044437211,1
26869,2.499613478,10.97268296,0.041252514,1
6060,2.448669042,10.97457055,0.045168442,1
57575,-2.871487941,5.498020462,0.035832011,1
100169758,-2.884602363,4.93034919,0.047961613,1
100169759,-2.88724063,4.932499748,0.047961613,1
1646,-2.896733773,5.284870426,0.037122125,1
100169753,-2.958217547,4.92263733,0.039317099,1
100169754,-2.958217547,4.92263733,0.039317099,1
100169755,-2.959603116,4.923769876,0.037618327,1
100507321,-2.960504394,4.693172385,0.046268555,1
100169756,-2.961364645,4.925209847,0.037618327,1
100169757,-2.961364645,4.925209847,0.037618327,1
100169751,-3.021338855,4.884261279,0.041116446,1
9902,-3.02905895,4.74908863,0.041781735,1
10057,-3.052128936,5.128984527,0.032027414,1
91661,-3.11689419,4.821009842,0.034370009,1
6657,-3.126481114,4.828878635,0.034370009,1
5337,-3.207283229,4.395351165,0.043683065,1
28973,-3.225272952,4.220203624,0.041803114,1
9675,-3.226093018,4.410710254,0.040945072,1
132430,-3.230316692,4.914341157,0.028574866,1
54903,-3.244660718,4.425884527,0.040945072,1
23270,-3.291612742,4.964993113,0.026149751,1
594,-3.368345164,4.527286804,0.03197569,1
92105,-3.372572213,4.530762149,0.03197569,1
390916,-3.501686025,4.637223429,0.025394418,1
8625,-3.545400752,4.068331474,0.033027074,1
51318,-3.587831259,4.708583383,0.021573094,1
51255,-3.599039736,3.888542259,0.047090186,1
401261,-3.599039736,3.888542259,0.047090186,1
126017,-3.624732886,3.909451609,0.047090186,1
55929,-3.626945598,3.911253465,0.047090186,1
4750,-3.626945598,3.911253465,0.047090186,1
55916,-3.626945598,3.911253465,0.047090186,1
91869,-3.654321908,3.933561222,0.042941864,1
139065,-3.654321908,3.933561222,0.042941864,1
10179,-3.681188389,3.95547972,0.042941864,1
84057,-3.681188389,3.95547972,0.042941864,1
55788,-3.681188389,3.95547972,0.042941864,1
64754,-3.707563685,3.977022418,0.039254467,1
84792,-3.707563685,3.977022418,0.039254467,1
3760,-3.739543096,4.834888384,0.016710229,1
1773,-3.767517886,4.507752521,0.021192272,1
991,-3.783914236,4.039520355,0.03596681,1
148327,-3.844591345,4.089330264,0.030391193,1
221656,-3.864855497,4.939818622,0.013178766,1
4117,-3.879809266,4.118297006,0.030391193,1
161835,-3.958787749,4.18340414,0.025885906,1
55734,-4.094892723,4.296070319,0.020624225,1
10084,-4.246495627,4.42223807,0.015572753,1
658,-4.367221166,4.523202482,0.012016108,1
7138,-4.478619785,4.616748454,0.010015528,1
5911,-4.523848921,4.654833042,0.008917347,1
166979,-4.717977025,4.818974834,0.006113801,1
1281,-5.480913334,5.474938534,0.001283869,1
