genes,logFC,logCPM,PValue,FDR
92815,11.47047076,14.51289546,3.99E-10,4.07E-07
2688,9.609469796,10.24417976,3.38E-07,0.000172793
83445,9.25488329,8.687350479,1.89E-06,0.000644336
101954273,7.731546718,3.871375321,0.000673569,0.020839802
100873746,7.632470618,3.761025128,0.001046252,0.027194721
102724301,7.439855312,3.150151575,0.016793501,0.228615527
151174,7.289396422,3.071208298,0.024616561,0.295688333
54414,7.251193405,11.05380224,4.43E-06,0.001060754
79710,7.044690759,10.57615552,5.19E-06,0.001060754
29844,6.405588378,3.345777394,0.020220746,0.258067273
100873757,6.116492938,3.638424975,0.010165326,0.175911829
26860,6.115583776,3.518591181,0.016793501,0.228615527
26863,6.064050137,15.43849233,2.38E-05,0.004043294
221442,5.961999592,4.618484983,0.000517152,0.017034333
26869,5.815116999,15.03438332,4.19E-05,0.005350607
5230,5.708572789,12.3099447,6.40E-05,0.006533876
6060,5.681805578,14.88473062,5.71E-05,0.006482588
85407,5.600404018,3.704021648,0.016793501,0.228615527
26871,5.530745695,14.95376536,7.82E-05,0.007174501
26870,5.494236911,14.89247859,8.59E-05,0.007174501
94104,5.410928838,9.587831609,0.000150838,0.009561128
100189107,5.36470513,5.438133174,0.000711494,0.021365751
50865,5.301634397,9.838326648,0.000212093,0.010653386
26864,5.300942334,14.96032058,0.000131436,0.00894638
101954269,5.208593776,3.940231873,0.014084872,0.211480208
100169760,5.201673264,17.82436655,0.000159196,0.009561128
100169765,5.048963426,12.2608071,0.0002583,0.010653386
100169766,5.046972307,12.26090066,0.0002583,0.010653386
100169764,5.04631255,12.25378426,0.000261559,0.010653386
100169768,5.041088055,12.24656057,0.00026554,0.010653386
100169767,5.040673782,12.2611974,0.0002583,0.010653386
100169761,5.008367079,12.17459973,0.000281725,0.010653386
100169763,5.008054701,12.17960446,0.000278777,0.010653386
100169762,5.007347265,12.17465016,0.000281725,0.010653386
26865,4.975387277,15.54959931,0.000266316,0.010653386
103625684,4.85228613,4.617815875,0.010436639,0.177596804
8341,4.83990787,6.50056784,0.001065415,0.027194721
26866,4.827597599,15.6269114,0.00036636,0.013141084
8228,4.764399602,4.612533131,0.012842563,0.198670552
8348,4.758931611,6.982908352,0.001023938,0.027194721
26855,4.668662099,16.36187884,0.000517203,0.017034333
10406,4.66438648,3.723621338,0.048177131,0.456554747
53335,4.516255632,3.815946384,0.048177131,0.456554747
100500815,4.409432645,8.504588533,0.001711018,0.041594024
101954275,4.363036287,4.961085982,0.00945205,0.169307778
388228,4.361949601,7.107108238,0.002851524,0.060654297
220988,4.299452512,12.02110334,0.001255978,0.031276923
8335,4.197730404,4.662331765,0.026191573,0.303881779
388698,3.982367623,4.741183502,0.029977458,0.340077602
3146,3.78068473,10.80052305,0.003916018,0.07839714
64782,3.615439033,5.471188309,0.039254467,0.406412713
6029,2.920885688,14.67592289,0.019055636,0.247639604
4550,-2.551201393,14.10467899,0.039407305,0.406412713
2597,-2.790110728,10.50345985,0.049254055,0.458534051
60,-2.806276951,11.40056691,0.035336491,0.375606575
4549,-2.812368896,13.29894191,0.025805031,0.302838356
26986,-2.840670368,10.54523733,0.045106953,0.443328974
1938,-3.144167167,10.28587859,0.035053724,0.375606575
26851,-3.283546835,9.812038913,0.042916105,0.433835081
780853,-3.287095846,10.55310169,0.024930542,0.295977715
780852,-3.30027349,10.05519957,0.035588709,0.375606575
2674,-3.326781128,9.567631511,0.049401318,0.458534051
6147,-3.346888949,9.58474923,0.048293744,0.456554747
7175,-3.358882777,9.594956439,0.047218052,0.456554747
79026,-3.38330483,10.99558132,0.017838105,0.236528646
6137,-3.384612733,9.616845967,0.045157897,0.443328974
204851,-3.394966884,9.625651771,0.044171341,0.442146463
81671,-3.427888151,9.653639259,0.041374058,0.422429136
83872,-3.520765708,9.732513785,0.035684464,0.375606575
1655,-3.528104355,10.24648972,0.023644295,0.290853316
6124,-3.540177466,9.748984127,0.034247103,0.375606575
3021,-3.577719954,9.780824386,0.032228447,0.357665696
3875,-3.582371172,10.65195513,0.016730966,0.228615527
8202,-3.635865651,11.20697371,0.010955392,0.183368119
10513,-3.636963682,9.831035519,0.028631617,0.328459336
2625,-3.73206324,9.911556736,0.024152977,0.293573684
2778,-3.802463672,9.971110585,0.021280135,0.264963627
10142,-3.8143071,9.981125291,0.020906594,0.263526331
7316,-3.854788949,10.01534854,0.019161145,0.247639604
4514,-3.866054497,11.91983884,0.005264734,0.099542468
6138,-3.874158109,9.53112926,0.030796656,0.345531716
3326,-3.903246875,10.05630013,0.017600012,0.236442267
81539,-3.928490132,10.0776275,0.016741954,0.228615527
780854,-3.970995297,10.39129898,0.011986066,0.197383442
6023,-3.974804868,12.59124409,0.003547715,0.072444347
2495,-4.023860598,10.15817532,0.014023628,0.211480208
64710,-4.065461684,10.19329982,0.012780155,0.198670552
23524,-4.077887773,10.20379043,0.012587002,0.198670552
7764,-4.082610783,10.20777769,0.012397618,0.198670552
226,-4.085676423,11.07487988,0.006273422,0.116457517
4512,-4.186433704,13.50341138,0.001903936,0.045207416
2316,-4.188191209,10.29690169,0.010096001,0.175911829
54843,-4.24212079,10.34242354,0.009152066,0.166861777
4536,-4.329267421,11.99417922,0.002345434,0.052058435
378938,-4.432357509,15.21933599,0.000944798,0.026071329
4540,-4.780945048,13.31054355,0.000620739,0.019805442
4513,-4.808413147,12.58832142,0.000801914,0.023392988
4519,-4.834417901,12.23512807,0.000927127,0.026071329
7812,-4.836954737,10.84543588,0.003149254,0.065620177
4566,-4.844738005,9.478970231,0.016150586,0.228615527
25800,-4.939447586,10.93245921,0.002543177,0.055246467
6130,-5.318544115,9.264591108,0.016114746,0.228615527
100302143,-5.585915822,10.6237135,0.002028844,0.046032215
677847,-5.586936867,10.62458143,0.002028844,0.046032215
4538,-5.716906779,13.71552365,9.14E-05,0.007174501
5757,-5.811298775,9.963359845,0.004204327,0.082550345
4535,-5.838236159,11.70449822,0.000373253,0.013141084
4508,-5.949293531,12.58145595,0.000127556,0.00894638
23521,-6.060401536,9.902233725,0.004818989,0.092833726
4509,-7.003336938,12.49633851,3.78E-05,0.005350607
