genes,logFC,logCPM,PValue,FDR
57418,3.424635142,3.100142811,0.028891018,1
3397,3.40577716,4.68467505,0.015035748,1
347746,3.163047495,2.893777927,0.044495486,1
6203,3.125518756,5.170847141,0.018166573,1
197342,3.109794057,3.338445119,0.03596681,1
23,2.959488661,5.470345982,0.02283646,1
10919,2.949573482,4.183359161,0.032788224,1
10211,2.830773766,4.480919355,0.040119501,1
3399,2.821903687,4.190041292,0.043023754,1
7407,2.795833452,4.423772712,0.035973599,1
4849,2.783310986,5.298038964,0.032770222,1
3887,2.695400445,4.809305041,0.039124416,1
26121,2.685948126,4.840613168,0.043527123,1
7917,2.667643676,4.546145831,0.044122746,1
6222,2.636719881,6.859156568,0.034627108,1
100169768,2.603492983,6.686869576,0.036536764,1
8449,2.571017043,5.025831183,0.049991568,1
101978785,2.449185124,7.816111153,0.04651701,1
26834,-2.588158946,6.61875649,0.038404094,1
6506,-2.689656444,3.568876126,0.049910266,1
27185,-2.691378662,4.08645749,0.047195102,1
7092,-2.71015015,3.348200851,0.048755938,1
2,-2.711277468,3.58610813,0.046662599,1
715,-2.732579247,3.603142732,0.046662599,1
131873,-2.748509168,3.820315825,0.042613667,1
94160,-2.760574715,3.387912813,0.045106686,1
7399,-2.769262808,4.786497669,0.036888203,1
113146,-2.784033189,3.849272431,0.040279161,1
100189437,-2.784033189,3.849272431,0.040279161,1
91584,-2.791359051,4.034935159,0.039748811,1
196500,-2.81477385,3.669393513,0.040945072,1
9398,-2.833053525,3.445562781,0.041803114,1
4257,-2.854179265,3.701442931,0.038425085,1
117145,-2.856425945,3.464293639,0.038805981,1
80206,-2.856425945,3.464293639,0.038805981,1
2157,-2.857910815,3.329628161,0.048755938,1
8470,-2.880417164,4.108895848,0.032788224,1
23632,-2.892536926,3.732815116,0.036102225,1
196477,-2.902064628,3.501062325,0.036081194,1
64131,-2.902064628,3.501062325,0.036081194,1
283310,-2.908922038,4.132749681,0.031299419,1
8997,-2.918751452,4.446497836,0.029704017,1
105373990,-2.932702989,4.926066387,0.027882467,1
3216,-2.956780393,3.090229503,0.047090186,1
643677,-2.991205634,4.202084254,0.027327492,1
84675,-3.017622648,4.224490786,0.026149751,1
480,-3.022550265,3.310799025,0.048755938,1
121006,-3.022550265,3.310799025,0.048755938,1
55553,-3.030909108,3.606207824,0.029262122,1
3213,-3.123202948,5.559479207,0.01736243,1
84695,-3.153002203,2.832841871,0.044495486,1
91156,-3.167421575,3.9624229,0.021573094,1
3696,-3.167421575,3.9624229,0.021573094,1
8497,-3.168826061,3.429858337,0.038805981,1
338,-3.168826061,3.429858337,0.038805981,1
88,-3.20042745,3.09205134,0.047090186,1
920,-3.20042745,3.09205134,0.047090186,1
374462,-3.20042745,3.09205134,0.047090186,1
8111,-3.214464744,3.467516766,0.036081194,1
4703,-3.222045608,4.708380481,0.017158,1
146177,-3.222969263,3.766424651,0.019938386,1
114788,-3.222969263,3.766424651,0.019938386,1
3683,-3.25870384,3.504244385,0.033599053,1
477,-3.259048609,3.139211735,0.042941864,1
5858,-3.259048609,3.139211735,0.042941864,1
22885,-3.259048609,3.139211735,0.042941864,1
400618,-3.259319025,2.916060143,0.035608143,1
25775,-3.259319025,2.916060143,0.035608143,1
146723,-3.293163563,3.825958529,0.0177056,1
79628,-3.301626643,3.540085728,0.031333607,1
56977,-3.315380526,3.184924414,0.039254467,1
2312,-3.323155822,4.488462358,0.014890838,1
171024,-3.343309224,3.575082206,0.029262122,1
645202,-3.355822141,3.267251258,0.033027074,1
9201,-3.360100439,3.883191043,0.015786584,1
54549,-3.369595297,3.229275082,0.03596681,1
22844,-3.369595297,3.229275082,0.03596681,1
5629,-3.371309485,4.13771111,0.014462691,1
55259,-3.392439159,3.91099806,0.01492793,1
60676,-3.398219255,4.161136259,0.013801377,1
10566,-3.421846314,3.272342044,0.030391193,1
4744,-3.423226662,3.642692306,0.025623547,1
128102,-3.45057825,4.2068991,0.012592111,1
948,-3.456742042,5.963855113,0.008432286,1
2904,-3.518739083,5.542513394,0.008979188,1
6515,-3.520992381,3.354905942,0.025885906,1
5251,-3.520992381,3.354905942,0.025885906,1
5787,-3.525717509,4.272984775,0.01102373,1
101927853,-3.534112364,4.162363462,0.013801377,1
55384,-3.544078066,4.042689692,0.010868918,1
7135,-3.56812211,3.394529412,0.023956547,1
9369,-3.605563679,3.79934334,0.0177056,1
100506810,-3.613760793,3.433123408,0.022209555,1
55576,-3.639420292,3.828778591,0.016710414,1
586,-3.656055235,3.84327946,0.016710414,1
642587,-3.697842641,3.27406446,0.016518134,1
23345,-3.732709261,4.209304811,0.00776808,1
51816,-3.742605273,3.543227307,0.017868952,1
1769,-3.742605273,3.543227307,0.017868952,1
7091,-3.783117295,3.578184561,0.016669671,1
6262,-3.795508135,5.075954816,0.005643957,1
144568,-3.822522711,3.612336446,0.015572753,1
5304,-3.822522711,3.612336446,0.015572753,1
9844,-3.879683421,3.66213224,0.013645168,1
388697,-3.884983056,4.045272409,0.010337889,1
100288805,-3.892059753,4.352250192,0.00572445,1
56938,-3.993169026,3.527015366,0.009503236,1
3918,-4.007843386,4.457260144,0.004497629,1
146754,-4.03871634,3.802195194,0.010015528,1
2196,-4.104135324,3.860426765,0.008917347,1
57101,-4.142768076,4.277656528,0.006228697,1
2153,-4.226694783,3.970424139,0.007150173,1
347,-4.293663373,6.440475605,0.001506082,1
84530,-4.3665627,4.097302673,0.005264348,1
9383,-4.401887322,3.890081531,0.004129024,1
727832,-4.496465836,4.319058643,0.003339173,1
54768,-4.549759735,5.857292722,0.001352606,1
55567,-4.588521373,4.301309668,0.003339173,1
94025,-4.653586777,7.643698263,0.000633012,1
440730,-4.854838201,4.940717008,0.001479854,1
83872,-4.952341644,5.033396304,0.001193091,1
10071,-5.068736656,5.144502772,0.000928194,1
