genes,logFC,logCPM,PValue,FDR
2099,6.270024821,8.718944745,2.09E-05,0.212944826
10551,-5.950826899,6.9907952,0.000365912,1
1948,-5.318271412,6.441127004,0.001420482,1
729920,-4.694584856,7.285779593,0.001599807,1
5074,-4.577976919,6.667905533,0.002494527,1
11016,-5.480060299,5.74172529,0.002716699,1
129303,4.28964729,4.92748462,0.003116104,1
102723989,5.041719768,3.454835969,0.003222855,1
105371591,4.482830373,3.552702191,0.003222855,1
388559,4.371406557,3.575803475,0.003222855,1
9001,4.630021803,3.998562192,0.003692891,1
101929234,4.443055302,4.032453175,0.003692891,1
81575,4.160604049,4.477325831,0.003803449,1
120863,4.628644736,3.390625953,0.004013235,1
64943,-4.780979762,5.982370898,0.004300014,1
102723886,4.195208021,3.973964712,0.004372288,1
4952,-4.722995805,5.933224875,0.004752075,1
4298,-4.639972616,5.862962443,0.005652628,1
84669,-4.637121182,5.860551428,0.005652628,1
51276,3.949336526,4.240606096,0.00581208,1
2117,-4.600994425,5.830016675,0.006074715,1
7072,-4.119928523,6.277477367,0.006246824,1
151477,4.388097301,3.150721073,0.007138054,1
101927269,4.388097301,3.150721073,0.007138054,1
114112,3.613876274,5.056179728,0.007244375,1
84329,3.777002865,4.471912011,0.00742366,1
401024,-4.490010933,5.736346611,0.007613775,1
8566,-4.48684681,5.733678958,0.007613775,1
118672,4.081008284,3.642192647,0.007690814,1
374864,3.659958674,4.977151716,0.008024995,1
6446,3.659958674,4.977151716,0.008024995,1
54843,-3.990346148,6.168065641,0.008167063,1
5980,-4.428672811,5.684659948,0.008574942,1
10016,-4.876226193,5.231223255,0.008917347,1
23160,-4.391931644,5.653726698,0.009304594,1
2201,-4.385149727,5.648018976,0.009304594,1
23242,-4.378335778,5.642284957,0.009304594,1
387911,3.998344579,3.087929473,0.00945205,1
6876,3.886920763,3.118254008,0.00945205,1
91137,-4.364610567,5.630737025,0.009699728,1
3927,-3.882466656,6.077294956,0.009987669,1
286097,3.824830926,3.950353386,0.010015528,1
6911,3.701734249,3.983723434,0.010015528,1
7771,3.463315672,5.090720672,0.010136464,1
677849,3.924517279,3.025646827,0.010436639,1
56893,-4.315517187,5.589452964,0.0105577,1
5167,-4.293954752,5.571330853,0.01102373,1
644,-4.293954752,5.571330853,0.01102373,1
80119,3.652871464,4.214095748,0.011435896,1
644096,3.652871464,4.214095748,0.011435896,1
9282,-3.799783062,6.007909146,0.011621501,1
8897,-3.607016238,6.353528822,0.011655623,1
26830,-3.576116007,6.327614396,0.012532194,1
2982,-3.541878158,6.663443558,0.012807673,1
91179,4.405596673,2.822418751,0.012842563,1
138065,4.099255829,2.89447181,0.012842563,1
121952,3.846707277,2.962352697,0.012842563,1
57523,3.256743408,5.328648109,0.013052093,1
51699,-4.196603892,5.489587961,0.013178766,1
22998,-4.196603892,5.489587961,0.013178766,1
7011,-3.728420475,5.94814703,0.013619672,1
10365,-3.717541483,5.939046254,0.013619672,1
162494,3.126338614,7.177079089,0.014049496,1
3142,4.017008797,2.827615372,0.014317937,1
93653,3.88521538,2.863338164,0.014317937,1
23300,-4.153353721,5.453309973,0.014462691,1
5585,-4.153353721,5.453309973,0.014462691,1
25930,-3.673186117,5.901967106,0.015035748,1
23335,-4.133257589,5.43646109,0.015165702,1
340017,3.373334749,4.393598118,0.015165702,1
497258,3.824183281,3.292423441,0.01517558,1
9658,3.733726661,3.318724779,0.01517558,1
677811,-3.661880873,5.892523053,0.015549974,1
58475,-4.112877568,5.419379032,0.015913687,1
51100,-3.630326754,5.866177761,0.016087241,1
5606,3.221121251,5.50548535,0.016150586,1
9453,-3.424326551,6.200720334,0.01658345,1
