genes,logFC
55816,6.426637551
273,6.207045948
91156,6.196670692
54769,6.040807646
83889,5.770022215
10752,5.758786841
389643,5.713159
22989,5.617331689
222256,5.497631273
79895,5.426979902
8618,5.421966111
1770,5.404764449
123041,5.388688389
728194,5.345565412
53340,5.220694353
101927774,5.203637439
57709,5.198910519
440730,5.161553603
79747,5.153957063
342538,5.135699687
3778,5.123203601
114795,5.123203601
168507,5.123203601
161142,5.103639414
344658,5.083982219
114815,5.083806268
89766,5.083806268
6898,5.047183811
256076,5.04330279
1769,5.022616488
54768,5.013650466
167838,5.001629253
1384,4.998214158
5175,4.981862873
23114,4.973723421
641455,4.960756813
57451,4.958716041
5125,4.958716041
3827,4.93915946
3479,4.914487132
5923,4.914487132
4916,4.914487132
285401,4.914487132
50939,4.914487132
653641,4.868859291
400579,4.851051953
1836,4.846877307
6098,4.821741125
9496,4.808953314
4345,4.807695794
5314,4.778206681
5648,4.77303198
84466,4.764228209
56999,4.753371352
9734,4.72262065
84443,4.72262065
4584,4.715077217
3603,4.670383845
200772,4.623332447
64072,4.616184373
7038,4.616184373
25769,4.616184373
26085,4.610413667
147660,4.598451566
645961,4.598451566
57578,4.573134045
126638,4.559868975
480,4.559868975
643677,4.559868975
4025,4.559868975
2570,4.559868975
9472,4.551976464
5649,4.551976464
79987,4.551976464
347688,4.547547845
26034,4.530864882
5733,4.521125836
154664,4.521030354
5104,4.513641748
105375661,4.503906524
85397,4.501265703
6515,4.501265703
100129940,4.501265703
80125,4.501265703
129530,4.501265703
80122,4.501265703
3269,4.501265703
389434,4.501265703
245972,4.501265703
4619,4.471046508
2213,4.467172422
91662,4.467172422
2321,4.457072589
10071,4.443946549
654463,4.440630085
6910,4.440180764
100131551,4.440180764
9370,4.411122624
100874095,4.411122624
128102,4.407171979
100874261,4.397465852
3745,4.393082787
89866,4.376394644
1280,4.376394644
64344,4.376394644
773,4.355483355
60677,4.35280692
1137,4.35280692
5137,4.319965903
158326,4.319965903
256158,4.319965903
100288805,4.314199787
160777,4.309657355
9892,4.309657355
92949,4.309657355
64078,4.309657355
2813,4.299055622
100996758,4.292034357
121006,4.283551936
102723955,4.269486363
9256,4.246195019
338382,4.23968251
282996,4.23968251
23316,4.23968251
10655,4.23968251
84848,4.23968251
4992,4.229938635
9103,4.228588779
81029,4.228588779
3891,4.228588779
940,4.228588779
100289574,4.215656848
83758,4.203379768
653643,4.202225616
653598,4.190318387
169792,4.182795013
3798,4.166139903
9182,4.166139903
3651,4.166139903
145407,4.166139903
116441,4.166139903
781,4.166139903
59272,4.166139903
5251,4.166139903
100128108,4.162224185
105375110,4.141293654
126868,4.131931427
283314,4.127913248
118788,4.09265897
101927620,4.088646081
53630,4.086270669
169044,4.086270669
79400,4.059211249
7018,4.043357457
375611,4.043357457
79937,4.031514849
270,4.02666468
9900,4.02666468
83988,4.021412488
729665,4.019568703
148738,4.006752245
84689,4.006752245
55195,4.006752245
83449,4.006752245
3293,4.006752245
654502,3.963993423
81030,3.953500708
10350,3.933797856
60494,3.9199285
894,3.9199285
6340,3.9199285
91646,3.9199285
79623,3.9199285
284948,3.9199285
401089,3.9199285
651746,3.9199285
27115,3.9199285
26261,3.9199285
158435,3.9199285
644353,3.9199285
8556,3.913383638
222967,3.911090573
4135,3.906382541
152273,3.906382541
101928936,3.899227267
8110,3.873884304
1113,3.861243683
148170,3.861243683
25833,3.85868895
80036,3.857673397
8515,3.856796819
7455,3.85156397
55811,3.827543063
56956,3.827543063
55753,3.827543063
338811,3.827543063
80031,3.827543063
102723320,3.827543063
85320,3.827543063
