genes,logFC
167838,6.99093386
10855,6.701857155
9308,6.647500298
118430,6.441777538
100507388,6.406938482
128387,6.339962394
10595,6.251564057
339184,6.182595249
442524,6.039466263
375611,5.98224848
81849,5.948594103
100616274,5.948594103
144203,5.812328161
102465534,5.812328161
2938,5.776124965
102724329,5.756518204
728194,5.725332933
283514,5.719639631
26112,5.719639631
100616288,5.535563149
1490,5.398349636
195814,5.291075323
102465526,5.188372821
79689,5.144109928
100507642,5.130900604
5288,5.121445812
345275,5.098370601
399,5.07721877
102466755,5.05202204
6563,5.006065803
200162,5.002297316
2688,4.960468839
92949,4.952573651
25864,4.929180561
3384,4.901426605
101927018,4.899366878
644068,4.880696171
100506930,4.880696171
100996643,4.880185519
3698,4.78647449
345643,4.785110429
100500808,4.761063574
25833,4.761063574
1770,4.761063574
654841,4.761063574
80736,4.70836548
219858,4.668452433
89765,4.668452433
83853,4.663509007
100189177,4.663509007
102465753,4.64400245
139818,4.625040678
101930452,4.542870856
83758,4.540183098
101928232,4.540183098
101927759,4.540183098
101928868,4.540183098
100616354,4.540183098
6447,4.539069642
284486,4.53781227
100169851,4.496426704
222967,4.452074414
26085,4.444968511
26027,4.401535911
256764,4.401535911
7462,4.401535911
100130880,4.401535911
1612,4.401535911
79955,4.399639039
100189380,4.362517323
10371,4.29340898
5858,4.250239924
641467,4.239171321
664618,4.233332234
101928042,4.232176385
283248,4.227274692
8869,4.189178507
101927599,4.153258859
79842,4.122571671
93210,4.112761454
100130449,4.107413266
387990,4.085654574
2867,4.081198318
27120,4.081198318
100506311,4.081198318
401612,4.081198318
54414,4.07233734
101929959,4.066214039
199720,4.053260067
164633,4.039683861
1384,4.039683861
696,3.999054135
55520,3.976222122
7881,3.961592903
100885777,3.960499966
10633,3.960499966
100189382,3.960499966
100130348,3.95547245
100129654,3.954027927
1896,3.954027927
84527,3.95294216
2824,3.952494486
101060200,3.952250154
57102,3.951990438
693158,3.935083411
693122,3.930232716
100288428,3.925584822
9834,3.915114302
57722,3.889688241
100129617,3.880726554
219681,3.862129411
101929529,3.862129411
3400,3.847462876
51259,3.841159591
132014,3.827652998
387911,3.778763522
400798,3.776671993
126375,3.776671993
28983,3.770111574
102466747,3.770111574
54777,3.745512655
389538,3.727707289
8644,3.720357693
126006,3.710833424
148189,3.710833424
338321,3.710833424
54627,3.696823267
283,3.693851218
84269,3.690439485
1302,3.676168283
3397,3.672788952
131149,3.668807765
221545,3.663687283
102723566,3.65302165
92815,3.647178759
90993,3.64415027
51233,3.640164738
4680,3.637638555
219736,3.637314765
389852,3.628168087
29948,3.624670234
64800,3.616606778
11227,3.607345691
155368,3.607345691
440021,3.592238118
22977,3.588310532
116496,3.584853831
391356,3.580708272
548596,3.563426185
10023,3.541791819
101927911,3.541791819
101929467,3.539715465
1486,3.52411782
11080,3.493362805
100288413,3.492010072
642236,3.479292065
412,3.475398987
23508,3.470722393
732265,3.460000729
115572,3.456537027
83450,3.442003105
4586,3.428797287
440107,3.424646651
100506124,3.424646651
102723166,3.407887426
9297,3.407887426
5137,3.407887426
101928345,3.407887426
90390,3.407205588
166979,3.407155787
8399,3.394081429
105375092,3.380215774
200879,3.37971562
148254,3.369308619
57462,3.361728246
339929,3.359749362
54968,3.359248973
1048,3.35484377
51280,3.351906992
144535,3.350281741
158572,3.350281741
56977,3.342314193
100133319,3.337049865
1238,3.337049865
55071,3.337049865
219844,3.327133863
64925,3.320820246
5184,3.318847975
154091,3.315918597
55762,3.297895059
54830,3.295077128
6450,3.276464859
85025,3.274517406
726,3.269048767
2686,3.269048767
50650,3.269048767
26519,3.262313586
27034,3.258511208
65010,3.254633663
27112,3.254633663
53842,3.244064555
7433,3.241528203
8867,3.230002212
55703,3.206208392
219654,3.192596145
103611081,3.192596145
4621,3.192596145
102724730,3.188273783
7851,3.179677195
51054,3.17723272
6286,3.171320088
55,3.171144068
653082,3.162673555
101927045,3.152282553
400541,3.150083374
1748,3.150083374
7025,3.150083374
154865,3.150083374
440348,3.149225679
563,3.147779674
9415,3.140647589
84441,3.131311211
728215,3.131311211
2302,3.129401266
91355,3.129401266
222166,3.100706687
25845,3.088962029
105377650,3.076057663
54328,3.070667669
116238,3.061206343
100996541,3.060315609
100189110,3.059349771
8292,3.036625068
100009676,3.032468279
729178,3.030361399
6097,3.015918998
4225,3.011377568
100996447,3.011377568
63874,3.008872553
5778,2.98974446
4081,2.98974446
4703,2.988936963
26860,2.988019316
105376526,2.988019316
255104,2.979583214
128178,2.979583214
171425,2.973880004
84985,2.948542026
10129,2.93432585
100131067,2.927655955
440503,2.923075239
57622,2.923075239
136853,2.923075239
65983,2.902224465
55616,2.898921973
256006,2.889227228
440519,2.886724994
4674,2.883179409
64359,2.872263721
51550,2.870955732
100170229,2.866893488
9670,2.860450266
6558,2.856826322
2296,2.85440439
28514,2.845223754
84541,2.8238431
7673,2.819513463
221143,2.816487569
706,2.816487569
1836,2.809155503
63920,2.785389781
10629,2.783732129
51533,2.778444755
29988,2.774026789
55222,2.764331408
79050,2.764331408
114926,2.764331408
57167,2.758589007
120,2.750249368
55033,2.750249368
8228,2.750249368
256051,2.742654862
55247,2.742654862
89953,2.724377175
85359,2.708245372
51806,2.705386495
255762,2.693622374
4488,2.692004103
5097,2.658133259
4088,-2.714251684
1917,-2.788760234
27000,-2.789467189
10053,-2.806190402
8518,-2.842494627
5889,-2.862173243
390,-2.880323643
23143,-2.890724812
6814,-2.906187302
55578,-2.915883571
6672,-2.920168784
64327,-2.922600072
26099,-2.946228019
11137,-2.950332014
9786,-2.973788128
64151,-2.982986664
79993,-2.989429827
114991,-2.990809189
23122,-2.991641017
2475,-3.03367721
8805,-3.036747023
5900,-3.039964705
22852,-3.056038906
51637,-3.067110742
54532,-3.075308128
147841,-3.088789185
2997,-3.088789185
3315,-3.093168986
23609,-3.099414457
84293,-3.100741425
121441,-3.100741425
4706,-3.124352884
6633,-3.124352884
5464,-3.136015266
113026,-3.141811293
23078,-3.147584127
1643,-3.149773033
64421,-3.159060957
7706,-3.163913061
57111,-3.166805088
9798,-3.173392567
10979,-3.181744295
51195,-3.181744295
2870,-3.181744295
84445,-3.183638411
26996,-3.183638411
80142,-3.183638411
101928687,-3.196746094
5704,-3.197639458
339175,-3.198525773
23463,-3.204076499
23187,-3.204076499
8405,-3.204076499
51377,-3.205170226
11031,-3.205491545
81631,-3.209605951
4477,-3.215114291
466,-3.216727041
28974,-3.216727041
54867,-3.216727041
10785,-3.216727041
26355,-3.216727041
23286,-3.216727041
5049,-3.220432589
23277,-3.222556275
1289,-3.224449362
6666,-3.232991053
9620,-3.233749213
5921,-3.24705005
51720,-3.258439874
2549,-3.280711104
3419,-3.290101022
9592,-3.290902962
151050,-3.296273354
101927770,-3.303991978
8669,-3.30567479
5796,-3.3082315
23301,-3.31082891
10370,-3.311669525
57509,-3.325816897
10848,-3.326903125
101929796,-3.327171714
4564,-3.351992136
