genes,logFC
23704,6.330733055
100422830,6.291036258
1363,6.106752905
222,6.026652292
347,5.763531515
10202,5.751636176
563,5.654767768
26085,5.572496813
100132708,5.453105933
5327,5.24222719
115749,5.222945657
204962,5.186532212
2312,5.110826423
56164,5.110826423
10409,5.062432545
63928,5.026371982
1780,4.946341529
5104,4.943106423
346689,4.839278714
10720,4.796521333
118430,4.710250539
101060569,4.70700623
100653133,4.70700623
646802,4.699599206
6445,4.67061261
10544,4.658014809
316,4.656796866
23639,4.656357394
6004,4.603816494
84848,4.561370978
100302277,4.455413779
100191040,4.417028247
100505811,4.377426214
81849,4.36403244
27443,4.307402875
53832,4.297296905
5724,4.252274989
283310,4.195126476
25849,4.18460999
100505967,4.175051942
3861,4.156478106
2983,4.155729754
124872,4.153783513
1395,4.153783513
171482,4.153783513
85376,4.128385588
5314,4.114983087
624,4.087538871
348021,4.073554069
57526,4.072055478
101929206,4.071744339
100996624,4.030641582
256764,4.00617154
1747,3.994400862
2515,3.983522103
4286,3.923877287
57586,3.920952275
23495,3.907580088
10345,3.893669132
150,3.88861941
768206,3.849517647
81035,3.844960921
10317,3.843842565
3623,3.817347127
53942,3.815198013
4322,3.815198013
129530,3.815198013
8817,3.815198013
3274,3.815198013
85477,3.815198013
79689,3.809553125
56999,3.763469738
101927718,3.763329578
102465694,3.763329578
1636,3.751514576
206338,3.742314862
1836,3.72787185
100616183,3.716493126
146395,3.716493126
105373480,3.716493126
23783,3.716493126
100506497,3.716493126
150221,3.70506545
7078,3.702184694
3852,3.664731769
105377819,3.631802398
7366,3.622757879
5655,3.61990411
114827,3.610535927
644919,3.610535927
51062,3.610535927
100309464,3.610535927
1556,3.610535927
5880,3.610535927
101929083,3.610535927
23439,3.610535927
1290,3.607253672
55784,3.559495789
2941,3.554488603
4128,3.545709508
399694,3.520755605
90649,3.517192633
1326,3.512842794
100505676,3.51211701
9369,3.496175578
23520,3.496175578
1301,3.448332493
285266,3.448332493
4065,3.435405925
