genes,logFC
3488,-6.579480265
100169760,-5.771248361
273,6.286607631
54809,-5.699476783
1836,4.927853319
101928687,-5.01013264
56999,4.834201859
54768,5.093412445
857,-4.852501772
5175,5.061798409
5104,4.594494501
9496,4.889298852
374,-4.586118647
6898,5.126716827
10071,4.524711703
858,-4.680637254
4584,4.795253094
7035,-4.627875213
10125,-4.236892246
26085,4.689928336
1382,-4.155677819
100288805,4.393933197
8556,3.994228376
3852,-4.115744162
3429,-3.811539753
10561,-4.153188846
4680,-3.982627188
7503,-3.746227682
7477,-4.456699581
2813,4.378553373
10150,-3.924454208
3437,-3.825631473
3691,-3.590935474
54739,-3.776331122
3694,-3.85725604
169792,4.262285449
26828,-3.724917518
753,-3.737046489
202052,3.902099353
9249,-3.945743501
8515,3.936940303
11254,-3.434102041
3760,-3.730102282
270,4.106144318
9900,4.106144318
8110,3.953772301
10964,-3.541626683
10350,4.013270495
64168,-3.39056519
23213,-3.270420465
146177,3.821608242
43849,3.821608242
105373990,3.399353721
7455,3.931030023
7231,-3.967194862
4586,-3.15534699
306,-3.434209802
4940,-3.1800239
8942,-3.332491247
11122,3.551054115
144501,-3.108579592
22854,3.807399346
56896,3.807399346
6281,-3.087154867
131034,3.770039033
3914,-3.591500644
1048,-3.171598582
309,3.165332798
345557,-3.292276424
7078,-3.116384849
79935,3.105923351
2104,3.433921904
441666,3.495866976
5787,3.480985846
2568,-3.226096045
140876,3.084157932
10205,-3.087958974
51555,3.548116023
1958,-3.043372164
100169754,-3.172294548
100169755,-3.172294548
100169753,-3.097587724
120,3.073290756
100169756,-3.163160851
100169757,-3.161327152
100169758,-3.161327152
100169759,-3.146073097
114780,3.514262588
4016,-3.057931697
57795,3.057768297
1287,-2.930328016
113146,-2.93006512
1829,-2.930666335
3752,2.939244469
5376,-3.208695853
100169751,-3.035696953
100126533,-3.019249964
255101,3.567181409
57007,-3.072698087
677825,-2.866516526
9080,-3.566745591
54947,-3.566745591
2537,-2.814999646
57705,3.522947739
79628,3.522947739
822,-3.369862102
5080,3.3890987
145978,-2.851048274
2901,3.47731483
8701,2.953813109
56241,2.927401769
619571,-2.912876788
27286,2.91112164
3433,-3.098263637
3431,-2.806432045
4430,-2.775838388
6263,3.140843184
254778,3.292542918
5799,3.201590594
146754,3.184361246
84875,-2.88909502
23414,3.381476339
257169,3.192367733
4939,-2.707185108
692058,-2.778014137
57096,3.047935779
84553,3.166923647
221393,-3.404059756
112399,-2.899511953
26791,-2.653719603
26788,-2.64906711
9542,3.331058823
387104,3.331058823
26822,-3.200596422
340156,3.142816137
201853,3.27465557
57731,3.210357682
3772,3.210357682
6662,-2.810100518
51103,3.131403125
6097,2.809706767
7052,-2.85625319
5166,2.755690602
100873995,3.278815375
3683,3.278815375
10891,3.278815375
2651,3.167439987
100132813,3.002649931
283310,3.011690744
65217,3.09498593
56937,-2.611068622
1824,-2.858542324
57575,-2.69661588
677765,-2.738404136
9302,-2.579155872
55337,-2.949026865
677838,-2.557146466
100506409,3.145492674
6445,-3.284424929
100287616,-2.762179832
26818,-2.533150277
223075,2.978613514
677842,-2.509124112
100169768,-2.522726533
7366,2.632374125
64135,-2.592655103
677780,-2.907353282
2899,2.558268732
8997,2.639585213
57821,3.224608753
9154,3.224608753
58476,3.224608753
55824,3.224608753
8514,3.196722034
2042,2.522019844
4938,-2.620754994
10409,-2.778518907
93035,2.597802635
4886,-2.509289439
677846,-2.707867483
100616436,-2.684712478
9899,3.030449838
201625,3.030449838
3274,3.030449838
23639,3.030449838
1038,-2.708405444
7045,-2.771378503
100151684,-2.50372556
8001,-2.736778672
3908,3.168285634
677778,-2.982926587
201294,-2.956582123
3434,-2.49618229
100126488,-2.470924553
89927,-2.75650886
23105,2.981734918
100874243,2.606624386
79838,2.897685688
124274,2.897685688
2568,-6.19953887
1836,5.553057536
57575,-5.667561588
4286,5.65652415
5655,5.291302287
3694,-5.218694181
1363,4.991461527
5104,4.946321717
1475,4.934088227
23026,4.663782108
2201,-4.880852271
93035,4.476226161
79935,4.425174084
29909,-4.314166123
105373990,4.419748754
10125,-4.208528695
273,4.31171219
150,4.802215706
1281,-4.187339405
3899,4.089558094
3776,-4.328559534
55504,4.281659363
10964,-3.981802553
8556,3.96604063
11012,3.873895984
2139,-4.098428043
1591,-4.079098119
145978,-3.772955933
54769,3.779318603
3698,3.716833238
56999,3.745058736
2042,3.630828677
345557,-3.570642886
26166,3.532044265
43849,3.609977727
146177,3.683689196
101928932,3.998023201
753,-3.326801422
9201,-3.368539974
401546,3.508855923
56937,-3.173259461
101928961,-3.604288064
4582,3.128007466
94121,3.06743385
7042,-3.223238657
4774,-3.105322625
7366,3.066842664
7052,-3.100075831
301,-3.385217537
23213,-2.976469636
10002,3.646861382
90993,3.061303069
12,2.934826501
117154,-3.330524852
57731,3.283857912
100874375,3.161031696
5327,3.071963548
100533105,2.858519581
56241,3.541569495
10538,3.075344889
