genes,logFC
10595,6.259399952
118430,6.449591459
169200,-4.976856824
23129,-5.819720578
3698,4.794367852
79689,5.151941009
345275,5.106201392
85441,-5.091369197
9830,-5.524033399
200162,5.010127469
2688,4.968298701
341640,-4.951737312
7422,-5.417220098
6563,5.013911028
195814,5.298883394
101927018,4.907196299
84187,-4.909587348
6520,-5.258703082
9866,-5.294336177
10371,4.301302145
644068,4.888540671
100506930,4.888540671
5288,5.129252555
375743,-5.168260481
219858,4.676280006
89765,4.676280006
84898,-5.160002608
4676,-5.113719546
54414,4.080239368
1191,-5.087834085
25864,4.936985598
102465753,4.651845397
100169851,4.504287048
79955,4.407501975
25804,-5.011864469
8777,-5.002658051
100130449,4.115299901
101927599,4.161133464
26030,-4.91704459
57102,3.959879461
5813,-4.907210624
84733,-4.897309166
54870,-4.897309166
7881,3.969476838
26155,-4.88983822
283209,-4.887339282
80144,-4.887339282
10092,-4.409403797
10410,-4.401052567
1303,-3.845218468
345643,4.792914029
93210,4.120634188
8869,4.197054789
101060200,3.960130326
283248,4.235125319
56941,-4.836429442
22853,-4.347602741
60674,-4.143165278
125058,-4.34015486
3607,-4.325142749
7029,-4.294641609
283120,-4.225300305
4680,3.645544856
55008,-4.717671723
2824,3.960366331
139818,4.632842505
664618,4.24115541
221927,-4.706374652
51259,3.849044582
58513,-4.005967122
55206,-3.783649513
171019,-3.979557107
79842,4.130429585
693158,3.942946194
83872,-3.633221115
100507246,-3.962495471
284486,4.545613044
140545,-4.157296738
332,-4.148795564
55763,-4.624716762
100169760,-3.491313759
7311,-3.782784675
55520,3.984070565
92815,3.655071613
340481,-4.600511096
192111,-4.588254243
135398,-3.662112998
26000,-4.118640657
54627,3.70471417
29948,3.632558112
5546,-4.575892365
101929959,4.0740716
100129617,3.888588928
11342,-4.09228225
400798,3.784548929
126375,3.784548929
4586,3.43670565
6772,-3.521847577
26085,4.452768092
199720,4.061080997
28964,-4.550846226
79073,-4.544516156
90993,3.652037094
391356,3.588586524
23138,-3.518759566
8666,-4.2405421
84527,3.960798747
3915,-3.785322955
51280,3.359811627
375790,-3.622792501
1048,3.362749705
100129654,3.961847496
1896,3.961847496
387990,4.09349267
3872,-3.909408057
50999,-4.439264927
128710,-4.411706992
23015,-4.138129071
3397,3.680658989
6654,-3.588123884
166979,3.415050593
171024,-3.643718568
1486,3.532008133
4363,-3.928115738
51741,-3.928115738
11080,3.501240529
56919,-4.404734465
1054,-4.404734465
29128,-3.863049582
57462,3.369620807
55970,-3.897996982
389538,3.73555316
23508,3.478612508
1287,-3.423286849
23032,-3.877562718
493,-3.867236014
80022,-4.347706835
23413,-4.347706835
79892,-4.33309061
132014,3.835508498
51233,3.648025107
200879,3.387606189
55762,3.305791356
1302,3.684035294
219736,3.645188002
641467,4.246967968
3400,3.855280873
412,3.483278774
54968,3.367133182
7357,-3.769337902
100288428,3.933421145
64135,-3.743032
6778,-3.776339909
54780,-4.242139959
90390,3.415088561
64925,3.328704251
10614,-3.748478295
10056,-3.748478295
548596,3.571298918
83607,-3.932685273
55703,3.214103464
5184,3.326739057
85025,3.282403735
54663,-4.202483759
84269,3.698293682
221545,3.671528858
116496,3.592698011
753,-3.673099925
643836,-3.665116241
8867,3.237895985
5796,-3.300355515
7428,-3.348047993
8346,-3.705650258
10040,-3.691086976
219844,3.335016392
8969,-3.38968459
3315,-3.085267585
7164,-3.477472419
6451,-3.474036707
26519,3.270204447
56977,3.350193163
9620,-3.225877311
58478,-4.145067483
8871,-4.1282342
1289,-3.216570176
51629,-3.655523335
