genes,logFC
1363,6.117066092
347,5.773844547
345557,-5.744630048
10202,5.761859156
23213,-5.343304708
10125,-5.158877978
5327,5.252518988
10409,5.072724129
57575,-5.170903535
5104,4.953375675
10561,-5.173324563
753,-4.711298098
29909,-4.620891755
63928,5.036561834
132430,-4.757574113
55008,-4.67274937
100505967,4.185385966
6445,4.680801051
27443,4.31763342
23639,4.666493624
624,4.097847816
54809,-4.030809342
29933,-4.106073949
256764,4.016466722
25849,4.194849907
5314,4.125222703
101929206,4.081961903
7052,-3.790543481
171019,-3.669766368
26834,-3.572841368
1836,3.73818262
7366,3.633081274
223117,-3.614607191
57526,4.0822406
7078,3.712486749
3694,-3.651479833
1326,3.523183292
3623,3.827613169
9383,-3.676357816
4286,3.934094002
56999,3.773735555
90649,3.527510734
5655,3.630209231
8519,-3.599598024
10317,3.854058782
339479,-3.774579248
3429,-3.384216074
4128,3.556011139
2515,3.993653219
55601,-3.359543793
79689,3.819736295
347731,-3.620690344
57586,3.931082783
3437,-3.401656665
1290,3.617490591
2568,-3.298032796
150,3.898749594
6781,3.236409638
857,-3.221212429
83872,-3.164029079
12,3.1833486
53353,-3.291010984
8001,3.126192226
6097,3.187148507
1636,3.761643299
684,-3.176867969
339862,3.295818492
728378,3.130722937
283120,3.044551782
7980,3.115333391
1289,-3.04581849
54739,-3.083792612
10690,-3.330521133
1462,-3.398761579
58499,-3.076520858
79633,-3.122550029
84675,3.439854298
399694,3.530936176
3486,3.14028412
151354,3.002715523
3434,-2.970418973
1193,3.369631516
55784,3.569622217
105221694,-3.510703645
152485,-3.339658551
1946,-3.339658551
4938,-3.026148889
7852,3.204232977
4600,-3.452015223
113230,-3.210181994
440905,2.871026051
6091,-2.864948482
429,3.001443782
101928944,-3.411519839
342945,-3.411519839
10397,2.793596777
92370,-3.06722767
146177,3.196500724
84952,2.949669734
2706,3.325082834
653149,-2.830201733
445582,2.851304711
2902,-3.220439944
2330,2.799797933
105374278,3.141135008
57010,3.169241305
51129,2.959893006
1903,2.846953958
220441,3.01484236
1345,2.684536419
7042,-2.898189367
4599,-2.829523338
9846,2.883433867
80070,3.118758738
35,3.299352424
948,3.169475609
55089,2.857631297
3678,2.699080228
158471,-2.923792324
93556,-2.897669703
90102,2.8931692
23586,-2.64231213
28965,-3.190006712
100302175,-3.190006712
3868,3.152831004
168667,-2.798771664
100033819,2.8139633
140730,-2.740890205
283316,2.923070479
1038,-2.671173546
23581,2.760583228
10100,3.196704727
56241,3.196704727
3358,3.196704727
56924,2.982802557
1847,2.787509667
5359,-2.578106246
10272,-2.832890513
4211,-2.661829832
83666,-2.539646843
100526832,-3.065035102
3570,2.835821925
653,-2.636271643
340267,2.64242979
6340,3.018026953
79973,3.018026953
100506930,2.995032745
1288,-2.768942841
4680,2.465891468
3936,-2.663691425
10205,-2.599137054
105373990,2.671126001
159963,2.762846157
286223,2.872288196
1475,2.827097731
729025,2.652839011
81607,2.489513198
10244,-2.605055142
100134229,2.774579745
55024,2.947914763
57402,2.447169295
54102,2.651671051
26049,-2.628857118
489,2.427020128
8564,2.856556387
2099,6.270024821
10551,-5.950826899
1948,-5.318271412
729920,-4.694584856
5074,-4.577976919
11016,-5.480060299
129303,4.28964729
102723989,5.041719768
105371591,4.482830373
388559,4.371406557
9001,4.630021803
101929234,4.443055302
81575,4.160604049
120863,4.628644736
64943,-4.780979762
102723886,4.195208021
4952,-4.722995805
4298,-4.639972616
84669,-4.637121182
51276,3.949336526
2117,-4.600994425
7072,-4.119928523
151477,4.388097301
101927269,4.388097301
114112,3.613876274
84329,3.777002865
401024,-4.490010933
8566,-4.48684681
118672,4.081008284
374864,3.659958674
6446,3.659958674
54843,-3.990346148
5980,-4.428672811
10016,-4.876226193
23160,-4.391931644
2201,-4.385149727
23242,-4.378335778
387911,3.998344579
6876,3.886920763
91137,-4.364610567
3927,-3.882466656
286097,3.824830926
6911,3.701734249
7771,3.463315672
677849,3.924517279
56893,-4.315517187
5167,-4.293954752
644,-4.293954752
80119,3.652871464
644096,3.652871464
9282,-3.799783062
8897,-3.607016238
26830,-3.576116007
2982,-3.541878158
91179,4.405596673
138065,4.099255829
121952,3.846707277
57523,3.256743408
51699,-4.196603892
22998,-4.196603892
7011,-3.728420475
10365,-3.717541483
162494,3.126338614
3142,4.017008797
93653,3.88521538
23300,-4.153353721
5585,-4.153353721
25930,-3.673186117
23335,-4.133257589
340017,3.373334749
497258,3.824183281
9658,3.733726661
677811,-3.661880873
58475,-4.112877568
51100,-3.630326754
5606,3.221121251
9453,-3.424326551
677800,-3.20991509
5518,-3.621599945
54537,-5.092643188
25941,-4.088035328
93035,-4.083853046
339005,3.22591181
136051,3.385175907
5709,-4.0585015
7408,-4.045656689
5217,-4.041349546
8869,3.376833675
123283,3.218372578
101927027,3.218372578
729614,3.660333747
129881,3.402649182
100507388,4.23612878
1641,3.929787936
54951,3.081061907
4780,-4.015233101
65260,3.243874381
100169762,-3.155564991
100169763,-3.145641551
10788,3.015881558
100169761,-3.154560932
5290,-3.999777284
3839,-3.988635152
25829,-3.518820725
2135,3.292203803
100534611,3.584404176
100151684,-3.970626794
6741,-3.96608936
79867,-3.961537611
283174,3.213074155
1950,3.136018123
26782,-3.512540677
29115,-3.483937176
79868,-3.480723718
2539,-3.924597192
101928208,3.783488991
100874039,3.59652249
115560,3.087100425
104355295,3.545067686
101927455,3.545067686
5055,3.410479797
171391,3.347618968
400242,3.287383121
