genes,logFC
26085,4.835348661
63928,4.709838518
10202,4.705338139
10562,4.690665395
273,4.63614902
105373990,4.582675194
654463,4.555434724
10071,4.360540105
56999,4.283324436
563,4.184529356
146177,4.17659705
5175,4.154132083
92749,3.935285702
287,3.935285702
25790,3.877849786
3745,3.863343562
9496,3.826532441
222256,3.818586664
54848,3.814295381
374407,3.787624767
201625,3.761635868
6286,3.757498375
100873980,3.707710726
342538,3.707710726
118430,3.701388661
100874243,3.687020878
8618,3.672032429
270,3.666029993
5327,3.650452652
5655,3.588168169
3908,3.578872135
5923,3.556234345
5104,3.552313333
79740,3.501409332
5799,3.500296247
128102,3.486108301
3778,3.486108301
79747,3.437389324
1836,3.421038413
80122,3.388157991
101929567,3.386967463
79935,3.383546848
7367,3.356556034
154664,3.352171261
79838,3.348754227
8110,3.33471935
23026,3.309227696
54768,3.293377607
2947,3.262436419
55130,3.239095277
2938,3.238468821
2813,3.224179163
83659,3.224179163
23046,3.223642374
90288,3.223642374
200162,3.209363001
3756,3.165561659
5787,3.165561659
114780,3.165561659
3568,3.165561659
10720,3.163116849
10317,3.086641525
219681,3.075653639
2688,3.073790179
84125,3.072845155
374872,3.054182379
12,3.036997425
93035,3.031395492
27286,2.92480801
129881,2.914303392
65217,2.911138022
132203,2.883340779
4135,2.873573839
5778,2.789962793
6097,2.788584821
401546,2.761675821
146754,2.756014529
55711,2.753495787
79895,2.725064451
23024,2.716549658
55036,2.710813381
202052,2.688334798
257106,2.654643856
148713,2.619044344
152110,2.619044344
283726,2.600824439
9283,2.458409617
3776,-2.520226768
3694,-2.536702724
753,-2.575542385
9383,-2.618096166
2043,-2.73298153
10125,-2.833269871
3747,-2.949860883
8001,-2.950479875
339479,-3.07571723
126231,-3.099069286
100505967,-3.377668956
1281,-3.624301761
2568,-3.635599496
100169758,-3.758274865
100169759,-3.760914641
100169753,-3.775120939
100169754,-3.775120939
100169755,-3.776507302
100169756,-3.77826984
100169757,-3.77826984
100169751,-3.840496224
347731,-3.89710159
57575,-3.916383531
51715,-4.095947483
7503,-7.104128795
128344,5.594911299
201625,5.254480196
132228,4.952839265
785,4.904289355
402160,4.78908669
102723743,4.78908669
200162,4.784779227
400499,4.663880211
92749,4.663880211
100127888,4.61867245
100189359,4.526765875
399694,4.526765875
101928794,4.423057408
25790,4.398930032
164656,4.398930032
55001,4.375238313
30008,4.375238313
79747,4.375238313
92340,4.364542094
728763,4.319766364
219670,4.314021545
9247,4.273723553
4610,4.207980914
9770,4.205907505
100188987,4.205907505
27019,4.205907505
132203,4.179934934
1368,4.160499161
100506380,4.10177805
414918,4.092139048
414318,4.092139048
4880,4.014026031
644990,4.014026031
50853,4.014026031
2719,4.014026031
23105,3.966932569
102724077,3.954487676
100129434,3.944664982
149465,3.866733204
148713,3.855223473
284757,3.851219847
51279,3.842945193
956,3.839285011
389799,3.839285011
102467224,3.829818233
101929570,3.815750847
54863,3.815750847
102465486,3.805798648
51751,3.774474162
30014,3.76523796
728712,3.76523796
7145,3.749793471
130367,3.739411181
642987,3.714078532
