"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"LTE2_UP.V1_DN","LTE2_UP.V1_DN","LTE2_UP.V1_DN","60/1540","195/10913",1.37061039864865e-09,2.59045365344594e-07,2.23625907147937e-07,"PDLIM3/CSTA/FHL2/TAF12/ID1/NMRK1/PSMB9/KLF4/H2AC6/SLC24A3/TFPI2/ADD3/ASCL1/TSPO/POT1/IFIT1/NPY1R/PLSCR1/IFIH1/OAS1/DDX58/OAS2/BMERB1/IFI44/LPGAT1/SP110/IFI6/SP100/MGP/SLC6A14/BST2/OAS3/RFWD3/RAB31/CAV1/PTPRK/CEBPG/GFRA1/DDX60/IFI27/H2AC11/IFIT3/MDK/ANXA3/NOTCH1/ALG13/IFI44L/TRIM14/IFITM1/POLI/UGCG/PRSS23/JAG1/STC2/CNN2/SYTL2/ZNF43/SAMD9/RNF6/HERC6",60
"MEK_UP.V1_DN","MEK_UP.V1_DN","MEK_UP.V1_DN","57/1540","193/10913",1.84349786811407e-08,1.59287963516359e-06,1.37508406265862e-06,"SLC26A2/CSTA/SGCG/HSPB8/BLNK/NMRK1/H2AC6/MTIF2/QPRT/NDUFAF1/TFPI2/ASCL1/POT1/IFIT1/NPY1R/IFIH1/OAS1/DDX58/OAS2/BMERB1/IFI44/LPGAT1/SP110/IFI6/RASGRP1/NREP/MPDZ/STXBP3/SP100/MGP/SLC6A14/PGR/AQR/BST2/OAS3/MSMB/ATF1/GOLGA4/GFRA1/DDX60/IFI27/H2AC11/CBR4/ITPRID2/GOLGA8A/ALG13/IFI44L/TRIM14/IFITM1/H2BC10/POLI/ZNF43/RPRD1A/KIAA1324/TFPI/HERC6/AGL",57
"ERBB2_UP.V1_UP","ERBB2_UP.V1_UP","ERBB2_UP.V1_UP","56/1540","190/10913",2.65702708146918e-08,1.59287963516359e-06,1.37508406265862e-06,"CSTA/PARM1/CEMIP/S100P/CEACAM6/CA8/NIBAN1/MALL/MAOA/FER1L4/KCNMA1/TTC9/FMO5/CEACAM5/PLPP1/CAPN5/VIPR1/CXCR4/ANXA6/FADS2/MUC1/APH1B/METRN/PAPSS2/ANGPTL4/GRAMD2B/MPZL2/SLC12A2/KMO/NDRG1/DNAJC4/GAMT/MSX2/KRT81/PCDH1/CREB3L2/THEM6/ITGB6/SOX9/AKR1C2/EGLN3/CAPN2/MIA3/ENO2/LOXL1/ABCG1/CXADR/KRT7/CAST/GUCY1A1/ITGB4/CADPS2/TNNT1/VASP/LIMCH1/BMPR1B",56
"EGFR_UP.V1_DN","EGFR_UP.V1_DN","EGFR_UP.V1_DN","57/1540","196/10913",3.37117383103404e-08,1.59287963516359e-06,1.37508406265862e-06,"CPE/HEBP1/PDLIM3/CSTA/NMU/SGCG/TAF12/BDKRB2/ID1/H2AC6/GULP1/ADD3/FAM234B/ASCL1/CASP6/SGK3/POT1/NME3/NPY1R/LTBP1/BMERB1/IFI44/IFI6/RASGRP1/NREP/MPDZ/ATF7IP/SLC6A14/TRIM24/ACKR3/PGR/BST2/RFWD3/KIF11/MSMB/CAV1/GFRA1/DDX60/IFI27/H2AC11/MDK/CBR4/ITPRID2/GOLGA8A/CTSH/ALG13/IFI44L/PRR15L/H2BC10/POLI/PHF20/OSR2/ZNF43/KIAA1324/HERC6/EFNB2/AGL",57
"RAF_UP.V1_DN","RAF_UP.V1_DN","RAF_UP.V1_DN","56/1540","193/10913",4.84596016293659e-08,1.83177294159003e-06,1.58131331632668e-06,"CPE/CSTA/SGCG/HSPB8/ID1/CCDC22/WASF3/SLC24A3/GULP1/SERPINA3/FAM234B/ASCL1/S100A14/NPY1R/SLC7A2/BMERB1/MYO1B/LPGAT1/SOX9/VAV3/RASGRP1/ROBO1/MPDZ/RND3/ALCAM/TGFB2/MGP/SLC6A14/IGFBP5/SLC19A2/ACKR3/CCND1/PGR/UGDH/MSMB/PMP22/CAV1/DIDO1/GFRA1/KYNU/SOX4/MDK/SH3BGRL/PALLD/CHST15/OSR2/STC2/PCGF3/SYTL2/TBC1D16/PDK3/MED13L/KIAA1324/TFPI/EFNB2/AGR2",56
"ERBB2_UP.V1_DN","ERBB2_UP.V1_DN","ERBB2_UP.V1_DN","56/1540","197/10913",1.04866275067745e-07,3.30328766463396e-06,2.85162677815797e-06,"SLC26A2/HSPB8/FHL2/NMRK1/MTIF2/GULP1/TFPI2/ADD3/ASCL1/CASP6/IFIT1/NPY1R/SLC7A2/IFIH1/OAS1/DDX58/OAS2/BMERB1/IFI44/LPGAT1/IFI6/RASGRP1/MPDZ/MGP/BRWD1/SLC6A14/NCAPG/ERI2/BST2/RAB31/MSMB/ATF1/CAV1/GOLGA4/EHBP1/GFRA1/DDX60/IFI27/CBR4/ANXA3/ITPRID2/MBNL2/GOLGA8A/ALG13/USP16/IFI44L/MAP4K3/POLI/SSB/ZNF43/RPRD1A/WDR43/TMED5/RRP15/HERC6/AGL",56
"MEK_UP.V1_UP","MEK_UP.V1_UP","MEK_UP.V1_UP","49/1540","195/10913",2.76106074543955e-05,0.000745486401268678,0.000643555512094932,"APOD/AKR1C3/PARM1/ACSL1/CEMIP/CRAT/S100P/INAVA/KLF4/CEACAM6/COL5A2/MALL/MAOA/TTC9/OTULINL/CEACAM5/GOLM1/PLPP1/CAPN5/CXCR4/PDK4/FADS2/ANGPTL4/PKIA/GRAMD2B/MPZL2/SLC12A2/KRT81/PCDH1/THEM6/TGFBI/AKR1C2/EGLN3/CAPN2/ENO2/LOXL1/POR/ABCG1/FERMT2/CXADR/KRT7/CLDN9/ITGB4/SPTLC2/CADPS2/LAMC1/VASP/LIMCH1/NT5DC2",49
"TBK1.DF_DN","TBK1.DF_DN","TBK1.DF_DN","62/1540","285/10913",0.000257974160135388,0.00609463953319853,0.00526131510802436,"LIAS/SLC26A2/GEMIN4/GTPBP8/IGF2BP3/PSMB9/COL5A2/MAOA/MBP/PRKRA/POLR3B/FAM234B/ANGPTL4/PLPBP/CASP6/C1D/KLF5/ZNHIT6/THBS1/IFIT1/ITGB6/PMEPA1/MPDZ/BPTF/COL4A5/BRWD1/HIPK2/CCND1/HIPK3/SEMA3C/RLF/RFWD3/CXADR/TTI1/GOLGA4/ACAP2/DDX60/UFL1/EHF/TNRC6B/SIKE1/DNAJC16/TCOF1/NFYB/NEK1/TMOD3/NCOA3/DSN1/AKAP9/YES1/SLC25A13/TLN1/ROCK2/CEP83/NSD3/H1-3/TAF15/TBC1D10B/ERLIN2/ODF2/MED13L/CBX5",62
"GCNP_SHH_UP_EARLY.V1_DN","GCNP_SHH_UP_EARLY.V1_DN","GCNP_SHH_UP_EARLY.V1_DN","38/1540","167/10913",0.00163028088989875,0.0342358986878738,0.0295547997583985,"GCSAM/BTC/JPH3/TIRAP/PPFIBP2/PCP2/PDE1B/STS/PLA2G10/FAM241A/PEPD/SH3BGR/CAMLG/LRRC57/LRRC23/PHLDB2/ACSS1/KIAA1217/LCP1/H2BC21/MGP/EGR1/HOXB3/CBX1/GRIN1/UIMC1/IER2/CITED2/MX2/NOTCH1/LAMB3/MYO5B/SRRM2/TAF15/CPT1A/MAP4K4/CRABP2/FOXA1",38
"LEF1_UP.V1_DN","LEF1_UP.V1_DN","LEF1_UP.V1_DN","41/1540","187/10913",0.00230041339039796,0.0420605555763395,0.0363095857105687,"ERN2/CPE/FPGT/AKR1C3/BDKRB2/ID1/VILL/GATA6/ENTPD3/GAREM1/GSTM3/MYRIP/GRB14/IL20RA/RETREG1/PAPSS2/EHMT2/MRNIP/ID3/NME3/PTPN13/S100A14/OAS1/DDX58/DISC1/AP1M2/ALCAM/RAB25/OAS3/EHF/SH3BGRL/CTSH/TRPM4/PRR15L/TSPAN8/SAMD9/LIMCH1/FOXA1/HERC6/EFNB2/AGR2",41
