sample  ,gene,logFC,unshrunk.logFC,logCPM,PValue,FDR,tumor,cell_line,E2_status
Adrenal.22,55816,6.426637551,6.599284864,4.472790397,0.000158688,0.574354042,Adrenal,MCF7,E2
Adrenal.22,273,6.207045948,6.26680685,5.700332516,7.38493E-05,0.445483354,Adrenal,MCF7,E2
Adrenal.22,91156,6.196670692,6.368987245,4.253811694,0.00026244,0.79156162,Adrenal,MCF7,E2
Adrenal.22,54769,6.040807646,6.212868043,4.106490338,0.000367532,0.950175203,Adrenal,MCF7,E2
Adrenal.22,83889,5.770022215,5.941566021,3.85297516,0.000653873,0.971256775,Adrenal,MCF7,E2
Adrenal.22,10752,5.758786841,6.083585026,3.059467408,0.001631381,0.999954013,Adrenal,MCF7,E2
Adrenal.22,389643,5.713159,6.037781336,3.019056283,0.001784533,0.999954013,Adrenal,MCF7,E2
Adrenal.22,22989,5.617331689,5.941566021,2.934703414,0.002151269,0.999954013,Adrenal,MCF7,E2
Adrenal.22,222256,5.497631273,5.668547526,3.601573023,0.001152274,0.992985506,Adrenal,MCF7,E2
Adrenal.22,79895,5.426979902,5.543016644,4.036638046,0.000833668,0.971256775,Adrenal,MCF7,E2
Adrenal.22,8618,5.421966111,5.50984978,4.402782342,0.000622115,0.971256775,Adrenal,MCF7,E2
Adrenal.22,1770,5.404764449,5.575438122,3.516806152,0.001393245,0.999954013,Adrenal,MCF7,E2
Adrenal.22,123041,5.388688389,5.559318457,3.502184839,0.001439551,0.999954013,Adrenal,MCF7,E2
Adrenal.22,728194,5.345565412,5.668547526,2.699587252,0.003611652,0.999954013,Adrenal,MCF7,E2
Adrenal.22,53340,5.220694353,5.543016644,2.593769319,0.004553999,0.999954013,Adrenal,MCF7,E2
Adrenal.22,101927774,5.203637439,5.525865061,2.579430592,0.004699041,0.999954013,Adrenal,MCF7,E2
Adrenal.22,57709,5.198910519,5.368987245,3.330823671,0.002108883,0.999954013,Adrenal,MCF7,E2
Adrenal.22,440730,5.161553603,5.331512539,3.297374961,0.002271389,0.999954013,Adrenal,MCF7,E2
Adrenal.22,79747,5.153957063,5.475902449,2.537830407,0.005146092,0.999954013,Adrenal,MCF7,E2
Adrenal.22,342538,5.135699687,5.223136378,4.134563947,0.001142551,0.992985506,Adrenal,MCF7,E2
Adrenal.22,3778,5.123203601,5.293038391,3.263138819,0.002450445,0.999954013,Adrenal,MCF7,E2
Adrenal.22,114795,5.123203601,5.293038391,3.263138819,0.002450445,0.999954013,Adrenal,MCF7,E2
Adrenal.22,168507,5.123203601,5.293038391,3.263138819,0.002450445,0.999954013,Adrenal,MCF7,E2
Adrenal.22,161142,5.103639414,5.273409585,3.245713731,0.002546829,0.999954013,Adrenal,MCF7,E2
Adrenal.22,344658,5.083982219,5.405513121,2.479657226,0.00584226,0.999954013,Adrenal,MCF7,E2
Adrenal.22,114815,5.083806268,5.253510027,3.228077369,0.002648169,0.999954013,Adrenal,MCF7,E2
Adrenal.22,89766,5.083806268,5.253510027,3.228077369,0.002648169,0.999954013,Adrenal,MCF7,E2
Adrenal.22,6898,5.047183811,5.105952839,4.587331346,0.000962782,0.971256775,Adrenal,MCF7,E2
Adrenal.22,256076,5.04330279,5.212868043,3.192149932,0.002867009,0.999954013,Adrenal,MCF7,E2
Adrenal.22,1769,5.022616488,5.192109483,3.173847922,0.002985218,0.999954013,Adrenal,MCF7,E2
Adrenal.22,54768,5.013650466,5.064132663,4.763596068,0.000918733,0.971256775,Adrenal,MCF7,E2
Adrenal.22,167838,5.001629253,5.171047867,3.155312748,0.003109804,0.999954013,Adrenal,MCF7,E2
Adrenal.22,1384,4.998214158,5.113332369,3.641729978,0.002023403,0.999954013,Adrenal,MCF7,E2
Adrenal.22,5175,4.981862873,5.026099531,4.915163596,0.000894795,0.971256775,Adrenal,MCF7,E2
Adrenal.22,23114,4.973723421,5.060864949,3.984499575,0.001601107,0.999954013,Adrenal,MCF7,E2
Adrenal.22,641455,4.960756813,5.360425231,2.148728579,0.009492232,0.999954013,Adrenal,MCF7,E2
Adrenal.22,57451,4.958716041,5.127979145,3.117518654,0.003379855,0.999954013,Adrenal,MCF7,E2
Adrenal.22,5125,4.958716041,5.127979145,3.117518654,0.003379855,0.999954013,Adrenal,MCF7,E2
Adrenal.22,3827,4.93915946,5.184913981,2.656391681,0.005478684,0.999954013,Adrenal,MCF7,E2
Adrenal.22,3479,4.914487132,5.083585026,3.078716721,0.003681023,0.999954013,Adrenal,MCF7,E2
Adrenal.22,5923,4.914487132,5.083585026,3.078716721,0.003681023,0.999954013,Adrenal,MCF7,E2
Adrenal.22,4916,4.914487132,5.083585026,3.078716721,0.003681023,0.999954013,Adrenal,MCF7,E2
Adrenal.22,285401,4.914487132,5.083585026,3.078716721,0.003681023,0.999954013,Adrenal,MCF7,E2
Adrenal.22,50939,4.914487132,5.083585026,3.078716721,0.003681023,0.999954013,Adrenal,MCF7,E2
Adrenal.22,653641,4.868859291,5.037781336,3.038851843,0.004017831,0.999954013,Adrenal,MCF7,E2
Adrenal.22,400579,4.851051953,5.171047867,2.289749048,0.008826375,0.999954013,Adrenal,MCF7,E2
Adrenal.22,1836,4.846877307,4.854643819,7.244371412,0.000605992,0.971256775,Adrenal,MCF7,E2
Adrenal.22,6098,4.821741125,4.990475621,2.997864264,0.004395608,0.999954013,Adrenal,MCF7,E2
Adrenal.22,9496,4.808953314,4.838472528,5.309686182,0.00101972,0.971256775,Adrenal,MCF7,E2
Adrenal.22,4345,4.807695794,5.268009597,1.890300561,0.014465954,0.999954013,Adrenal,MCF7,E2
Adrenal.22,5314,4.778206681,4.864944739,3.805231911,0.002389385,0.999954013,Adrenal,MCF7,E2
Adrenal.22,5648,4.77303198,4.941566021,2.955689047,0.004820656,0.999954013,Adrenal,MCF7,E2
Adrenal.22,84466,4.764228209,5.083585026,2.220516123,0.010253428,0.999954013,Adrenal,MCF7,E2
Adrenal.22,56999,4.753371352,4.766078064,6.447577903,0.000831322,0.971256775,Adrenal,MCF7,E2
Adrenal.22,9734,4.72262065,4.890939948,2.912255446,0.005300464,0.999954013,Adrenal,MCF7,E2
Adrenal.22,84443,4.72262065,4.890939948,2.912255446,0.005300464,0.999954013,Adrenal,MCF7,E2
Adrenal.22,4584,4.715077217,4.750341618,4.969095679,0.001377497,0.999954013,Adrenal,MCF7,E2
Adrenal.22,3603,4.670383845,4.838472528,2.867486201,0.005843976,0.999954013,Adrenal,MCF7,E2
Adrenal.22,200772,4.623332447,4.941566021,2.110078106,0.013015286,0.999954013,Adrenal,MCF7,E2
Adrenal.22,64072,4.616184373,4.784024744,2.821296705,0.006461929,0.999954013,Adrenal,MCF7,E2
Adrenal.22,7038,4.616184373,4.784024744,2.821296705,0.006461929,0.999954013,Adrenal,MCF7,E2
Adrenal.22,25769,4.616184373,4.784024744,2.821296705,0.006461929,0.999954013,Adrenal,MCF7,E2
Adrenal.22,26085,4.610413667,4.668547526,4.180624621,0.002403863,0.999954013,Adrenal,MCF7,E2
Adrenal.22,147660,4.598451566,4.91647504,2.090829635,0.013566881,0.999954013,Adrenal,MCF7,E2
Adrenal.22,645961,4.598451566,4.91647504,2.090829635,0.013566881,0.999954013,Adrenal,MCF7,E2
Adrenal.22,57578,4.573134045,4.890939948,2.071323462,0.01414946,0.999954013,Adrenal,MCF7,E2
Adrenal.22,126638,4.559868975,4.727441216,2.773594046,0.007167281,0.999954013,Adrenal,MCF7,E2
Adrenal.22,480,4.559868975,4.727441216,2.773594046,0.007167281,0.999954013,Adrenal,MCF7,E2
Adrenal.22,643677,4.559868975,4.727441216,2.773594046,0.007167281,0.999954013,Adrenal,MCF7,E2
Adrenal.22,4025,4.559868975,4.727441216,2.773594046,0.007167281,0.999954013,Adrenal,MCF7,E2
Adrenal.22,2570,4.559868975,4.727441216,2.773594046,0.007167281,0.999954013,Adrenal,MCF7,E2
Adrenal.22,9472,4.551976464,4.638173877,3.600676024,0.003758051,0.999954013,Adrenal,MCF7,E2
Adrenal.22,5649,4.551976464,4.638173877,3.600676024,0.003758051,0.999954013,Adrenal,MCF7,E2
Adrenal.22,79987,4.551976464,4.638173877,3.600676024,0.003758051,0.999954013,Adrenal,MCF7,E2
Adrenal.22,347688,4.547547845,5.004975191,1.70055776,0.021807733,0.999954013,Adrenal,MCF7,E2
Adrenal.22,26034,4.530864882,4.69829487,2.749143701,0.007557523,0.999954013,Adrenal,MCF7,E2
Adrenal.22,5733,4.521125836,4.838472528,2.031509742,0.015416526,0.999954013,Adrenal,MCF7,E2
Adrenal.22,154664,4.521030354,4.607146982,3.572956353,0.003994536,0.999954013,Adrenal,MCF7,E2
Adrenal.22,5104,4.513641748,4.525422584,6.316883552,0.001376811,0.999954013,Adrenal,MCF7,E2
Adrenal.22,105375661,4.503906524,4.617563598,3.200694521,0.005353488,0.999954013,Adrenal,MCF7,E2
Adrenal.22,85397,4.501265703,4.668547526,2.724275879,0.00797577,0.999954013,Adrenal,MCF7,E2
Adrenal.22,6515,4.501265703,4.668547526,2.724275879,0.00797577,0.999954013,Adrenal,MCF7,E2
Adrenal.22,100129940,4.501265703,4.668547526,2.724275879,0.00797577,0.999954013,Adrenal,MCF7,E2
Adrenal.22,80125,4.501265703,4.668547526,2.724275879,0.00797577,0.999954013,Adrenal,MCF7,E2
Adrenal.22,129530,4.501265703,4.668547526,2.724275879,0.00797577,0.999954013,Adrenal,MCF7,E2
Adrenal.22,80122,4.501265703,4.668547526,2.724275879,0.00797577,0.999954013,Adrenal,MCF7,E2
Adrenal.22,3269,4.501265703,4.668547526,2.724275879,0.00797577,0.999954013,Adrenal,MCF7,E2
Adrenal.22,389434,4.501265703,4.668547526,2.724275879,0.00797577,0.999954013,Adrenal,MCF7,E2
Adrenal.22,245972,4.501265703,4.668547526,2.724275879,0.00797577,0.999954013,Adrenal,MCF7,E2
Adrenal.22,4619,4.471046508,4.638173877,2.698976099,0.008424541,0.999954013,Adrenal,MCF7,E2
Adrenal.22,2213,4.467172422,4.784024744,1.990577418,0.016836401,0.999954013,Adrenal,MCF7,E2
Adrenal.22,91662,4.467172422,4.784024744,1.990577418,0.016836401,0.999954013,Adrenal,MCF7,E2
Adrenal.22,2321,4.457072589,4.543016644,3.515878815,0.004528188,0.999954013,Adrenal,MCF7,E2
Adrenal.22,10071,4.443946549,4.458624457,5.935002051,0.001698254,0.999954013,Adrenal,MCF7,E2
Adrenal.22,654463,4.440630085,4.526528522,3.501252247,0.004675784,0.999954013,Adrenal,MCF7,E2
Adrenal.22,6910,4.440180764,4.607146982,2.673229107,0.008906627,0.999954013,Adrenal,MCF7,E2
Adrenal.22,100131551,4.440180764,4.607146982,2.673229107,0.008906627,0.999954013,Adrenal,MCF7,E2
Adrenal.22,9370,4.411122624,4.727441216,1.948461788,0.018432694,0.999954013,Adrenal,MCF7,E2
Adrenal.22,100874095,4.411122624,4.727441216,1.948461788,0.018432694,0.999954013,Adrenal,MCF7,E2
Adrenal.22,128102,4.407171979,4.492975962,3.471550113,0.004990108,0.999954013,Adrenal,MCF7,E2
Adrenal.22,100874261,4.397465852,4.852972098,1.595532211,0.027372338,0.999954013,Adrenal,MCF7,E2
Adrenal.22,3745,4.393082787,4.462096649,3.74392347,0.004280592,0.999954013,Adrenal,MCF7,E2
Adrenal.22,89866,4.376394644,4.543016644,2.620328312,0.00998351,0.999954013,Adrenal,MCF7,E2
Adrenal.22,1280,4.376394644,4.543016644,2.620328312,0.00998351,0.999954013,Adrenal,MCF7,E2
Adrenal.22,64344,4.376394644,4.543016644,2.620328312,0.00998351,0.999954013,Adrenal,MCF7,E2
Adrenal.22,773,4.355483355,4.44113703,3.425827306,0.005514687,0.999954013,Adrenal,MCF7,E2
Adrenal.22,60677,4.35280692,4.668547526,1.905092364,0.020233534,0.999954013,Adrenal,MCF7,E2
Adrenal.22,1137,4.35280692,4.668547526,1.905092364,0.020233534,0.999954013,Adrenal,MCF7,E2
Adrenal.22,5137,4.319965903,4.405513121,3.394526705,0.00590444,0.999954013,Adrenal,MCF7,E2
Adrenal.22,158326,4.319965903,4.405513121,3.394526705,0.00590444,0.999954013,Adrenal,MCF7,E2
Adrenal.22,256158,4.319965903,4.405513121,3.394526705,0.00590444,0.999954013,Adrenal,MCF7,E2
Adrenal.22,100288805,4.314199787,4.363692945,4.114349837,0.003937728,0.999954013,Adrenal,MCF7,E2
Adrenal.22,160777,4.309657355,4.475902449,2.565433902,0.011235739,0.999954013,Adrenal,MCF7,E2
