sample  ,gene,tumor,cell_line,E2_status
Adrenal.1,GABRP,Adrenal,MCF7,E2
Adrenal.1,PCDH10,Adrenal,MCF7,E2
Adrenal.1,ITGB6,Adrenal,MCF7,E2
Adrenal.1,FBN2,Adrenal,MCF7,E2
Adrenal.1,KCNK2,Adrenal,MCF7,E2
Adrenal.1,GPR171,Adrenal,MCF7,E2
Adrenal.1,RASGRP1,Adrenal,MCF7,E2
Adrenal.1,COL3A1,Adrenal,MCF7,E2
Adrenal.1,EYA2,Adrenal,MCF7,E2
Adrenal.1,CYP24A1,Adrenal,MCF7,E2
Adrenal.1,IFI44L,Adrenal,MCF7,E2
Adrenal.1,LINC00052,Adrenal,MCF7,E2
Adrenal.1,PLCXD3,Adrenal,MCF7,E2
Adrenal.1,ANXA1,Adrenal,MCF7,E2
Adrenal.1,DCLK1,Adrenal,MCF7,E2
Adrenal.1,DACH2,Adrenal,MCF7,E2
Adrenal.1,LDLRAD4,Adrenal,MCF7,E2
Adrenal.1,TGFB2,Adrenal,MCF7,E2
Adrenal.1,PMEPA1,Adrenal,MCF7,E2
Adrenal.1,LRRTM3,Adrenal,MCF7,E2
Adrenal.1,SELL,Adrenal,MCF7,E2
Adrenal.1,NFIA,Adrenal,MCF7,E2
Adrenal.1,TGM2,Adrenal,MCF7,E2
Adrenal.1,CDH26,Adrenal,MCF7,E2
Adrenal.1,SULF1,Adrenal,MCF7,E2
Adrenal.1,COL18A1-AS1,Adrenal,MCF7,E2
Adrenal.1,SPOCK1,Adrenal,MCF7,E2
Adrenal.1,OLFML2A,Adrenal,MCF7,E2
Adrenal.1,AARD,Adrenal,MCF7,E2
Adrenal.1,INAVA,Adrenal,MCF7,E2
Adrenal.1,NREP,Adrenal,MCF7,E2
Adrenal.1,HPGD,Adrenal,MCF7,E2
Adrenal.1,IFI44,Adrenal,MCF7,E2
Adrenal.1,PLEKHH2,Adrenal,MCF7,E2
Adrenal.1,AREG,Adrenal,MCF7,E2
Adrenal.1,FIRRE,Adrenal,MCF7,E2
Adrenal.1,CACHD1,Adrenal,MCF7,E2
Adrenal.1,ARHGAP26,Adrenal,MCF7,E2
Adrenal.1,KRT80,Adrenal,MCF7,E2
Adrenal.1,THBS1,Adrenal,MCF7,E2
Adrenal.2,XIST,Adrenal,MCF7,E2
Adrenal.2,RAB23,Adrenal,MCF7,E2
Adrenal.2,PCDH10,Adrenal,MCF7,E2
Adrenal.2,LRRTM3,Adrenal,MCF7,E2
Adrenal.2,RNA5S1,Adrenal,MCF7,E2
Adrenal.2,RNA5S5,Adrenal,MCF7,E2
Adrenal.2,RNA5S6,Adrenal,MCF7,E2
Adrenal.2,RNA5S4,Adrenal,MCF7,E2
Adrenal.2,RNA5S2,Adrenal,MCF7,E2
Adrenal.2,RNA5S3,Adrenal,MCF7,E2
Adrenal.2,RNA5S8,Adrenal,MCF7,E2
Adrenal.2,RNA5S7,Adrenal,MCF7,E2
Adrenal.2,GABRP,Adrenal,MCF7,E2
Adrenal.2,COL3A1,Adrenal,MCF7,E2
Adrenal.2,LINC00645,Adrenal,MCF7,E2
Adrenal.2,ZNF573,Adrenal,MCF7,E2
Adrenal.2,BRINP3,Adrenal,MCF7,E2
Adrenal.2,GLRA3,Adrenal,MCF7,E2
Adrenal.2,KCNC2,Adrenal,MCF7,E2
Adrenal.2,RASGRP1,Adrenal,MCF7,E2
Adrenal.2,EPHA4,Adrenal,MCF7,E2
Adrenal.2,TSIX,Adrenal,MCF7,E2
Adrenal.2,LDLRAD4,Adrenal,MCF7,E2
Adrenal.2,ITGB6,Adrenal,MCF7,E2
Adrenal.2,KCNK2,Adrenal,MCF7,E2
Adrenal.3,IGFBP5,Adrenal,MCF7,E2
Adrenal.3,RNA5S9,Adrenal,MCF7,E2
Adrenal.3,SAMD9,Adrenal,MCF7,E2
Adrenal.3,LNCAROD,Adrenal,MCF7,E2
Adrenal.3,CAV1,Adrenal,MCF7,E2
Adrenal.3,CAV2,Adrenal,MCF7,E2
Adrenal.3,TFPI,Adrenal,MCF7,E2
Adrenal.3,AREG,Adrenal,MCF7,E2
Adrenal.3,WNT7B,Adrenal,MCF7,E2
Adrenal.3,RASGRP1,Adrenal,MCF7,E2
Adrenal.3,CRABP2,Adrenal,MCF7,E2
Adrenal.3,IFI44,Adrenal,MCF7,E2
Adrenal.3,KRT5,Adrenal,MCF7,E2
Adrenal.3,CEACAM6,Adrenal,MCF7,E2
Adrenal.3,DHRS3,Adrenal,MCF7,E2
Adrenal.3,MBNL2,Adrenal,MCF7,E2
Adrenal.3,ITGB6,Adrenal,MCF7,E2
Adrenal.3,IFIT3,Adrenal,MCF7,E2
Adrenal.3,IFI27,Adrenal,MCF7,E2
Adrenal.3,XAF1,Adrenal,MCF7,E2
Adrenal.3,XIST,Adrenal,MCF7,E2
Adrenal.3,LDLRAD4,Adrenal,MCF7,E2
Adrenal.3,KCNJ3,Adrenal,MCF7,E2
Adrenal.3,RNU5F-1,Adrenal,MCF7,E2
Adrenal.3,LAMB3,Adrenal,MCF7,E2
Adrenal.3,ITGB4,Adrenal,MCF7,E2
Adrenal.3,CLDN9,Adrenal,MCF7,E2
Adrenal.3,LPCAT2,Adrenal,MCF7,E2
Adrenal.3,IFI44L,Adrenal,MCF7,E2
Adrenal.3,ANXA3,Adrenal,MCF7,E2
Adrenal.3,SLC6A14,Adrenal,MCF7,E2
Adrenal.3,ADGRF4,Adrenal,MCF7,E2
Adrenal.3,NECAB1,Adrenal,MCF7,E2
Adrenal.3,CAPG,Adrenal,MCF7,E2
Adrenal.3,KYNU,Adrenal,MCF7,E2
Adrenal.3,PLCXD3,Adrenal,MCF7,E2
Adrenal.3,SGCG,Adrenal,MCF7,E2
Adrenal.3,SULF1,Adrenal,MCF7,E2
Adrenal.3,GABRP,Adrenal,MCF7,E2
Adrenal.3,PMP22,Adrenal,MCF7,E2
Adrenal.3,SNORD14A,Adrenal,MCF7,E2
Adrenal.3,OAS3,Adrenal,MCF7,E2
Adrenal.3,RNA5S3,Adrenal,MCF7,E2
Adrenal.3,RNA5S4,Adrenal,MCF7,E2
Adrenal.3,CEACAM5,Adrenal,MCF7,E2
Adrenal.3,RNA5S5,Adrenal,MCF7,E2
Adrenal.3,RNA5S6,Adrenal,MCF7,E2
Adrenal.3,RNA5S7,Adrenal,MCF7,E2
Adrenal.3,MUC5AC,Adrenal,MCF7,E2
Adrenal.3,RNA5S8,Adrenal,MCF7,E2
Adrenal.3,TIMP3,Adrenal,MCF7,E2
Adrenal.3,KRT80,Adrenal,MCF7,E2
Adrenal.3,IFIT2,Adrenal,MCF7,E2
Adrenal.3,RNA5S2,Adrenal,MCF7,E2
Adrenal.3,MPZL2,Adrenal,MCF7,E2
Adrenal.3,S100A10,Adrenal,MCF7,E2
Adrenal.3,ACKR3,Adrenal,MCF7,E2
Adrenal.3,LOXL1,Adrenal,MCF7,E2
Adrenal.3,EGR1,Adrenal,MCF7,E2
Adrenal.3,RNA5S1,Adrenal,MCF7,E2
Adrenal.3,SCARNA15,Adrenal,MCF7,E2
Adrenal.3,UNC13D,Adrenal,MCF7,E2
Adrenal.3,SHFL,Adrenal,MCF7,E2
Adrenal.3,DSG2,Adrenal,MCF7,E2
Adrenal.3,COL4A5,Adrenal,MCF7,E2
Adrenal.3,AHNAK2,Adrenal,MCF7,E2
Adrenal.3,SNORD96A,Adrenal,MCF7,E2
Adrenal.3,SCARNA11,Adrenal,MCF7,E2
Adrenal.3,EGLN3,Adrenal,MCF7,E2
Adrenal.3,PARP10,Adrenal,MCF7,E2
Adrenal.3,SNORA44,Adrenal,MCF7,E2
Adrenal.3,DSC2,Adrenal,MCF7,E2
Adrenal.3,TGM2,Adrenal,MCF7,E2
