"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"umls:C0024668","umls:C0024668","Mammary Neoplasms, Experimental","56/2129","207/17381",5.35293980516274e-09,1.9372289154884e-05,1.8042224480138e-05,"2099/2688/3400/10409/2180/3397/3265/6446/80781/5465/2678/7351/842/2335/6558/3399/8825/7057/60/71/374/2023/6662/6122/5685/214/4256/2475/9902/1289/595/5241/3855/5921/22844/1622/301/4012/5618/3021/790/5725/998/6319/2625/7091/3178/2934/5037/8614/4780/7086/3852/7534/4512/7430",56
"umls:C0004134","umls:C0004134","Ataxia","63/2129","265/17381",1.27295385736426e-07,0.000230341000490063,0.000214526223751598,"785/58476/57338/6286/767/92935/8395/2678/2705/203228/4578/56652/3752/57128/4575/5884/4564/57505/4573/4540/4571/4538/10244/4536/4549/7052/2026/3921/3315/4509/25814/1938/338/7337/6311/4537/9097/10938/5594/5160/84181/1822/23345/1769/2934/4514/5373/10273/4579/3918/4780/4204/4512/3064/4519/3710/10528/4566/858/805/4513/4535/4508",63
"umls:C0024667","umls:C0024667","Animal Mammary Neoplasms","49/2129","200/17381",1.22169616828328e-06,0.00147377281100573,0.00137258636169932,"2099/3400/10409/2180/3265/6446/5465/2678/7351/3486/7253/2335/6558/5890/3399/8825/60/71/374/2023/6662/6122/5685/214/4256/9902/1289/595/5241/5921/1622/301/5618/3021/5725/998/6319/2625/367/7091/3178/5037/1786/5290/7086/3852/7534/4512/7430",49
"umls:C0037221","umls:C0037221","Situs Inversus","12/2129","25/17381",1.23238025293019e-05,0.00850812795975437,0.0079239760117315,"128344/23639/27019/3110/55130/7841/203286/220136/8701/27031/6520/5310",12
"umls:C3714756","umls:C3714756","Intellectual Disability","87/2129","455/17381",1.36419064371373e-05,0.00850812795975437,0.0079239760117315,"3899/57526/51265/2891/1641/55180/22854/28952/3146/3265/5190/767/3908/4128/80781/8575/5080/1193/55090/55703/84061/3756/7025/728378/115560/203228/429/4703/51256/10129/8825/60684/9759/10295/2593/120534/60/71/3092/27185/57575/6249/1287/1106/23152/5900/6309/7528/9939/6611/776/81631/114788/24137/477/861/23361/8289/283989/79868/57680/80067/2904/6949/5524/84274/9369/93664/9841/1769/57532/890/2778/23352/83696/5373/23325/7991/51134/3725/4204/10084/11160/23389/23394/4952/6520",87
"umls:C0878544","umls:C0878544","Cardiomyopathies","90/2129","475/17381",1.41057661670423e-05,0.00850812795975437,0.0079239760117315,"11019/3679/5327/128229/6445/5317/624/57644/1376/56851/3146/1636/755/767/6097/5664/355/54968/10891/5465/10398/6392/5166/948/51103/11155/3038/4703/56652/51422/10438/57505/6390/7414/2597/8082/80206/1824/390/112399/1829/10057/2997/3315/473/1431/3329/338/5093/88/10848/7531/8455/7273/10938/5594/5292/6654/1281/7138/6319/5894/23345/1769/367/890/6389/6262/2778/4514/1838/10102/9927/2539/10627/5290/4780/5048/332/4512/3064/91010/3728/4513/1191/6520/7422/4535/4508/178",90
"umls:C0020255","umls:C0020255","Hydrocephalus","22/2129","70/17381",1.87596213310541e-05,0.00969872422815498,0.00903282819579478,"54768/8632/27019/55567/3146/1636/80781/5465/2296/1767/91147/4774/3329/2683/7428/58478/4784/6023/3918/5108/648/729920",22
"umls:C0005695","umls:C0005695","Bladder Neoplasm","84/2129","442/17381",2.40731242064343e-05,0.0108900795628857,0.0101423873301319,"2099/2114/3400/5329/6563/10874/58476/8644/4610/146177/4353/9227/3397/3265/90993/1580/10671/3908/80781/27127/5080/355/634/652995/2706/3683/726/5465/2947/117247/7852/3868/3486/4582/6482/283120/23604/10397/9759/688/1495/6662/26986/214/2186/1646/3488/2026/811/4016/6772/5447/595/54739/7764/2033/10979/7428/3429/301/6659/4192/682/8289/7874/5899/84181/6319/4171/5715/9166/367/2934/29128/3927/51741/5290/3918/3852/332/3728/648/1191/7422",84
"umls:C1176475","umls:C1176475","Ductal Carcinoma","49/2129","223/17381",2.97351005573327e-05,0.0119568143241097,0.0111358821034596,"2099/118430/9148/5175/685/285/8644/3397/1384/51435/7078/9314/6781/55824/7852/3486/728378/4582/2335/4751/60/374/8125/1824/214/23213/3192/595/5241/6657/857/3856/8289/3875/8202/9166/5580/4781/367/388697/11315/1786/51741/5290/51715/7474/5829/3169/7422",49
"umls:C0040136","umls:C0040136","Thyroid Neoplasm","85/2129","453/17381",3.49438899563158e-05,0.0126461937751907,0.0117779300673814,"2099/2688/5329/200162/285/83478/4610/9770/3397/2719/3265/10671/3908/80781/2784/355/634/1048/1950/726/6781/7351/7852/4582/2057/7253/2335/429/427/706/3399/23037/10920/64764/7057/5573/388/4043/2597/3248/214/3488/1958/6772/595/10657/80142/5921/2674/7428/7175/6872/3654/3429/301/682/9950/27342/754/4851/6515/3691/8031/790/6319/5715/4221/5580/5894/7011/367/2778/7520/29128/9249/5290/23560/5108/332/7474/3728/5911/3169/1191/7422",85
