"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa03010","hsa03010","Ribosome","54/1111","158/8076",3.9979717413511e-11,1.2833489289737e-08,1.17414117456522e-08,"100169760/100169765/100169766/100169764/100169768/100169767/100169761/100169763/100169762/29093/29074/6203/200916/6222/4736/6147/4550/6137/6146/6129/6189/6122/4549/23521/6124/6224/100169758/100169759/6139/100169753/100169754/100169755/100169756/100169757/100169751/3921/6160/6171/6142/6138/6193/6201/6223/51318/6167/100529239/7311/65003/6181/6125/6227/65005/6136/6130",54
"hsa04510","hsa04510","Focal adhesion","52/1111","201/8076",2.83523648284363e-06,0.000340972286731296,0.000311956937196365,"3679/399694/8515/3693/3265/3908/22801/5923/8395/1950/10398/340156/2335/56924/3678/7057/60/71/3694/131873/1288/7414/10451/5499/824/1793/1287/595/1729/3696/2316/857/6464/5594/6654/3691/3914/998/5894/2885/3915/5062/7094/10627/5290/3918/9475/7408/3725/5829/858/7422",52
"hsa00970","hsa00970","Aminoacyl-tRNA biosynthesis","24/1111","66/8076",3.18665688533921e-06,0.000340972286731296,0.000311956937196365,"57176/51091/118672/92935/123283/4578/3035/4575/7407/4564/57505/4573/4571/3376/80222/3735/833/124454/10056/4579/283459/4566/2058/55699",24
"hsa05100","hsa05100","Bacterial invasion of epithelial cells","24/1111","77/8076",6.1614668326387e-05,0.00395566170655405,0.00361905104485515,"1731/399694/2335/3678/60/71/1213/1495/7414/1793/23176/10092/857/2549/10163/6464/10097/10109/998/9844/5290/8976/5829/858",24
"hsa05412","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","24/1111","77/8076",6.1614668326387e-05,0.00395566170655405,0.00361905104485515,"93589/3679/785/6445/783/8515/3693/3908/22801/3678/6546/489/60/71/3694/1495/1824/1829/3696/776/88/3691/6262/3728",24
"hsa03008","hsa03008","Ribosome biogenesis in eukaryotes","30/1111","111/8076",0.000153187792328773,0.00819554688958938,0.00749813930872417,"100169760/100169765/100169766/100169764/100169768/100169767/100169761/100169763/100169762/10248/51068/4550/26851/4549/100169758/100169759/780852/100169753/100169754/100169755/100169756/100169757/100169751/780853/6949/55916/6023/23560/23160/10528",30
"hsa04810","hsa04810","Regulation of actin cytoskeleton","49/1111","218/8076",0.000265836353426892,0.0121904956357189,0.0111531342264816,"3679/624/8515/3693/3265/22801/8395/1950/10297/3683/10398/7852/340156/2335/10788/56924/3678/60/71/3694/7414/10451/5499/1793/10092/1729/3696/23365/10163/10097/5594/6654/3691/10109/1072/998/5894/8826/2934/55970/5062/10627/5290/9475/5217/8976/5829/7430/28964",49
"hsa05014","hsa05014","Amyotrophic lateral sclerosis","73/1111","364/8076",0.000429983488895355,0.0172530874919261,0.0157849201844479,"201625/9001/84134/8632/23710/220988/27019/65018/2891/55567/10671/146754/311/9542/5606/6392/842/203228/7846/8701/6506/144983/10120/1767/89953/1345/6390/4540/60/71/4538/4536/5685/10376/2475/4509/4706/514/5704/2902/6311/4537/7175/4744/6428/5686/2904/60673/1537/8480/55916/90550/5715/1769/6389/23225/9782/3178/4514/84516/64837/5217/11273/5709/4512/8878/56893/4519/3710/3181/4513/4535/4508",73
"hsa04512","hsa04512","ECM-receptor interaction","24/1111","88/8076",0.000588469077230363,0.0209887304212163,0.0192026751517276,"3679/9900/8515/3693/3908/22801/948/9899/2335/341640/3678/7057/3694/131873/1288/1287/3161/3696/3691/3914/375790/3915/3918/80144",24
"hsa05410","hsa05410","Hypertrophic cardiomyopathy","24/1111","90/8076",0.000836251694162561,0.0268436793826182,0.0245593918601426,"93589/3679/785/6445/783/8515/1636/3693/3908/22801/51422/3678/6546/489/60/71/3694/7171/7042/3696/776/7273/3691/6262",24
