1,sample,gene,cell_line,E2_status,entrez_id,row_names,col_idn,logFC
2,Adrenal.1,PKIB,MCF7,E2,5570,66,3215,2.414051751
3,Brain.4,ATP2A3,MCF7,E2,489,2909,2914,2.427020128
4,Brain.4,S100A14,MCF7,E2,57402,3021,236,2.447169295
5,Bone.1,RNU1-4,MCF7,E2,6060,477,482,2.448669042
6,Adrenal.2,GPR37L1,MCF7,E2,9283,136,3238,2.458409617
7,Adrenal.1,MAP3K8,MCF7,E2,1326,55,3204,2.458578997
8,Brain.4,CEACAM6,MCF7,E2,4680,2925,2930,2.465891468
9,Brain.2,RPL10A,ZR751,ED,4736,2435,2440,2.469263987
10,Brain.1,CSTF3,ZR751,ED,1479,1968,1973,2.473395274
11,Brain.1,PXMP4,ZR751,ED,11264,2111,2116,2.482270954
12,Brain.4,NECTIN4,MCF7,E2,81607,2997,212,2.489513198
13,Bone.1,RNU1-3,MCF7,E2,26869,476,481,2.499613478
14,Brain.3,SLC12A4,ZR751,ED,6560,2808,2813,2.500906419
15,Brain.1,MUC1,ZR751,ED,4582,2069,2074,2.508995957
16,Adrenal.3,EPHA3,MCF7,E2,2042,3252,253,2.522019844
17,Bone.1,SIAE,MCF7,E2,54414,479,484,2.529916463
18,Bone.3,PARP8,MCF7,E2,79668,1068,1073,2.536627738
19,Bone.3,PRR26,MCF7,E2,414235,1107,1112,2.536627738
20,Brain.3,KIDINS220,ZR751,ED,57498,2673,2678,2.537658628
21,Bone.1,TSIX,MCF7,E2,9383,487,492,2.541566745
22,Kidney.1,RMST,MCF7,E2,196475,3205,420,2.542809645
23,Bone.3,KLK11,MCF7,E2,11012,983,988,2.544853788
24,Bone.3,TTC28,MCF7,E2,23331,1240,1245,2.545271464
25,Brain.1,TEX15,ZR751,ED,56154,2182,2187,2.546535405
26,Bone.4,KCTD13,MCF7,E2,253980,1465,1470,2.548804458
27,Brain.1,PAM,ZR751,ED,5066,2083,2088,2.556777698
28,Bone.3,ESCO2,MCF7,E2,157570,909,914,2.556825246
29,Adrenal.3,GRIK3,MCF7,E2,2899,3262,263,2.558268732
30,Bone.4,ADSL,MCF7,E2,158,1302,1307,2.55949322
31,Bone.3,SUPV3L1,MCF7,E2,6832,1194,1271,2.561579299
32,Brain.1,NPHP3,ZR751,ED,27031,2075,2080,2.563267529
33,Bone.2,PTPN18,MCF7,E2,26469,687,3228,2.564504144
34,Bone.3,ZNF493,MCF7,E2,284443,1274,1279,2.568660729
35,Adrenal.1,SPDEF,MCF7,E2,25803,79,81,2.569562621
36,Bone.6,DHX16,ZR751,ED,8449,1837,1842,2.571017043
37,Brain.2,DBNL,ZR751,ED,28988,2283,2288,2.571306361
38,Bone.1,RGL3,MCF7,E2,57139,466,471,2.57204356
39,Bone.4,NAPEPLD,MCF7,E2,222236,1521,1526,2.577546944
40,Bone.3,THEM6,MCF7,E2,51337,1212,1217,2.578850646
41,Bone.4,SLC8A1,MCF7,E2,6546,1627,1632,2.581907272
42,Bone.3,CRY1,MCF7,E2,1407,867,872,2.582133953
43,Brain.1,SHMT2,ZR751,ED,6472,2151,2156,2.582690888
44,Bone.3,FAM114A1,MCF7,E2,92689,912,917,2.583259986
45,Bone.3,RHOBTB1,MCF7,E2,9886,1129,1134,2.586446837
46,Brain.3,NMD3,ZR751,ED,51068,2720,2725,2.586857698
47,Bone.3,CREB3L2,MCF7,E2,64764,865,870,2.590406993
48,Bone.3,SLC25A12,MCF7,E2,8604,1156,1233,2.592637308
49,Bone.3,DDIAS,MCF7,E2,220042,876,881,2.594690131
50,Bone.3,C9orf152,MCF7,E2,401546,824,829,2.594953647
51,Brain.3,SDHB,ZR751,ED,6390,2798,2803,2.595292851
52,Adrenal.3,PKHD1L1,MCF7,E2,93035,322,327,2.597802635
53,Adrenal.2,SAXO2,MCF7,E2,283726,94,195,2.600824439
54,Bone.2,CTPS2,MCF7,E2,56474,3204,563,2.600825584
55,Bone.6,RNA5S17,ZR751,ED,100169768,1891,1896,2.603492983
56,Adrenal.1,CALML5,MCF7,E2,51806,16,90,2.60559938
57,Brain.1,SLC29A1,ZR751,ED,2030,2155,2160,2.609501607
58,Brain.2,PTPN13,ZR751,ED,5783,2423,2428,2.613030354
59,Brain.3,BTN2A1,ZR751,ED,11120,2554,2559,2.613823563
60,Bone.2,ECHDC2,MCF7,E2,55268,3215,574,2.614279045
61,Kidney.1,SPEF2,MCF7,E2,79925,3226,441,2.615849043
62,Brain.1,SYVN1,ZR751,ED,84447,2173,2178,2.617513138
63,Bone.3,NR4A1,MCF7,E2,3164,1057,1062,2.617719094
64,Bone.3,CCDC137,MCF7,E2,339230,830,835,2.619039741
65,Adrenal.2,NEK10,MCF7,E2,152110,3213,3264,2.619044344
66,Adrenal.2,PTPRVP,MCF7,E2,148713,79,3277,2.619044344
67,Brain.3,SLC7A5,ZR751,ED,8140,2812,2817,2.620423204
68,Bone.1,KCNC2,MCF7,E2,3747,431,436,2.623210785
69,Brain.3,FASTKD2,ZR751,ED,22868,2620,2625,2.624026881
70,Bone.4,PYROXD2,MCF7,E2,84795,1575,1580,2.624097113
71,Kidney.1,ARL16,MCF7,E2,339231,3067,282,2.625846081
