sample,gene,cell_line,E2_status,entrez_id,row_names,col_idn,logFC
Adrenal.2,XIST,MCF7,E2,7503,3208,209,-7.104128795
Bone.5,MT-ATP8,MCF7,ED,4509,1746,1751,-7.003336938
Brain.2,SNORA64,ZR751,ED,26784,2464,2469,-6.790877449
Brain.3,AGL,ZR751,ED,178,2536,2541,-6.777525597
Adrenal.3,IGFBP5,MCF7,E2,3488,3274,275,-6.579480265
Brain.3,PRUNE2,ZR751,ED,158471,2762,2767,-6.352790554
Adrenal.1,GABRP,MCF7,E2,2568,38,3193,-6.19953887
Bone.5,RPL13A,MCF7,ED,23521,1786,1791,-6.060401536
Bone.4,RNA5S11,MCF7,E2,100169762,1587,1592,-6.060106628
Bone.4,RNA5S10,MCF7,E2,100169761,1586,1591,-6.059100012
Brain.1,AGR2,ZR751,ED,10551,1927,1932,-5.950826899
Bone.5,MT-ATP6,MCF7,ED,4508,1745,1750,-5.949293531
Bone.5,MT-ND1,MCF7,ED,4535,1751,1756,-5.838236159
Bone.3,PLXND1,MCF7,E2,23129,1095,1100,-5.819720578
Bone.5,PTMA,MCF7,ED,5757,1762,1767,-5.811298775
Brain.3,MUC16,ZR751,ED,94025,2705,2710,-5.80982423
Brain.2,SNORD15B,ZR751,ED,114599,2466,2471,-5.807755173
Adrenal.3,RNA5S9,MCF7,E2,100169760,341,346,-5.771248361
Brain.4,PLCXD3,MCF7,E2,345557,3008,223,-5.744630048
Bone.4,DHX40,MCF7,E2,79665,1384,1389,-5.722116078
Bone.5,MT-ND4,MCF7,ED,4538,1753,1758,-5.716906779
Bone.2,PRRC2A,MCF7,E2,7916,3282,3224,-5.705670364
Adrenal.3,SAMD9,MCF7,E2,54809,348,353,-5.699476783
Brain.2,ACTG1,ZR751,ED,71,2224,2229,-5.694464943
Bone.4,ELK4,MCF7,E2,2005,1403,1408,-5.668338986
Adrenal.1,PCDH10,MCF7,E2,57575,64,3213,-5.667561588
Brain.2,SNORA49,ZR751,ED,677829,2461,2466,-5.595005203
Bone.5,SNORA81,MCF7,ED,677847,1795,1800,-5.586936867
Bone.5,MIR1248,MCF7,ED,100302143,1743,1748,-5.585915822
Brain.2,PKD1,ZR751,ED,5310,2413,2418,-5.56352837
Bone.2,ATP9A,MCF7,E2,10079,527,532,-5.525187293
Bone.3,TRIM14,MCF7,E2,9830,1233,1238,-5.524033399
Bone.1,COL3A1,MCF7,E2,1281,412,417,-5.480913334
Brain.1,ATF7,ZR751,ED,11016,1934,1939,-5.480060299
Kidney.1,CEACAM5,MCF7,E2,1048,3089,304,-5.443710527
Bone.3,VEGFA,MCF7,E2,7422,1251,1256,-5.417220098
Bone.2,RNA5S12,MCF7,E2,100169763,695,3236,-5.399088872
Bone.2,RNA5S3,MCF7,E2,100169763,696,3237,-5.399088872
Brain.3,CRPPA,ZR751,ED,729920,2590,2595,-5.396274899
Bone.2,RNA5S11,MCF7,E2,100169762,694,3235,-5.3956992
Bone.2,RNA5S10,MCF7,E2,100169761,693,3234,-5.395177005
Brain.3,RAB3IP,ZR751,ED,117177,2768,2773,-5.383025023
Bone.4,RNA5S12,MCF7,E2,100169763,1588,1593,-5.380020007
Bone.4,RNA5S3,MCF7,E2,100169763,1594,1599,-5.380020007
Brain.2,IQGAP1,ZR751,ED,8826,2344,2349,-5.362953702
Brain.3,AGR2,ZR751,ED,10551,2537,2542,-5.351627042
Brain.4,SULF1,MCF7,E2,23213,3038,253,-5.343304708
Bone.4,NBPF20,MCF7,E2,100288142,1523,1528,-5.335537042
Bone.5,RPL7A,MCF7,ED,6130,1790,1795,-5.318544115
Brain.1,EFNB2,ZR751,ED,1948,1982,1987,-5.318271412
Bone.3,TRIM66,MCF7,E2,9866,1236,1241,-5.294336177
Brain.2,IARS2,ZR751,ED,55699,2337,2342,-5.290192829
Bone.4,RNA5S13,MCF7,E2,100169764,1589,1594,-5.27795139
Bone.3,SLC3A2,MCF7,E2,6520,1163,1240,-5.258703082
Kidney.1,ADGRG6,MCF7,E2,57211,3059,274,-5.250978609
Adrenal.1,ITGB6,MCF7,E2,3694,45,3194,-5.218694181
Brain.2,EPRS1,ZR751,ED,2058,2298,2303,-5.210328737
Bone.2,HMGN1,MCF7,E2,3150,3200,606,-5.182878173
Brain.4,IFI44,MCF7,E2,10561,2961,2966,-5.173324563
Brain.4,PCDH10,MCF7,E2,57575,3003,218,-5.170903535
Bone.3,PTAR1,MCF7,E2,375743,1111,1116,-5.168260481
Bone.3,PLXDC2,MCF7,E2,84898,1094,1099,-5.160002608
Brain.4,RASGRP1,MCF7,E2,10125,3015,230,-5.158877978
Brain.2,MAN1A2,ZR751,ED,10905,2359,2364,-5.153020816
Bone.3,NAP1L4,MCF7,E2,4676,1042,1047,-5.113719546
Brain.2,NBPF1,ZR751,ED,55672,2382,2387,-5.099138593
Brain.1,SHLD2,ZR751,ED,54537,2150,2155,-5.092643188
Bone.3,HELZ2,MCF7,E2,85441,954,959,-5.091369197
Bone.3,CLU,MCF7,E2,1191,851,856,-5.087834085
Bone.6,MUC12,ZR751,ED,10071,1874,1879,-5.068736656
Bone.3,LSM4,MCF7,E2,25804,1000,1005,-5.011864469
Adrenal.3,LNCAROD,MCF7,E2,101928687,291,296,-5.01013264
Bone.3,MPDZ,MCF7,E2,8777,1023,1028,-5.002658051
Bone.4,RNA5S14,MCF7,E2,100169765,1590,1595,-4.990892268
Brain.3,HYDIN,ZR751,ED,54768,2659,2664,-4.98645802
Bone.3,TMEM64,MCF7,E2,169200,1223,1228,-4.976856824
Brain.3,NFE2L1,ZR751,ED,4779,2717,2722,-4.975589122
Brain.2,UBAP2L,ZR751,ED,9898,2504,2509,-4.964103965
Brain.2,CNOT1,ZR751,ED,23019,2273,2278,-4.957038171
Bone.6,HMCN1,ZR751,ED,83872,1856,1861,-4.952341644
Bone.3,FREM2,MCF7,E2,341640,924,929,-4.951737312
Brain.2,CBX5,ZR751,ED,23468,2253,2258,-4.947346887
Bone.5,SLC39A6,MCF7,ED,25800,1794,1799,-4.939447586
Bone.2,SCD,MCF7,E2,6319,716,3257,-4.917640118
Bone.3,PLEKHG3,MCF7,E2,26030,1091,1096,-4.91704459
Bone.3,TMEM164,MCF7,E2,84187,1219,1224,-4.909587348
Bone.3,PURA,MCF7,E2,5813,1116,1121,-4.907210624
Bone.3,CBX2,MCF7,E2,84733,829,834,-4.897309166
Bone.3,QRICH1,MCF7,E2,54870,1118,1123,-4.897309166
Bone.3,NOC2L,MCF7,E2,26155,1051,1056,-4.88983822
