tumor_type,gene
Adrenal,FLT1
Adrenal,GH1
Adrenal,PIK3CG
Adrenal,COL2A1
Adrenal,ITGB4
Adrenal,ITGA10
Adrenal,PIK3AP1
Adrenal,CD19
Adrenal,CCND2
Adrenal,CREB3L1
Adrenal,SGK3
Adrenal,LAMA2
Adrenal,SV2B
Adrenal,TNC  
Adrenal,ITGB6
Adrenal,THBS4
Adrenal,FREM1
Adrenal,RETN
Bone,BDKRB2
Bone,FGF18
Bone,CXCR4
Bone,IQGAP2
Bone,ITGAL
Bone,SCIN
Bone,APC2
Bone,HRAS
Bone,EGF
Bone,RAC2
Bone,ITGB5
Bone,THBS2
Bone,SHC4
Brain,GADD45G
Brain,CCND1
Brain,SHC1
Brain,GRB2
Brain,CALM2
Brain,CAMK2B
Brain,HRAS
Brain,PIK2CA
Brain,RAF1
Brain,MAPK1
Brain,EGF
