genes,logFC,logCPM,PValue,FDR
2099,9.834319858,11.88725637,1.51981E-08,3.15817E-05
100847035,6.913291903,6.349211864,3.15294E-05,0.017280751
102723809,6.871059192,8.198675716,1.47226E-05,0.015296792
285512,6.490535517,8.023344916,4.98963E-05,0.017280751
115950,6.37139198,8.279230229,3.53649E-05,0.017280751
407977,6.296759202,4.772687666,0.000260341,0.040703962
219578,6.085844026,7.207505505,0.000143732,0.037334274
8741,6.044921568,4.833082541,0.000260341,0.040703962
100302137,5.891945456,4.971499299,0.000223726,0.040703962
133022,5.713743638,5.577665232,0.000415051,0.045393521
728621,5.676327004,9.58924691,8.85224E-05,0.026278512
5118,5.655595192,5.229729114,0.000680394,0.06426626
440894,5.589057898,4.962228988,0.001041364,0.077284069
3362,5.401525719,3.539258143,0.005750865,0.149491085
124044,5.318537642,7.313718091,0.000293821,0.040703962
100134934,5.289692545,5.703275791,0.000415051,0.045393521
151009,5.132226706,5.119124721,0.001041364,0.077284069
84133,5.128147917,9.958782832,0.000256181,0.040703962
101927597,5.125415131,4.611418227,0.002456124,0.106140441
10392,4.944774607,9.60223452,0.000406055,0.045393521
387646,4.928343432,4.23308804,0.00599272,0.149491085
284071,4.917902732,7.736815252,0.000536202,0.055711341
81621,4.913116012,7.890413509,0.000662294,0.06426626
1731,4.856253229,6.604432692,0.000797679,0.07026095
246184,4.822937348,7.752781957,0.000811484,0.07026095
163183,4.81847989,5.338158891,0.002221444,0.106140441
1,4.774792418,3.458945997,0.014084872,0.186422699
116412,4.763155733,4.302731249,0.00599272,0.149491085
285,4.691883837,5.749025642,0.001317199,0.083560861
677835,4.665863753,3.146771199,0.037926678,0.283495093
58476,4.649237156,8.923454056,0.000864916,0.071891829
8711,4.621383893,6.803829394,0.001193091,0.080292749
57176,4.524917301,3.267087446,0.030341342,0.266869681
79029,4.507145182,7.072169891,0.001420482,0.084336039
90423,4.409208573,5.518218927,0.004355185,0.12983446
389362,4.332295778,6.36885135,0.002310744,0.106140441
83716,4.308613596,3.659398045,0.011917968,0.175401727
101928062,4.278287965,3.991678929,0.017997034,0.205482614
51091,4.247131469,8.535467608,0.001702066,0.095591706
152831,4.233925223,4.791211049,0.008240717,0.167884403
6883,4.197724245,8.27262708,0.001999599,0.106140441
100529145,4.17585124,6.134682884,0.003464294,0.116109717
50628,4.155912828,7.281618353,0.00258855,0.106140441
9227,4.142255205,4.839124926,0.008240717,0.167884403
253039,4.141326462,8.502162096,0.002232567,0.106140441
221946,4.130085945,4.066368889,0.017997034,0.205482614
8896,4.112597156,8.829627459,0.002366917,0.106140441
84885,4.106027389,8.104882231,0.002604987,0.106140441
157,4.091503393,7.091551525,0.003407001,0.116109717
29085,4.089265001,8.914118507,0.002453835,0.106140441
285343,4.034522448,9.107154137,0.002469096,0.106140441
9238,4.024410392,7.002848964,0.003943836,0.124171093
4151,4.013641181,7.325951248,0.003542104,0.116833199
576,4.012132921,8.964263518,0.002692075,0.107106443
2891,3.995699857,4.137088835,0.017997034,0.205482614
55567,3.956848868,3.83407898,0.039960247,0.291807111
5098,3.954973605,7.138884035,0.004647797,0.132303043
1376,3.91915233,7.041520653,0.003943836,0.124171093
55180,3.906276591,6.407831366,0.006559543,0.153260186
1384,3.905817599,9.193069912,0.003298251,0.116109717
378708,3.858516055,5.214135696,0.010630733,0.172618881
340348,3.824653906,5.014085374,0.015572753,0.193252882
105371371,3.808646849,3.913634599,0.034504839,0.277249178
10643,3.808646849,3.913634599,0.034504839,0.277249178
140685,3.777968755,5.655580153,0.009372888,0.172618881
100128055,3.776117864,5.1534518,0.012797058,0.17806587
222255,3.75272355,7.913751634,0.004778006,0.13417157
3693,3.73572751,7.511038458,0.005331055,0.143869237
195828,3.734042343,8.25084995,0.005266096,0.143869237
113235,3.731950259,6.882154094,0.007317807,0.160067395
54885,3.7099463,7.228244144,0.006135161,0.149986641
55922,3.708188657,7.926084769,0.005842793,0.149491085
100526739,3.704848386,5.301984148,0.010630733,0.172618881
23098,3.676713559,6.905676022,0.007317807,0.160067395
79596,3.62493753,8.216593213,0.00678534,0.153260186
27163,3.617200965,7.263521537,0.007882015,0.16378827
29941,3.610400443,8.220302664,0.00678534,0.153260186
388561,3.6062546,8.340423246,0.0066806,0.153260186
94101,3.557537509,6.708507213,0.010289363,0.172618881
23404,3.556184517,8.963836964,0.006583652,0.153260186
4155,3.551332898,4.059900545,0.034504839,0.277249178
493856,3.549169004,5.962050403,0.01102373,0.175401727
84954,3.545540079,6.841603772,0.00863986,0.170816069
2582,3.503466493,6.311406304,0.013838661,0.184338057
28956,3.49851247,6.983405375,0.009605097,0.172618881
27229,3.471075555,7.769324742,0.009657256,0.172618881
7701,3.462966436,7.220993044,0.011381184,0.175401727
81928,3.45827318,7.51730745,0.009403922,0.172618881
65990,3.45420362,6.015771964,0.015994724,0.194828605
171177,3.413897334,7.134098336,0.010518548,0.172618881
25855,3.405491366,9.39744368,0.00879563,0.170816069
311,3.396956631,7.871764405,0.0102905,0.172618881
2330,3.389402699,7.874248162,0.0102905,0.172618881
83692,3.378596652,6.378563011,0.013348661,0.179754139
84926,3.352095856,7.809524107,0.011459885,0.175401727
22898,3.346430081,5.717096126,0.01846508,0.207290546
2517,3.34418793,5.302945319,0.024023354,0.234368688
132720,3.342608692,7.468857308,0.012688535,0.17806587
84826,3.340460421,4.811135123,0.03596681,0.277249178
64762,3.310902443,8.765226829,0.010778685,0.173628742
144811,3.305383268,7.387818052,0.011924306,0.175401727
100133331,3.29887022,5.681986893,0.020466524,0.220359775
222235,3.29739428,4.547927786,0.035608143,0.277249178
57542,3.290745526,9.734337417,0.010486006,0.172618881
114825,3.285727035,8.247946977,0.011335624,0.175401727
10297,3.285429708,5.105360689,0.022209555,0.226704704
25871,3.282473823,8.478578522,0.011986066,0.175401727
56913,3.262705468,6.722806218,0.01562391,0.193252882
57728,3.260087057,7.762140247,0.012569275,0.17806587
750,3.253286238,5.126010387,0.036081194,0.277249178
2678,3.229394955,4.882487089,0.03596681,0.277249178
7351,3.222470488,5.977688161,0.019923724,0.217902624
25924,3.222470488,5.977688161,0.019923724,0.217902624
84061,3.209908395,8.875736283,0.01270502,0.17806587
3459,3.183125407,6.486214185,0.017850532,0.205482614
92181,3.181841865,8.338774071,0.01509549,0.193252882
55175,3.169235754,8.843030982,0.013408033,0.179754139
134145,3.155733894,6.018259085,0.027327492,0.254648109
105376336,3.155398668,5.928309082,0.022894878,0.228651861
5547,3.149881475,4.93445554,0.03596681,0.277249178
203286,3.149881475,4.93445554,0.03596681,0.277249178
124808,3.131543866,8.169180846,0.015464589,0.193252882
22950,3.128235999,7.963449031,0.015921835,0.194828605
84936,3.110495149,6.668575472,0.023895579,0.234221758
83442,3.105479952,7.819441603,0.01710452,0.200809002
25853,3.096422368,8.305440443,0.016440163,0.197472021
54931,3.084931799,7.174113349,0.022075039,0.226704704
6745,3.072641783,10.12605769,0.015220043,0.193252882
56910,3.071835343,8.909305015,0.01638285,0.197472021
100996573,3.051301799,5.900430732,0.026466514,0.249988253
23031,3.05038221,6.411688335,0.028623994,0.262029338
10437,3.035644405,7.76579775,0.019134438,0.211496611
55010,3.034372659,6.57005482,0.023107262,0.228651861
7846,3.028495442,6.573399527,0.023107262,0.228651861
2335,3.024746672,5.50886368,0.036102225,0.277249178
283635,3.015962981,8.964122622,0.018101094,0.20554139
4793,3.006078987,5.288452649,0.036081194,0.277249178
27339,3.002610033,7.858782093,0.022453934,0.226704704
8526,2.984063742,8.889964815,0.018943422,0.210504976
3035,2.936776827,7.135084887,0.025747658,0.246560524
100996712,2.925354993,7.964613074,0.022888395,0.228651861
9780,2.901681556,10.45390365,0.02105277,0.22550338
10205,2.89940746,5.803406376,0.036084953,0.277249178
83666,2.892601808,6.504909411,0.035934917,0.277249178
4331,2.850403531,7.759046321,0.028083546,0.258219505
9265,2.834179789,5.846535125,0.048746368,0.3155606
55288,2.824192696,8.661815509,0.026255548,0.249988253
2962,2.800652057,9.205918201,0.026831126,0.251149007
55205,2.786427058,7.520329914,0.031232753,0.267153256
60684,2.784241656,9.210145599,0.026831126,0.251149007
390916,2.78068557,6.980081073,0.035832011,0.277249178
5884,2.776264857,7.617871421,0.031419797,0.267153256
80790,2.772393163,8.862887147,0.029051065,0.263616212
252839,2.768895607,8.577834301,0.030437014,0.266869681
5255,2.759720993,7.225673352,0.035775122,0.277249178
54536,2.749895307,6.997050159,0.035832011,0.277249178
93380,2.744032298,6.873095425,0.041539157,0.297443534
64429,2.743102704,6.441104118,0.043264312,0.299991265
10295,2.739189872,7.122907144,0.035802462,0.277249178
63901,2.736784061,9.038329402,0.029572013,0.265261474
688,2.735145308,8.784419341,0.030909341,0.267153256
22974,2.729812912,9.842246939,0.029255205,0.264314419
84976,2.72961839,5.707215837,0.047833658,0.312806895
2593,2.72961839,5.707215837,0.047833658,0.312806895
574406,2.698466812,6.305057894,0.04406739,0.303218664
79572,2.690518678,9.367217571,0.03207052,0.269807853
23647,2.685201186,9.05291845,0.033419832,0.277249178
27069,2.655884651,8.335004582,0.038702642,0.288258391
23443,2.652454095,8.763828889,0.035481662,0.277249178
54680,2.628865829,7.772523535,0.039231047,0.290114293
5783,2.613030354,9.111988105,0.037467706,0.283495093
28988,2.571306361,8.592238152,0.040648119,0.295338432
4573,2.53603493,7.949187286,0.049029626,0.316408578
4736,2.469263987,9.517314697,0.047651193,0.312806895
4540,-2.407523466,13.44138082,0.049313,0.316924377
60,-2.446273702,11.93234134,0.04786939,0.312806895
1213,-2.542996919,10.42211727,0.04667064,0.311837912
6147,-2.545551875,9.979803091,0.049734942,0.317997567
5034,-2.572452754,10.00176638,0.047651573,0.312806895
65125,-2.57852942,10.00673254,0.046982242,0.312806895
4538,-2.582288595,13.52370902,0.036157135,0.277249178
5573,-2.584710238,9.547318592,0.04941458,0.316924377
6146,-2.647292786,9.399582643,0.046408414,0.311086081
64710,-2.682317955,11.14503641,0.033867047,0.277249178
677802,-2.685255512,9.956240526,0.040021668,0.291807111
80232,-2.695777518,9.638106636,0.04250223,0.299991265
4536,-2.713659656,12.14112226,0.029639737,0.265261474
1495,-2.724893861,9.229242754,0.043309615,0.299991265
11034,-2.730847271,9.09958409,0.044782345,0.30411017
1937,-2.73183592,8.950445652,0.047372878,0.312806895
4841,-2.750999626,8.966172977,0.045909589,0.308745059
6129,-2.76408746,9.12684928,0.042346126,0.299991265
55705,-2.765114773,8.977761731,0.0445042,0.30411017
26851,-2.778693221,10.2292288,0.03181093,0.268711836
6080,-2.782003787,10.52090056,0.030844653,0.267153256
6249,-2.79204991,9.284337284,0.041492894,0.297443534
6189,-2.799617628,9.524446223,0.037687593,0.283495093
283450,-2.804993914,8.646052518,0.048227218,0.314157241
6122,-2.811518697,9.534235018,0.036921675,0.281273098
5792,-2.823077071,9.025392537,0.040002585,0.291807111
85495,-2.836813187,11.95153979,0.023885765,0.234221758
6124,-2.838846359,9.929161392,0.031497857,0.267153256
25836,-2.858607871,8.69027347,0.044598411,0.30411017
4076,-2.871476962,8.700892979,0.043746804,0.302012823
