sample,gene,cell_line,E2_status,entrez_id,row_names,col_idn,logFC
Bone.5,H2AW,MCF7,ED,92815,1730,1735,11.47047076
Brain.2,ESR1,ZR751,ED,2099,2300,2305,9.834319858
Bone.5,GH1,MCF7,ED,2688,1726,1731,9.609469796
Bone.5,GSG1,MCF7,ED,83445,1728,1733,9.25488329
Bone.2,HOXB5,MCF7,E2,3215,3205,3194,7.859262854
Bone.5,RNVU1-1,MCF7,ED,101954273,1781,1786,7.731546718
Bone.5,LOC102724301,MCF7,ED,102724301,1805,1810,7.439855312
Bone.5,LINC02610,MCF7,ED,151174,1741,1746,7.289396422
Bone.5,SIAE,MCF7,ED,54414,1792,1797,7.251193405
Bone.2,SLC25A53,MCF7,E2,401612,728,3269,7.112148399
Bone.5,MORC4,MCF7,ED,79710,1744,1749,7.044690759
Brain.2,MIR548AR,ZR751,ED,100847035,2367,2372,6.913291903
Brain.2,LOC102723809,ZR751,ED,102723809,2529,2534,6.871059192
Bone.2,MIR1279,MCF7,E2,100302182,3234,76,6.652972391
Bone.2,SIRPA,MCF7,E2,140885,723,3264,6.620254463
Brain.2,FAM13A-AS1,ZR751,ED,285512,2305,2310,6.490535517
Bone.3,MUCL1,MCF7,E2,118430,1034,1039,6.449591459
Bone.5,TFPT,MCF7,ED,29844,1799,1804,6.405588378
Brain.2,ZNF653,ZR751,ED,115950,2522,2527,6.37139198
Brain.2,TNFSF12-TNFSF13,ZR751,ED,407977,2490,2495,6.296759202
Adrenal.3,AMPH,MCF7,E2,273,3218,219,6.286607631
Brain.1,ESR1,ZR751,ED,2099,1990,1995,6.270024821
Bone.2,CD5,MCF7,E2,921,542,547,6.265129424
Bone.3,ERN2,MCF7,E2,10595,906,911,6.259399952
Bone.4,ANGPTL7,MCF7,E2,10218,1307,1312,6.175967419
Brain.4,CPE,MCF7,E2,1363,2936,2941,6.117066092
Brain.2,ZNF804B,ZR751,ED,219578,2524,2529,6.085844026
Bone.5,RNVU1-18,MCF7,ED,26863,1783,1788,6.064050137
Brain.3,GABRG3,ZR751,ED,2567,2626,2631,6.063913797
Bone.4,SLC25A18,MCF7,E2,83733,1622,1627,6.062333731
Bone.2,SLCO2A1,MCF7,E2,6578,730,3271,6.05743933
Bone.2,BRSK2,MCF7,E2,9024,531,536,6.04929816
Brain.2,TNFSF13,ZR751,ED,8741,2491,2496,6.044921568
Bone.5,ADCY10P1,MCF7,ED,221442,1710,1715,5.961999592
Bone.4,KTN1-AS1,MCF7,E2,100129075,1471,1476,5.936946451
Bone.2,CD74,MCF7,E2,972,543,548,5.91520568
Bone.2,LIAS,MCF7,E2,11019,3225,3214,5.91520568
Brain.2,MIR1914,ZR751,ED,100302137,2366,2371,5.891945456
Bone.2,UCP3,MCF7,E2,7352,758,763,5.860668363
Bone.2,ZNF516-DT,MCF7,E2,400658,776,781,5.860668363
Brain.3,WDR18,ZR751,ED,57418,2871,2876,5.823309937
Bone.5,RNU1-3,MCF7,ED,26869,1777,1782,5.815116999
Bone.4,NEURL1,MCF7,E2,9148,1525,1530,5.789287468
Brain.4,APOD,MCF7,E2,347,2907,2912,5.773844547
Brain.4,DHRS2,MCF7,E2,10202,2941,2946,5.761859156
Bone.2,CACNA2D4,MCF7,E2,93589,535,540,5.752248145
Bone.2,PABPN1L,MCF7,E2,390748,3260,3202,5.722694476
Brain.2,TRAM1L1,ZR751,ED,133022,2498,2503,5.713743638
Bone.5,PGK1,MCF7,ED,5230,1760,1765,5.708572789
Bone.5,RNU1-4,MCF7,ED,6060,1778,1783,5.681805578
Brain.2,CCDC30,ZR751,ED,728621,2254,2259,5.676327004
Bone.4,PDE6C,MCF7,E2,5146,1546,1551,5.673931771
Adrenal.1,MITF,MCF7,E2,4286,56,3205,5.65652415
Brain.3,ETS2,ZR751,ED,2114,2614,2619,5.656276491
Brain.2,PCOLCE,ZR751,ED,5118,2406,2411,5.655595192
Bone.4,CASP14,MCF7,E2,23581,1342,1347,5.647822702
Bone.5,NKD1,MCF7,ED,85407,1756,1761,5.600404018
Kidney.1,PIFO,MCF7,E2,128344,3185,400,5.594911299
Brain.2,LINC01123,ZR751,ED,440894,2355,2360,5.589057898
Brain.3,APOLD1,ZR751,ED,81575,2542,2547,5.565682114
Adrenal.1,SLC26A2,MCF7,E2,1836,78,80,5.553057536
Bone.2,GPRC5D-AS1,MCF7,E2,100506314,91,597,5.534068907
Bone.4,CYB5RL,MCF7,E2,606495,1374,1379,5.530748349
Bone.5,RNU1-1,MCF7,ED,26871,1775,1780,5.530745695
Bone.2,LOC103611081,MCF7,E2,103611081,783,788,5.514376546
Bone.2,TNFRSF19,MCF7,E2,55504,746,751,5.500480533
Bone.2,ZNF716,MCF7,E2,441234,778,783,5.500480533
Bone.5,RNU1-2,MCF7,ED,26870,1776,1781,5.494236911
Bone.2,MAP6,MCF7,E2,4135,3230,3219,5.473101331
Bone.4,B4GALT4-AS1,MCF7,E2,100874201,1326,1331,5.458831406
Bone.2,FBLN1,MCF7,E2,2192,81,587,5.446255095
Bone.2,LOC100134368,MCF7,E2,100134368,780,785,5.446255095
Brain.3,ABCC11,ZR751,ED,85320,2531,2536,5.423836207
Brain.3,RPL13AP17,ZR751,ED,399670,2787,2792,5.414117821
Bone.2,LOC100506071,MCF7,E2,100506071,781,786,5.412121856
Bone.4,CEACAM19,MCF7,E2,56971,1353,1358,5.41121327
Bone.5,PAXBP1,MCF7,ED,94104,1759,1764,5.410928838
Brain.2,HTR6,ZR751,ED,3362,2336,2341,5.401525719
Brain.3,MIR491,ZR751,ED,574444,2692,2697,5.364863179
Bone.2,ITGA7,MCF7,E2,3679,3216,3205,5.321865341
Brain.2,SPATA2L,ZR751,ED,124044,2469,2474,5.318537642
Bone.4,ID4,MCF7,E2,3400,1448,1453,5.316203915
Bone.5,HEBP1,MCF7,ED,50865,1734,1739,5.301634397
Bone.5,RNVU1-7,MCF7,ED,26864,1784,1789,5.300942334
Bone.3,SDR16C5,MCF7,E2,195814,1144,1221,5.298883394
Adrenal.1,KLK10,MCF7,E2,5655,48,3197,5.291302287
Brain.2,TEN1,ZR751,ED,100134934,2486,2491,5.289692545
Bone.4,IL20RB,MCF7,E2,53833,1454,1459,5.285854067
Bone.4,PLA2G4C,MCF7,E2,8605,1555,1560,5.285854067
Bone.4,CD200R1L,MCF7,E2,344807,1349,1354,5.265967156
Kidney.1,DNAH12,MCF7,E2,201625,3111,326,5.254480196
Brain.4,PLAT,MCF7,E2,5327,3007,222,5.252518988
Bone.5,RNVU1-17,MCF7,ED,101954269,1782,1787,5.208593776
Bone.5,RNA5S9,MCF7,ED,100169760,1774,1779,5.201673264
Brain.3,MIRLET7D,ZR751,ED,406886,2693,2698,5.172733712
Brain.3,MOGAT2,ZR751,ED,80168,2695,2700,5.172733712
Brain.3,SIK1B,ZR751,ED,102724428,2806,2811,5.172733712
Bone.2,GLUD2,MCF7,E2,2747,87,593,5.152247535
