gene,ï..sample,logFC,cell_line,E2_status,hgnc_symbol
1,Brain.2,4.774792418,ZR751,ED,A1BG
2,Bone.6,-2.711277468,ZR751,ED,A2M
12,Adrenal.2,3.036997425,MCF7,E2,SERPINA3
12,Adrenal.1,2.934826501,MCF7,E2,SERPINA3
12,Brain.4,3.1833486,MCF7,E2,SERPINA3
23,Bone.6,2.959488661,ZR751,ED,ABCF1
35,Brain.4,3.299352424,MCF7,E2,ACADS
55,Bone.3,3.17898229,MCF7,E2,ACP3
60,Bone.5,-2.806276951,MCF7,ED,ACTB
60,Brain.2,-2.446273702,ZR751,ED,ACTB
71,Bone.2,-2.518137314,MCF7,E2,ACTG1
71,Brain.2,-5.694464943,ZR751,ED,ACTG1
88,Bone.6,-3.20042745,ZR751,ED,ACTN2
92,Bone.4,3.142202444,MCF7,E2,ACVR2A
103,Bone.2,-3.96018931,MCF7,E2,ADAR
107,Bone.2,-3.241741717,MCF7,E2,ADCY1
120,Adrenal.3,3.073290756,MCF7,E2,ADD3
120,Bone.3,2.758125885,MCF7,E2,ADD3
120,Bone.4,2.991002348,MCF7,E2,ADD3
128,Brain.1,-3.643200053,ZR751,ED,ADH5
150,Adrenal.1,4.802215706,MCF7,E2,ADRA2A
150,Brain.4,3.898749594,MCF7,E2,ADRA2A
157,Brain.2,4.091503393,ZR751,ED,GRK3
158,Bone.4,2.55949322,MCF7,E2,ADSL
159,Kidney.1,-3.745511371,MCF7,E2,ADSS2
163,Bone.4,-3.22843696,MCF7,E2,AP2B1
166,Brain.2,-3.94441794,ZR751,ED,TLE5
178,Brain.3,-6.777525597,ZR751,ED,AGL
182,Bone.3,-3.859111409,MCF7,E2,JAG1
214,Bone.4,-2.89024763,MCF7,E2,ALCAM
226,Bone.5,-4.085676423,MCF7,ED,ALDOA
270,Adrenal.2,3.666029993,MCF7,E2,AMPD1
270,Adrenal.3,4.106144318,MCF7,E2,AMPD1
273,Adrenal.2,4.63614902,MCF7,E2,AMPH
273,Adrenal.3,6.286607631,MCF7,E2,AMPH
273,Adrenal.1,4.31171219,MCF7,E2,AMPH
285,Brain.2,4.691883837,ZR751,ED,ANGPT2
287,Adrenal.2,3.935285702,MCF7,E2,ANK2
301,Adrenal.1,-3.385217537,MCF7,E2,ANXA1
306,Adrenal.3,-3.434209802,MCF7,E2,ANXA3
309,Adrenal.3,3.165332798,MCF7,E2,ANXA6
311,Brain.2,3.396956631,ZR751,ED,ANXA11
332,Bone.3,-4.148795564,MCF7,E2,BIRC5
338,Bone.6,-3.168826061,ZR751,ED,APOB
347,Bone.6,-4.293663373,ZR751,ED,APOD
347,Brain.4,5.773844547,MCF7,E2,APOD
347,Brain.3,2.722670897,ZR751,ED,APOD
355,Brain.3,3.374030922,ZR751,ED,FAS
367,Bone.4,-3.74290421,MCF7,E2,AR
374,Adrenal.3,-4.586118647,MCF7,E2,AREG
374,Bone.3,-2.642947938,MCF7,E2,AREG
374,Adrenal.1,-2.771229779,MCF7,E2,AREG
375,Bone.4,-3.314966055,MCF7,E2,ARF1
388,Brain.1,-2.625717452,ZR751,ED,RHOB
390,Bone.3,-2.872488396,MCF7,E2,RND3
396,Bone.4,-3.120455439,MCF7,E2,ARHGDIA
398,Bone.1,3.404458972,MCF7,E2,ARHGDIG
412,Bone.3,3.483278774,MCF7,E2,STS
427,Bone.2,2.885365928,MCF7,E2,ASAH1
429,Brain.4,3.001443782,MCF7,E2,ASCL1
466,Bone.3,-3.20896261,MCF7,E2,ATF1
473,Brain.2,-3.086736665,ZR751,ED,RERE
477,Bone.6,-3.259048609,ZR751,ED,ATP1A2
480,Bone.6,-3.022550265,ZR751,ED,ATP1A4
489,Brain.4,2.427020128,MCF7,E2,ATP2A3
493,Bone.3,-3.867236014,MCF7,E2,ATP2B4
514,Brain.1,-3.186349323,ZR751,ED,ATP5F1E
526,Bone.3,-3.627185612,MCF7,E2,ATP6V1B2
563,Bone.3,3.155671443,MCF7,E2,AZGP1
563,Adrenal.2,4.184529356,MCF7,E2,AZGP1
576,Brain.2,4.012132921,ZR751,ED,ADGRB2
586,Bone.6,-3.656055235,ZR751,ED,BCAT1
594,Bone.1,-3.368345164,MCF7,E2,BCKDHB
