sample  ,gene
Bone.6,57418
Bone.6,3397
Bone.6,347746
Bone.6,6203
Bone.6,197342
Bone.6,23
Bone.6,10919
Bone.6,10211
Bone.6,3399
Bone.6,7407
Bone.6,4849
Bone.6,3887
Bone.6,26121
Bone.6,7917
Bone.6,6222
Bone.6,100169768
Bone.6,8449
Bone.6,101978785
Bone.6,26834
Bone.6,6506
Bone.6,27185
Bone.6,7092
Bone.6,2
Bone.6,715
Bone.6,131873
Bone.6,94160
Bone.6,7399
Bone.6,113146
Bone.6,100189437
Bone.6,91584
Bone.6,196500
Bone.6,9398
Bone.6,4257
Bone.6,117145
Bone.6,80206
Bone.6,2157
Bone.6,8470
Bone.6,23632
Bone.6,196477
Bone.6,64131
Bone.6,283310
Bone.6,8997
Bone.6,105373990
Bone.6,3216
Bone.6,643677
Bone.6,84675
Bone.6,480
Bone.6,121006
Bone.6,55553
Bone.6,3213
Bone.6,84695
Bone.6,91156
Bone.6,3696
Bone.6,8497
Bone.6,338
Bone.6,88
Bone.6,920
Bone.6,374462
Bone.6,8111
Bone.6,4703
Bone.6,146177
Bone.6,114788
Bone.6,3683
Bone.6,477
Bone.6,5858
Bone.6,22885
Bone.6,400618
Bone.6,25775
Bone.6,146723
Bone.6,79628
Bone.6,56977
Bone.6,2312
Bone.6,171024
Bone.6,645202
Bone.6,9201
Bone.6,54549
Bone.6,22844
Bone.6,5629
Bone.6,55259
Bone.6,60676
Bone.6,10566
Bone.6,4744
Bone.6,128102
Bone.6,948
Bone.6,2904
Bone.6,6515
Bone.6,5251
Bone.6,5787
Bone.6,101927853
Bone.6,55384
Bone.6,7135
Bone.6,9369
Bone.6,100506810
Bone.6,55576
Bone.6,586
Bone.6,642587
Bone.6,23345
Bone.6,51816
Bone.6,1769
Bone.6,7091
Bone.6,6262
Bone.6,144568
Bone.6,5304
Bone.6,9844
Bone.6,388697
Bone.6,100288805
Bone.6,56938
Bone.6,3918
Bone.6,146754
Bone.6,2196
Bone.6,57101
Bone.6,2153
Bone.6,347
Bone.6,84530
Bone.6,9383
Bone.6,727832
Bone.6,54768
Bone.6,55567
Bone.6,94025
Bone.6,440730
Bone.6,83872
Bone.6,10071
Bone.5,92815
Bone.5,2688
Bone.5,83445
Bone.5,101954273
Bone.5,100873746
Bone.5,102724301
Bone.5,151174
Bone.5,54414
Bone.5,79710
Bone.5,29844
Bone.5,100873757
Bone.5,26860
Bone.5,26863
Bone.5,221442
Bone.5,26869
Bone.5,5230
Bone.5,6060
Bone.5,85407
Bone.5,26871
Bone.5,26870
Bone.5,94104
Bone.5,100189107
Bone.5,50865
Bone.5,26864
Bone.5,101954269
Bone.5,100169760
Bone.5,100169765
Bone.5,100169766
Bone.5,100169764
Bone.5,100169768
Bone.5,100169767
Bone.5,100169761
Bone.5,100169763
Bone.5,100169762
Bone.5,26865
Bone.5,103625684
Bone.5,8341
Bone.5,26866
Bone.5,8228
Bone.5,8348
Bone.5,26855
Bone.5,10406
Bone.5,53335
Bone.5,100500815
Bone.5,101954275
Bone.5,388228
Bone.5,220988
Bone.5,8335
Bone.5,388698
Bone.5,3146
Bone.5,64782
Bone.5,6029
Bone.5,4550
Bone.5,2597
Bone.5,60
Bone.5,4549
Bone.5,26986
Bone.5,1938
Bone.5,26851
Bone.5,780853
Bone.5,780852
Bone.5,2674
Bone.5,6147
Bone.5,7175
Bone.5,79026
Bone.5,6137
Bone.5,204851
Bone.5,81671
Bone.5,83872
Bone.5,1655
Bone.5,6124
Bone.5,3021
Bone.5,3875
Bone.5,8202
Bone.5,10513
Bone.5,2625
Bone.5,2778
Bone.5,10142
Bone.5,7316
Bone.5,4514
Bone.5,6138
Bone.5,3326
Bone.5,81539
Bone.5,780854
Bone.5,6023
Bone.5,2495
Bone.5,64710
Bone.5,23524
Bone.5,7764
Bone.5,226
Bone.5,4512
Bone.5,2316
Bone.5,54843
Bone.5,4536
Bone.5,378938
Bone.5,4540
Bone.5,4513
Bone.5,4519
Bone.5,7812
Bone.5,4566
Bone.5,25800
Bone.5,6130
Bone.5,100302143
Bone.5,677847
Bone.5,4538
Bone.5,5757
Bone.5,4535
Bone.5,4508
Bone.5,23521
Bone.5,4509
Bone.4,101928635
Bone.4,10218
Bone.4,83733
Bone.4,100129075
Bone.4,9148
Bone.4,5146
Bone.4,23581
Bone.4,606495
Bone.4,100874201
Bone.4,56971
Bone.4,3400
Bone.4,8605
Bone.4,53833
Bone.4,344807
Bone.4,81893
Bone.4,387638
Bone.4,100505736
Bone.4,5329
Bone.4,5596
Bone.4,219858
Bone.4,8404
Bone.4,138649
Bone.4,2644
Bone.4,339883
Bone.4,135250
Bone.4,81617
Bone.4,2184
Bone.4,3820
Bone.4,128229
Bone.4,105377650
Bone.4,10668
Bone.4,574407
Bone.4,93611
Bone.4,90632
Bone.4,84134
Bone.4,8632
Bone.4,23710
Bone.4,414318
Bone.4,631
Bone.4,7483
Bone.4,116224
Bone.4,55848
Bone.4,9543
Bone.4,79029
Bone.4,84465
Bone.4,10202
Bone.4,554203
Bone.4,10609
Bone.4,170082
Bone.4,26353
Bone.4,5317
Bone.4,83478
Bone.4,201625
Bone.4,2274
Bone.4,3767
Bone.4,284486
Bone.4,8820
Bone.4,93034
Bone.4,93164
Bone.4,84791
Bone.4,100499467
Bone.4,285671
Bone.4,144699
Bone.4,130367
Bone.4,114905
Bone.4,29760
Bone.4,51233
Bone.4,57214
Bone.4,5653
Bone.4,284541
Bone.4,647946
Bone.4,101926889
Bone.4,100189268
Bone.4,100874300
Bone.4,3397
Bone.4,284408
Bone.4,374659
Bone.4,100996437
Bone.4,57644
Bone.4,100874366
Bone.4,51265
Bone.4,101928834
Bone.4,79973
Bone.4,103021295
Bone.4,26230
Bone.4,319085
Bone.4,8495
Bone.4,105370579
Bone.4,100507002
Bone.4,101954266
Bone.4,389072
Bone.4,9501
Bone.4,138241
Bone.4,554236
Bone.4,80162
Bone.4,51540
Bone.4,57150
Bone.4,2257
Bone.4,9752
Bone.4,93129
Bone.4,387640
Bone.4,101929196
Bone.4,391267
Bone.4,90693
Bone.4,80035
Bone.4,100507316
Bone.4,23251
Bone.4,285352
Bone.4,5698
Bone.4,93655
Bone.4,27257
Bone.4,9479
Bone.4,317671
Bone.4,10622
Bone.4,7851
Bone.4,79001
Bone.4,200765
Bone.4,828
Bone.4,100505811
Bone.4,84436
Bone.4,79689
Bone.4,169270
Bone.4,57713
Bone.4,653145
Bone.4,23464
Bone.4,3364
Bone.4,220042
Bone.4,118881
Bone.4,84953
Bone.4,100506123
Bone.4,54947
Bone.4,8847
Bone.4,54491
Bone.4,5316
Bone.4,55020
Bone.4,10349
Bone.4,9108
Bone.4,163404
Bone.4,27127
Bone.4,389170
Bone.4,125893
Bone.4,353219
Bone.4,65989
Bone.4,8707
Bone.4,634
Bone.4,51104
Bone.4,80031
Bone.4,26796
Bone.4,132671
Bone.4,64077
Bone.4,60386
Bone.4,54102
Bone.4,3110
Bone.4,163786
Bone.4,100775107
Bone.4,5021
Bone.4,8611
Bone.4,128240
Bone.4,55090
Bone.4,64147
Bone.4,57103
Bone.4,283652
Bone.4,136332
Bone.4,6940
Bone.4,5465
Bone.4,105378176
Bone.4,29074
Bone.4,10398
Bone.4,54962
Bone.4,819
Bone.4,8877
Bone.4,55277
Bone.4,255252
Bone.4,10651
Bone.4,102723390
Bone.4,65996
Bone.4,56624
Bone.4,81932
Bone.4,55508
Bone.4,65258
Bone.4,115825
Bone.4,51282
Bone.4,7753
Bone.4,23475
Bone.4,92
Bone.4,1742
Bone.4,10439
Bone.4,84288
Bone.4,2888
Bone.4,203069
Bone.4,123720
Bone.4,1676
Bone.4,23426
Bone.4,10172
Bone.4,203228
Bone.4,57613
Bone.4,6482
Bone.4,90410
Bone.4,6637
Bone.4,284454
Bone.4,91750
Bone.4,51239
Bone.4,60370
Bone.4,4753
Bone.4,54463
Bone.4,154796
Bone.4,90580
Bone.4,4291
Bone.4,100507650
Bone.4,120
Bone.4,100126512
Bone.4,5281
Bone.4,100129617
Bone.4,339803
Bone.4,51256
Bone.4,130576
Bone.4,55107
Bone.4,3420
Bone.4,11099
Bone.4,8702
Bone.4,338657
Bone.4,51422
Bone.4,100132352
Bone.4,642236
Bone.4,11145
Bone.4,151556
Bone.4,23378
Bone.4,5187
Bone.4,55829
Bone.4,83590
Bone.4,9702
Bone.4,6322
Bone.4,84532
Bone.4,3338
Bone.4,8825
Bone.4,90637
Bone.4,79866
Bone.4,84133
Bone.4,441191
Bone.4,124923
Bone.4,1723
Bone.4,23035
Bone.4,1514
Bone.4,29777
Bone.4,57505
Bone.4,120534
Bone.4,100505967
Bone.4,160762
Bone.4,101805492
Bone.4,414328
Bone.4,10248
Bone.4,10920
Bone.4,84246
Bone.4,285331
Bone.4,84795
Bone.4,6546
Bone.4,222236
Bone.4,158
Bone.4,253980
Bone.4,7267
Bone.4,3149
Bone.4,10451
Bone.4,100500862
Bone.4,5685
Bone.4,8349
Bone.4,214
Bone.4,3301
Bone.4,6139
Bone.4,55729
Bone.4,1287
Bone.4,11254
Bone.4,151636
Bone.4,375056
Bone.4,4926
Bone.4,7328
Bone.4,6836
Bone.4,9810
Bone.4,27131
Bone.4,1207
Bone.4,6160
Bone.4,1431
Bone.4,7528
Bone.4,4939
Bone.4,396
Bone.4,103504731
Bone.4,51552
Bone.4,7358
Bone.4,1982
Bone.4,10241
Bone.4,6142
Bone.4,7707
Bone.4,2033
Bone.4,9643
Bone.4,9648
Bone.4,6611
Bone.4,7337
Bone.4,5093
Bone.4,55159
Bone.4,2316
Bone.4,1958
Bone.4,10951
Bone.4,223117
Bone.4,1857
Bone.4,163
Bone.4,3376
Bone.4,375
Bone.4,102466864
Bone.4,7706
Bone.4,11163
Bone.4,6872
Bone.4,3654
Bone.4,65264
Bone.4,8500
Bone.4,11113
Bone.4,4192
Bone.4,831
Bone.4,55818
Bone.4,23376
Bone.4,6223
Bone.4,23023
Bone.4,4848
Bone.4,92154
Bone.4,85403
Bone.4,5230
Bone.4,374354
Bone.4,11091
Bone.4,6744
Bone.4,9219
Bone.4,9950
Bone.4,80381
Bone.4,6428
Bone.4,50488
Bone.4,10818
Bone.4,4012
Bone.4,80124
Bone.4,4605
Bone.4,23576
Bone.4,100128494
Bone.4,23022
Bone.4,9830
Bone.4,9659
Bone.4,6949
Bone.4,5524
Bone.4,10109
Bone.4,64319
Bone.4,3189
Bone.4,8480
Bone.4,93664
Bone.4,2975
Bone.4,4641
Bone.4,10632
Bone.4,222658
Bone.4,4886
Bone.4,64783
Bone.4,57153
Bone.4,6167
Bone.4,64332
Bone.4,6319
Bone.4,23152
Bone.4,140735
Bone.4,23586
Bone.4,79962
Bone.4,4171
Bone.4,9321
Bone.4,10209
Bone.4,9529
Bone.4,51727
Bone.4,3429
Bone.4,84343
Bone.4,9534
Bone.4,6867
Bone.4,367
Bone.4,24149
Bone.4,10598
Bone.4,2622
Bone.4,442075
Bone.4,23304
Bone.4,83696
Bone.4,26118
Bone.4,104472848
Bone.4,122809
Bone.4,130074
Bone.4,5037
Bone.4,8614
Bone.4,83637
Bone.4,7525
Bone.4,65056
Bone.4,79670
Bone.4,5373
Bone.4,9053
Bone.4,23325
Bone.4,10163
Bone.4,9344
Bone.4,4579
Bone.4,6091
Bone.4,79848
Bone.4,100507246
Bone.4,84516
Bone.4,26190
Bone.4,1192
Bone.4,64327
Bone.4,22877
Bone.4,83872
Bone.4,23560
Bone.4,3007
Bone.4,3725
Bone.4,8165
Bone.4,4204
Bone.4,1374
Bone.4,9448
Bone.4,3691
Bone.4,402483
Bone.4,158293
Bone.4,64855
Bone.4,8878
Bone.4,360023
Bone.4,51759
Bone.4,1719
Bone.4,1786
Bone.4,100500815
Bone.4,283459
Bone.4,1534
Bone.4,58487
Bone.4,100169767
Bone.4,5802
Bone.4,103504728
Bone.4,3728
Bone.4,3710
Bone.4,100169768
Bone.4,11273
Bone.4,7916
Bone.4,27230
Bone.4,3964
Bone.4,63939
Bone.4,100169766
Bone.4,100169765
Bone.4,100169764
Bone.4,100288142
Bone.4,100169763
Bone.4,2005
Bone.4,79665
Bone.4,100169761
Bone.4,100169762
Bone.1,10202
Bone.1,105373990
Bone.1,101929567
Bone.1,353322
Bone.1,8632
Bone.1,105376526
Bone.1,27296
Bone.1,5358
Bone.1,57010
