sample  ,gene
ED_femur.tibia_ZR751_10,VARS1
ED_femur.tibia_ZR751_10,ABCF1
ED_femur.tibia_ZR751_10,FLOT1
ED_femur.tibia_ZR751_10,BAG6
ED_femur.tibia_ZR751_10,RPS18
ED_femur.tibia_ZR751_10,DHX16
ED_femur.tibia_ZR751_10,EHMT2
ED_femur.tibia_ZR751_10,PRPF31
ED_femur.tibia_ZR751_10,WDR18
ED_femur.tibia_ZR751_10,CNOT3
ED_femur.tibia_ZR751_10,RPS9
ED_femur.tibia_ZR751_10,EME2
ED_femur.tibia_ZR751_10,ID3
ED_femur.tibia_ZR751_10,ID1
ED_femur.tibia_ZR751_10,KRT81
ED_femur.tibia_ZR751_10,PCAT14
ED_femur.tibia_ZR751_10,RNA5S17
ED_humerus_MCF7_16,H2AW
ED_humerus_MCF7_16,RNA5S17
ED_humerus_MCF7_16,RNA5S9
ED_humerus_MCF7_16,RNA5S13
ED_humerus_MCF7_16,RNA5S12
ED_humerus_MCF7_16,RNA5S10
ED_humerus_MCF7_16,RNA5S11
ED_humerus_MCF7_16,RNA5S14
ED_humerus_MCF7_16,RNA5S15
ED_humerus_MCF7_16,RNA5S16
ED_humerus_MCF7_16,RNVU1-2
ED_humerus_MCF7_16,RNU1-1
ED_humerus_MCF7_16,RNU2-2P
ED_humerus_MCF7_16,RNU1-2
ED_humerus_MCF7_16,RNU6-2
ED_humerus_MCF7_16,SBK1
ED_humerus_MCF7_16,H2BC17
ED_humerus_MCF7_16,RNVU1-18
ED_humerus_MCF7_16,H2AC4
ED_humerus_MCF7_16,H2BC15
ED_humerus_MCF7_16,RNU6-7
ED_humerus_MCF7_16,RNVU1-7
ED_humerus_MCF7_16,RNVU1-17
ED_humerus_MCF7_16,FLG2
ED_humerus_MCF7_16,RNVU1-1
ED_humerus_MCF7_16,TFPT
ED_humerus_MCF7_16,HMGB1
ED_humerus_MCF7_16,PAXBP1
ED_humerus_MCF7_16,RN7SL1
ED_humerus_MCF7_16,PGK1
ED_humerus_MCF7_16,AEN
ED_humerus_MCF7_16,WFDC2
ED_humerus_MCF7_16,SIAE
ED_humerus_MCF7_16,BCL11A
ED_humerus_MCF7_16,HNRNPA3
ED_humerus_MCF7_16,HEBP1
ED_humerus_MCF7_16,GSG1
ED_humerus_MCF7_16,PNPLA4
ED_humerus_MCF7_16,RNU1-27P
ED_humerus_MCF7_16,RNU1-28P
ED_humerus_MCF7_16,MORC4
ED_humerus_MCF7_16,RNU1-3
ED_humerus_MCF7_16,RNU1-4
ED_humerus_MCF7_16,NKD1
ED_humerus_MCF7_16,GH1
ED_humerus_MCF7_16,ADCY10P1
ED_humerus_MCF7_16,LINC02610
ED_humerus_MCF7_16,RNU6-36P
ED_humerus_MCF7_16,RNU6-14P
E2_femur.tibia_MCF7_15.1C,AARS2
E2_femur.tibia_MCF7_15.1C,SPHK1
E2_femur.tibia_MCF7_15.1C,FGGY
E2_femur.tibia_MCF7_15.1C,FAH
E2_femur.tibia_MCF7_15.1C,CEACAM1
E2_femur.tibia_MCF7_15.1C,IDH3B
E2_femur.tibia_MCF7_15.1C,GCAT
E2_femur.tibia_MCF7_15.1C,HUS1
E2_femur.tibia_MCF7_15.1C,HTR7P1
E2_femur.tibia_MCF7_15.1C,JPX
E2_femur.tibia_MCF7_15.1C,ARHGAP24
E2_femur.tibia_MCF7_15.1C,RPH3AL
E2_femur.tibia_MCF7_15.1C,COMTD1
E2_femur.tibia_MCF7_15.1C,R3HCC1
E2_femur.tibia_MCF7_15.1C,KIF9
E2_femur.tibia_MCF7_15.1C,MAPK8IP1
E2_femur.tibia_MCF7_15.1C,ADD3
E2_femur.tibia_MCF7_15.1C,PIGF
E2_femur.tibia_MCF7_15.1C,ZNF202
E2_femur.tibia_MCF7_15.1C,PLEKHM3
E2_femur.tibia_MCF7_15.1C,ABT1
E2_femur.tibia_MCF7_15.1C,RRP8
E2_femur.tibia_MCF7_15.1C,TIGD1
E2_femur.tibia_MCF7_15.1C,SMIM8
E2_femur.tibia_MCF7_15.1C,TIMM29
E2_femur.tibia_MCF7_15.1C,DFFA
E2_femur.tibia_MCF7_15.1C,ZFAND2A
E2_femur.tibia_MCF7_15.1C,CCDC66
E2_femur.tibia_MCF7_15.1C,SMC1B
E2_femur.tibia_MCF7_15.1C,RNF216P1
E2_femur.tibia_MCF7_15.1C,DDIAS
E2_femur.tibia_MCF7_15.1C,SNRPG
E2_femur.tibia_MCF7_15.1C,OBSCN-AS1
E2_femur.tibia_MCF7_15.1C,CGRRF1
E2_femur.tibia_MCF7_15.1C,ZNF816
E2_femur.tibia_MCF7_15.1C,THEM5
E2_femur.tibia_MCF7_15.1C,ACSS1
E2_femur.tibia_MCF7_15.1C,DHODH
E2_femur.tibia_MCF7_15.1C,NAXE
E2_femur.tibia_MCF7_15.1C,LRGUK
E2_femur.tibia_MCF7_15.1C,IDNK
E2_femur.tibia_MCF7_15.1C,MTMR7
E2_femur.tibia_MCF7_15.1C,NAPEPLD
E2_femur.tibia_MCF7_15.1C,NT5C1B
E2_femur.tibia_MCF7_15.1C,LHPP
E2_femur.tibia_MCF7_15.1C,TIGAR
E2_femur.tibia_MCF7_15.1C,SGPP2
E2_femur.tibia_MCF7_15.1C,PLAAT3
E2_femur.tibia_MCF7_15.1C,PLA2G4C
E2_femur.tibia_MCF7_15.1C,QPRT
E2_femur.tibia_MCF7_15.1C,PRKAG2
E2_femur.tibia_MCF7_15.1C,PPARA
E2_femur.tibia_MCF7_15.1C,ADSL
E2_femur.tibia_MCF7_15.1C,ST3GAL1
E2_femur.tibia_MCF7_15.1C,CEMIP
E2_femur.tibia_MCF7_15.1C,ASAH2
E2_femur.tibia_MCF7_15.1C,B4GALT4
E2_femur.tibia_MCF7_15.1C,KCNJ11
E2_femur.tibia_MCF7_15.1C,SELENOS
E2_femur.tibia_MCF7_15.1C,PSMB9
E2_femur.tibia_MCF7_15.1C,SLC25A19
E2_femur.tibia_MCF7_15.1C,VKORC1
E2_femur.tibia_MCF7_15.1C,SCLY
E2_femur.tibia_MCF7_15.1C,PTPN21
E2_femur.tibia_MCF7_15.1C,PER1
E2_femur.tibia_MCF7_15.1C,GCHFR
E2_femur.tibia_MCF7_15.1C,CAPS
E2_femur.tibia_MCF7_15.1C,TIPIN
E2_femur.tibia_MCF7_15.1C,POLR3G
E2_femur.tibia_MCF7_15.1C,CAB39L
E2_femur.tibia_MCF7_15.1C,RNVU1-14
E2_femur.tibia_MCF7_15.1C,MNX1
E2_femur.tibia_MCF7_15.1C,FAM234B
E2_femur.tibia_MCF7_15.1C,TOMM40L
E2_femur.tibia_MCF7_15.1C,MED9
E2_femur.tibia_MCF7_15.1C,FBXO44
E2_femur.tibia_MCF7_15.1C,ARL14EP
E2_femur.tibia_MCF7_15.1C,ZNF596
E2_femur.tibia_MCF7_15.1C,SEMA6D
E2_femur.tibia_MCF7_15.1C,FBXL14
E2_femur.tibia_MCF7_15.1C,CEP57
E2_femur.tibia_MCF7_15.1C,LSM1
E2_femur.tibia_MCF7_15.1C,ZNF442
E2_femur.tibia_MCF7_15.1C,PKNOX1
E2_femur.tibia_MCF7_15.1C,ANKRD19P
E2_femur.tibia_MCF7_15.1C,ABHD17B
E2_femur.tibia_MCF7_15.1C,NEBL
E2_femur.tibia_MCF7_15.1C,CENPBD1P1
E2_femur.tibia_MCF7_15.1C,CLIC6
E2_femur.tibia_MCF7_15.1C,LEKR1
E2_femur.tibia_MCF7_15.1C,C9orf72
E2_femur.tibia_MCF7_15.1C,IL20RB
E2_femur.tibia_MCF7_15.1C,FHL2
E2_femur.tibia_MCF7_15.1C,EFCAB2
E2_femur.tibia_MCF7_15.1C,HSPB8
E2_femur.tibia_MCF7_15.1C,PCDHA9
E2_femur.tibia_MCF7_15.1C,MALL
E2_femur.tibia_MCF7_15.1C,OXTR
E2_femur.tibia_MCF7_15.1C,SPATA18
E2_femur.tibia_MCF7_15.1C,LYPD6B
E2_femur.tibia_MCF7_15.1C,DNAH12
E2_femur.tibia_MCF7_15.1C,MLF1
E2_femur.tibia_MCF7_15.1C,STEAP4
E2_femur.tibia_MCF7_15.1C,TTC38
E2_femur.tibia_MCF7_15.1C,WNT9A
E2_femur.tibia_MCF7_15.1C,KLRB1
E2_femur.tibia_MCF7_15.1C,LINC00467
E2_femur.tibia_MCF7_15.1C,RAET1E
E2_femur.tibia_MCF7_15.1C,MPPE1
E2_femur.tibia_MCF7_15.1C,PLPP1
E2_femur.tibia_MCF7_15.1C,PLPPR5
E2_femur.tibia_MCF7_15.1C,PHLPP2
E2_femur.tibia_MCF7_15.1C,PDE6C
E2_femur.tibia_MCF7_15.1C,HDDC3
E2_femur.tibia_MCF7_15.1C,POP7
E2_femur.tibia_MCF7_15.1C,OTULINL
E2_femur.tibia_MCF7_15.1C,PLAUR
E2_femur.tibia_MCF7_15.1C,ZNRF3
E2_femur.tibia_MCF7_15.1C,CCDC63
E2_femur.tibia_MCF7_15.1C,AVPI1
E2_femur.tibia_MCF7_15.1C,LPCAT2
E2_femur.tibia_MCF7_15.1C,C9orf85
E2_femur.tibia_MCF7_15.1C,DLEU2
E2_femur.tibia_MCF7_15.1C,CDKL3
E2_femur.tibia_MCF7_15.1C,PLGRKT
E2_femur.tibia_MCF7_15.1C,MRPL18
E2_femur.tibia_MCF7_15.1C,PPFIBP2
E2_femur.tibia_MCF7_15.1C,ID1
E2_femur.tibia_MCF7_15.1C,ANO1
E2_femur.tibia_MCF7_15.1C,GPR155
E2_femur.tibia_MCF7_15.1C,FGF12
E2_femur.tibia_MCF7_15.1C,LIN7A
E2_femur.tibia_MCF7_15.1C,RFESD
E2_femur.tibia_MCF7_15.1C,OLFM1
E2_femur.tibia_MCF7_15.1C,P3H4
E2_femur.tibia_MCF7_15.1C,ABCA10
E2_femur.tibia_MCF7_15.1C,SASS6
E2_femur.tibia_MCF7_15.1C,AC010326.1
E2_femur.tibia_MCF7_15.1C,DHRS2
E2_femur.tibia_MCF7_15.1C,CYP4A22
E2_femur.tibia_MCF7_15.1C,B3GALT2
E2_femur.tibia_MCF7_15.1C,TIAM2
E2_femur.tibia_MCF7_15.1C,C9orf106
E2_femur.tibia_MCF7_15.1C,RETREG1
E2_femur.tibia_MCF7_15.1C,NELL2
E2_femur.tibia_MCF7_15.1C,SPARCL1
E2_femur.tibia_MCF7_15.1C,SLC35E3
E2_femur.tibia_MCF7_15.1C,PGGHG
E2_femur.tibia_MCF7_15.1C,MTX2
E2_femur.tibia_MCF7_15.1C,ZNF790-AS1
E2_femur.tibia_MCF7_15.1C,TCEANC
E2_femur.tibia_MCF7_15.1C,MED10
E2_femur.tibia_MCF7_15.1C,WDFY2
E2_femur.tibia_MCF7_15.1C,BLNK
E2_femur.tibia_MCF7_15.1C,LRRC57
E2_femur.tibia_MCF7_15.1C,ID4
E2_femur.tibia_MCF7_15.1C,MEGF11
E2_femur.tibia_MCF7_15.1C,ANKRD20A11P
E2_femur.tibia_MCF7_15.1C,SPATA5L1
E2_femur.tibia_MCF7_15.1C,SCAND1
E2_femur.tibia_MCF7_15.1C,COPS8
E2_femur.tibia_MCF7_15.1C,MINCR
E2_femur.tibia_MCF7_15.1C,CYB5RL
E2_femur.tibia_MCF7_15.1C,FAM122A
E2_femur.tibia_MCF7_15.1C,SKIDA1
E2_femur.tibia_MCF7_15.1C,DLG4
E2_femur.tibia_MCF7_15.1C,MAPK4
E2_femur.tibia_MCF7_15.1C,TSACC
E2_femur.tibia_MCF7_15.1C,CTSL
E2_femur.tibia_MCF7_15.1C,RNF180
E2_femur.tibia_MCF7_15.1C,CAMLG
E2_femur.tibia_MCF7_15.1C,TMUB1
E2_femur.tibia_MCF7_15.1C,KCTD13
E2_femur.tibia_MCF7_15.1C,GABARAPL1
E2_femur.tibia_MCF7_15.1C,KLK6
E2_femur.tibia_MCF7_15.1C,ACVR2A
E2_femur.tibia_MCF7_15.1C,SCML1
E2_femur.tibia_MCF7_15.1C,ZNF354A
E2_femur.tibia_MCF7_15.1C,CCDC126
E2_femur.tibia_MCF7_15.1C,BORA
E2_femur.tibia_MCF7_15.1C,C1QTNF7
E2_femur.tibia_MCF7_15.1C,ANKRD39
E2_femur.tibia_MCF7_15.1C,GRIP1
E2_femur.tibia_MCF7_15.1C,DNAJC4
E2_femur.tibia_MCF7_15.1C,SFMBT2
E2_femur.tibia_MCF7_15.1C,BFSP1
E2_femur.tibia_MCF7_15.1C,PKP1
E2_femur.tibia_MCF7_15.1C,MINAR1
E2_femur.tibia_MCF7_15.1C,ANXA8
E2_femur.tibia_MCF7_15.1C,HESX1
E2_femur.tibia_MCF7_15.1C,MYH7B
E2_femur.tibia_MCF7_15.1C,WHAMM
E2_femur.tibia_MCF7_15.1C,SLC8A1
E2_femur.tibia_MCF7_15.1C,MYL9
E2_femur.tibia_MCF7_15.1C,AMOT
E2_femur.tibia_MCF7_15.1C,CASP14
E2_femur.tibia_MCF7_15.1C,DNAH17
E2_femur.tibia_MCF7_15.1C,IFT20
E2_femur.tibia_MCF7_15.1C,KIF9-AS1
E2_femur.tibia_MCF7_15.1C,MIR924HG
E2_femur.tibia_MCF7_15.1C,ANGPTL7
E2_femur.tibia_MCF7_15.1C,FRG1HP
E2_femur.tibia_MCF7_15.1C,CCDC84
E2_femur.tibia_MCF7_15.1C,TBC1D7
E2_femur.tibia_MCF7_15.1C,SLC7A5P1
E2_femur.tibia_MCF7_15.1C,LIN52
E2_femur.tibia_MCF7_15.1C,ORAI3
E2_femur.tibia_MCF7_15.1C,RBM5-AS1
E2_femur.tibia_MCF7_15.1C,RNF212B
E2_femur.tibia_MCF7_15.1C,IGDCC3
E2_femur.tibia_MCF7_15.1C,RSKR
E2_femur.tibia_MCF7_15.1C,SLC25A18
E2_femur.tibia_MCF7_15.1C,NEURL1
E2_femur.tibia_MCF7_15.1C,HDHD3
E2_femur.tibia_MCF7_15.1C,CASC9
E2_femur.tibia_MCF7_15.1C,DLK2
E2_femur.tibia_MCF7_15.1C,SLC24A5
E2_femur.tibia_MCF7_15.1C,C3orf35
E2_femur.tibia_MCF7_15.1C,FRG1JP
E2_femur.tibia_MCF7_15.1C,GRB14
E2_femur.tibia_MCF7_15.1C,ITPK1-AS1
E2_femur.tibia_MCF7_15.1C,CD200R1L
E2_femur.tibia_MCF7_15.1C,ZNF528
E2_femur.tibia_MCF7_15.1C,DPY19L2P1
E2_femur.tibia_MCF7_15.1C,PYROXD2
E2_femur.tibia_MCF7_15.1C,CEACAM19
E2_femur.tibia_MCF7_15.1C,KTN1-AS1
E2_femur.tibia_MCF7_15.1C,KAAG1
E2_femur.tibia_MCF7_15.1C,DRICH1
E2_femur.tibia_MCF7_15.1C,SYNJ2-IT1
E2_femur.tibia_MCF7_15.1C,FRG1EP
E2_femur.tibia_MCF7_15.1C,SNORD53
E2_femur.tibia_MCF7_15.1C,HOXC13-AS
E2_femur.tibia_MCF7_15.1C,LINC00645
E2_femur.tibia_MCF7_15.1C,OR8B12
E2_femur.tibia_MCF7_15.1C,B4GALT4-AS1
E2_femur.tibia_MCF7_15.1C,LINC02148
E2_femur.tibia_MCF7_15.1C,THSD4-AS1
E2_femur.tibia_MCF7_15.1C,LINC01814
E2_femur.tibia_MCF7_15.1C,ANKRD37
E2_femur.tibia_MCF7_15.1C,TP53TG5
E2_femur.tibia_MCF7_15.1C,PLS3
E2_femur.tibia_MCF7_15.1C,CABP4
E2_femur.tibia_MCF7_15.1C,LINC02466
E2_femur.tibia_MCF7_15.1C,ITFG1-AS1
E2_femur.tibia_MCF7_15.1C,ARHGAP31
E2_femur.tibia_MCF7_15.1C,GDAP1L1
E2_femur.tibia_MCF7_15.1C,DPF3
