sample  ,gene,tumor,cell_line,E2_status
Bone.6,VARS1,Bone,ZR751,ED
Bone.6,ABCF1,Bone,ZR751,ED
Bone.6,FLOT1,Bone,ZR751,ED
Bone.6,BAG6,Bone,ZR751,ED
Bone.6,RPS18,Bone,ZR751,ED
Bone.6,DHX16,Bone,ZR751,ED
Bone.6,EHMT2,Bone,ZR751,ED
Bone.6,PRPF31,Bone,ZR751,ED
Bone.6,WDR18,Bone,ZR751,ED
Bone.6,CNOT3,Bone,ZR751,ED
Bone.6,RPS9,Bone,ZR751,ED
Bone.6,EME2,Bone,ZR751,ED
Bone.6,ID3,Bone,ZR751,ED
Bone.6,ID1,Bone,ZR751,ED
Bone.6,KRT81,Bone,ZR751,ED
Bone.6,PCAT14,Bone,ZR751,ED
Bone.6,RNA5S17,Bone,ZR751,ED
Bone.5,H2AW,Bone,MCF7,ED
Bone.5,RNA5S17,Bone,MCF7,ED
Bone.5,RNA5S9,Bone,MCF7,ED
Bone.5,RNA5S13,Bone,MCF7,ED
Bone.5,RNA5S12,Bone,MCF7,ED
Bone.5,RNA5S10,Bone,MCF7,ED
Bone.5,RNA5S11,Bone,MCF7,ED
Bone.5,RNA5S14,Bone,MCF7,ED
Bone.5,RNA5S15,Bone,MCF7,ED
Bone.5,RNA5S16,Bone,MCF7,ED
Bone.5,RNVU1-2,Bone,MCF7,ED
Bone.5,RNU1-1,Bone,MCF7,ED
Bone.5,RNU2-2P,Bone,MCF7,ED
Bone.5,RNU1-2,Bone,MCF7,ED
Bone.5,RNU6-2,Bone,MCF7,ED
Bone.5,SBK1,Bone,MCF7,ED
Bone.5,H2BC17,Bone,MCF7,ED
Bone.5,RNVU1-18,Bone,MCF7,ED
Bone.5,H2AC4,Bone,MCF7,ED
Bone.5,H2BC15,Bone,MCF7,ED
Bone.5,RNU6-7,Bone,MCF7,ED
Bone.5,RNVU1-7,Bone,MCF7,ED
Bone.5,RNVU1-17,Bone,MCF7,ED
Bone.5,FLG2,Bone,MCF7,ED
Bone.5,RNVU1-1,Bone,MCF7,ED
Bone.5,TFPT,Bone,MCF7,ED
Bone.5,HMGB1,Bone,MCF7,ED
Bone.5,PAXBP1,Bone,MCF7,ED
Bone.5,RN7SL1,Bone,MCF7,ED
Bone.5,PGK1,Bone,MCF7,ED
Bone.5,AEN,Bone,MCF7,ED
Bone.5,WFDC2,Bone,MCF7,ED
Bone.5,SIAE,Bone,MCF7,ED
Bone.5,BCL11A,Bone,MCF7,ED
Bone.5,HNRNPA3,Bone,MCF7,ED
Bone.5,HEBP1,Bone,MCF7,ED
Bone.5,GSG1,Bone,MCF7,ED
Bone.5,PNPLA4,Bone,MCF7,ED
Bone.5,RNU1-27P,Bone,MCF7,ED
Bone.5,RNU1-28P,Bone,MCF7,ED
Bone.5,MORC4,Bone,MCF7,ED
Bone.5,RNU1-3,Bone,MCF7,ED
Bone.5,RNU1-4,Bone,MCF7,ED
Bone.5,NKD1,Bone,MCF7,ED
Bone.5,GH1,Bone,MCF7,ED
Bone.5,ADCY10P1,Bone,MCF7,ED
Bone.5,LINC02610,Bone,MCF7,ED
Bone.5,RNU6-36P,Bone,MCF7,ED
Bone.5,RNU6-14P,Bone,MCF7,ED
Bone.4,AARS2,Bone,MCF7,E2
Bone.4,SPHK1,Bone,MCF7,E2
Bone.4,FGGY,Bone,MCF7,E2
Bone.4,FAH,Bone,MCF7,E2
Bone.4,CEACAM1,Bone,MCF7,E2
Bone.4,IDH3B,Bone,MCF7,E2
Bone.4,GCAT,Bone,MCF7,E2
Bone.4,HUS1,Bone,MCF7,E2
Bone.4,HTR7P1,Bone,MCF7,E2
Bone.4,JPX,Bone,MCF7,E2
Bone.4,ARHGAP24,Bone,MCF7,E2
Bone.4,RPH3AL,Bone,MCF7,E2
