sample,genes
C15_I,255239
C15_I,2312
C15_I,643236
C15_I,1840
C15_I,114815
C15_I,3562
C15_I,4922
C15_I,100302218
C15_I,3557
C15_I,137075
C15_I,54064
C15_I,5459
C15_I,727832
C15_I,196477
C15_I,388722
C15_I,283600
C15_I,100616476
C15_I,10687
C15_I,4250
C15_I,283685
C15_I,83889
C15_I,431705
C15_I,94236
C15_I,83851
C15_I,285429
C15_I,101927423
C15_I,55384
C15_I,146456
C15_I,406983
C15_I,387804
C15_I,284067
C15_I,105373801
C15_I,102546227
C15_I,100189267
C15_I,101927543
C15_I,102723623
C15_I,912
C15_I,105378957
C15_I,401136
C15_I,4920
C15_I,57393
C15_I,440243
C15_I,23040
C15_I,255101
C15_I,4829
C15_I,2892
C15_I,100129518
C15_I,101928932
C15_I,5138
C15_I,160365
C15_I,6898
C15_I,255809
C15_I,100130717
C15_I,84691
C15_I,1041
C15_I,6515
C15_I,4624
C15_I,6017
C15_I,102724163
C15_I,6304
C15_I,100873940
C15_I,100128023
C15_I,100423017
C15_I,1008
C15_I,84830
C15_I,9758
C15_I,101060569
C15_I,100653133
C15_I,6414
C15_I,283767
C15_I,6273
C15_I,259296
C15_I,100506826
C15_I,5321
C15_I,101929541
C15_I,5450
C15_I,56
C15_I,144568
C15_I,51350
C15_I,83729
C15_I,9717
C15_I,348158
C15_I,3687
C15_I,85445
C15_I,53630
C15_I,3218
C15_I,100287082
C15_I,7652
C15_I,84913
C15_I,5077
C15_I,6614
C15_I,386679
C15_I,3081
C15_I,1608
C15_I,9227
C15_I,346673
C15_I,57582
C15_I,2775
C15_I,60468
C15_I,4856
C15_I,9900
C15_I,60484
C15_I,4656
C15_I,553
C15_I,127623
C15_I,81309
C15_I,283140
C15_I,101928940
C15_I,64221
C15_I,728084
C15_I,9472
C15_I,105376746
C15_I,283914
C15_I,94150
C15_I,284124
C15_I,342574
C15_I,284422
C15_I,388555
C15_I,284950
C15_I,91353
C15_I,4057
C15_I,100506944
C15_I,2243
C15_I,2533
C15_I,101928539
C15_I,5145
C15_I,2324
C15_I,774
C15_I,101928635
C15_I,101930452
C15_I,101927581
C15_I,100422976
C15_I,80070
C15_I,3371
C15_I,390595
C15_I,79690
C15_I,389641
C15_I,10218
C15_I,83733
C15_I,344387
C15_I,100128627
C15_I,113179
C15_I,100129075
C15_I,3852
C15_I,100506068
C15_I,57692
C15_I,1307
C15_I,9148
C15_I,3651
C15_I,100189393
C15_I,5146
C15_I,4584
C15_I,23581
C15_I,115572
C15_I,3852
C15_I,100506606
C15_I,800
C15_I,117157
