sample  ,gene,tumor,cell_line,E2_status
Adrenal.3,55816,Adrenal,MCF7,E2
Adrenal.3,273,Adrenal,MCF7,E2
Adrenal.3,91156,Adrenal,MCF7,E2
Adrenal.3,54769,Adrenal,MCF7,E2
Adrenal.3,83889,Adrenal,MCF7,E2
Adrenal.3,10752,Adrenal,MCF7,E2
Adrenal.3,389643,Adrenal,MCF7,E2
Adrenal.3,22989,Adrenal,MCF7,E2
Adrenal.3,222256,Adrenal,MCF7,E2
Adrenal.3,79895,Adrenal,MCF7,E2
Adrenal.3,8618,Adrenal,MCF7,E2
Adrenal.3,1770,Adrenal,MCF7,E2
Adrenal.3,123041,Adrenal,MCF7,E2
Adrenal.3,728194,Adrenal,MCF7,E2
Adrenal.3,53340,Adrenal,MCF7,E2
Adrenal.3,101927774,Adrenal,MCF7,E2
Adrenal.3,57709,Adrenal,MCF7,E2
Adrenal.3,440730,Adrenal,MCF7,E2
Adrenal.3,79747,Adrenal,MCF7,E2
Adrenal.3,342538,Adrenal,MCF7,E2
Adrenal.3,3778,Adrenal,MCF7,E2
Adrenal.3,114795,Adrenal,MCF7,E2
Adrenal.3,168507,Adrenal,MCF7,E2
Adrenal.3,161142,Adrenal,MCF7,E2
Adrenal.3,344658,Adrenal,MCF7,E2
Adrenal.3,114815,Adrenal,MCF7,E2
Adrenal.3,89766,Adrenal,MCF7,E2
Adrenal.3,6898,Adrenal,MCF7,E2
Adrenal.3,256076,Adrenal,MCF7,E2
Adrenal.3,1769,Adrenal,MCF7,E2
Adrenal.3,54768,Adrenal,MCF7,E2
Adrenal.3,167838,Adrenal,MCF7,E2
Adrenal.3,1384,Adrenal,MCF7,E2
Adrenal.3,5175,Adrenal,MCF7,E2
Adrenal.3,23114,Adrenal,MCF7,E2
Adrenal.3,641455,Adrenal,MCF7,E2
Adrenal.3,57451,Adrenal,MCF7,E2
Adrenal.3,5125,Adrenal,MCF7,E2
Adrenal.3,3827,Adrenal,MCF7,E2
Adrenal.3,3479,Adrenal,MCF7,E2
Adrenal.3,5923,Adrenal,MCF7,E2
Adrenal.3,4916,Adrenal,MCF7,E2
Adrenal.3,285401,Adrenal,MCF7,E2
Adrenal.3,50939,Adrenal,MCF7,E2
Adrenal.3,653641,Adrenal,MCF7,E2
Adrenal.3,400579,Adrenal,MCF7,E2
Adrenal.3,1836,Adrenal,MCF7,E2
Adrenal.3,6098,Adrenal,MCF7,E2
Adrenal.3,9496,Adrenal,MCF7,E2
Adrenal.3,4345,Adrenal,MCF7,E2
Adrenal.3,5314,Adrenal,MCF7,E2
Adrenal.3,5648,Adrenal,MCF7,E2
Adrenal.3,84466,Adrenal,MCF7,E2
Adrenal.3,56999,Adrenal,MCF7,E2
Adrenal.3,9734,Adrenal,MCF7,E2
Adrenal.3,84443,Adrenal,MCF7,E2
Adrenal.3,4584,Adrenal,MCF7,E2
Adrenal.3,3603,Adrenal,MCF7,E2
Adrenal.3,200772,Adrenal,MCF7,E2
Adrenal.3,64072,Adrenal,MCF7,E2
Adrenal.3,7038,Adrenal,MCF7,E2
Adrenal.3,25769,Adrenal,MCF7,E2
Adrenal.3,26085,Adrenal,MCF7,E2
Adrenal.3,147660,Adrenal,MCF7,E2
Adrenal.3,645961,Adrenal,MCF7,E2
Adrenal.3,57578,Adrenal,MCF7,E2
Adrenal.3,126638,Adrenal,MCF7,E2
Adrenal.3,480,Adrenal,MCF7,E2
Adrenal.3,643677,Adrenal,MCF7,E2
Adrenal.3,4025,Adrenal,MCF7,E2
Adrenal.3,2570,Adrenal,MCF7,E2
Adrenal.3,9472,Adrenal,MCF7,E2
Adrenal.3,5649,Adrenal,MCF7,E2
Adrenal.3,79987,Adrenal,MCF7,E2
Adrenal.3,347688,Adrenal,MCF7,E2
Adrenal.3,26034,Adrenal,MCF7,E2
Adrenal.3,5733,Adrenal,MCF7,E2
Adrenal.3,154664,Adrenal,MCF7,E2
Adrenal.3,5104,Adrenal,MCF7,E2
Adrenal.3,105375661,Adrenal,MCF7,E2
Adrenal.3,85397,Adrenal,MCF7,E2
Adrenal.3,6515,Adrenal,MCF7,E2
Adrenal.3,100129940,Adrenal,MCF7,E2
Adrenal.3,80125,Adrenal,MCF7,E2
Adrenal.3,129530,Adrenal,MCF7,E2
Adrenal.3,80122,Adrenal,MCF7,E2
Adrenal.3,3269,Adrenal,MCF7,E2
Adrenal.3,389434,Adrenal,MCF7,E2
Adrenal.3,245972,Adrenal,MCF7,E2
Adrenal.3,4619,Adrenal,MCF7,E2
Adrenal.3,2213,Adrenal,MCF7,E2
Adrenal.3,91662,Adrenal,MCF7,E2
Adrenal.3,2321,Adrenal,MCF7,E2
Adrenal.3,10071,Adrenal,MCF7,E2
Adrenal.3,654463,Adrenal,MCF7,E2
Adrenal.3,6910,Adrenal,MCF7,E2
Adrenal.3,100131551,Adrenal,MCF7,E2
Adrenal.3,9370,Adrenal,MCF7,E2
Adrenal.3,100874095,Adrenal,MCF7,E2
Adrenal.3,128102,Adrenal,MCF7,E2
Adrenal.3,100874261,Adrenal,MCF7,E2
Adrenal.3,3745,Adrenal,MCF7,E2
Adrenal.3,89866,Adrenal,MCF7,E2
Adrenal.3,1280,Adrenal,MCF7,E2
Adrenal.3,64344,Adrenal,MCF7,E2
Adrenal.3,773,Adrenal,MCF7,E2
Adrenal.3,60677,Adrenal,MCF7,E2
Adrenal.3,1137,Adrenal,MCF7,E2
Adrenal.3,5137,Adrenal,MCF7,E2
Adrenal.3,158326,Adrenal,MCF7,E2
Adrenal.3,256158,Adrenal,MCF7,E2
Adrenal.3,100288805,Adrenal,MCF7,E2
Adrenal.3,160777,Adrenal,MCF7,E2
Adrenal.3,9892,Adrenal,MCF7,E2
Adrenal.3,92949,Adrenal,MCF7,E2
Adrenal.3,64078,Adrenal,MCF7,E2
Adrenal.3,2813,Adrenal,MCF7,E2
Adrenal.3,100996758,Adrenal,MCF7,E2
Adrenal.3,121006,Adrenal,MCF7,E2
Adrenal.3,102723955,Adrenal,MCF7,E2
Adrenal.3,9256,Adrenal,MCF7,E2
Adrenal.3,338382,Adrenal,MCF7,E2
Adrenal.3,282996,Adrenal,MCF7,E2
Adrenal.3,23316,Adrenal,MCF7,E2
Adrenal.3,10655,Adrenal,MCF7,E2
Adrenal.3,84848,Adrenal,MCF7,E2
Adrenal.3,4992,Adrenal,MCF7,E2
Adrenal.3,9103,Adrenal,MCF7,E2
Adrenal.3,81029,Adrenal,MCF7,E2
Adrenal.3,3891,Adrenal,MCF7,E2
Adrenal.3,940,Adrenal,MCF7,E2
Adrenal.3,100289574,Adrenal,MCF7,E2
Adrenal.3,83758,Adrenal,MCF7,E2
Adrenal.3,653643,Adrenal,MCF7,E2
Adrenal.3,653598,Adrenal,MCF7,E2
Adrenal.3,169792,Adrenal,MCF7,E2
Adrenal.3,3798,Adrenal,MCF7,E2
Adrenal.3,9182,Adrenal,MCF7,E2
Adrenal.3,3651,Adrenal,MCF7,E2
Adrenal.3,145407,Adrenal,MCF7,E2
Adrenal.3,116441,Adrenal,MCF7,E2
Adrenal.3,781,Adrenal,MCF7,E2
Adrenal.3,59272,Adrenal,MCF7,E2
Adrenal.3,5251,Adrenal,MCF7,E2
Adrenal.3,100128108,Adrenal,MCF7,E2
Adrenal.3,105375110,Adrenal,MCF7,E2
Adrenal.3,126868,Adrenal,MCF7,E2
Adrenal.3,283314,Adrenal,MCF7,E2
Adrenal.3,118788,Adrenal,MCF7,E2
Adrenal.3,101927620,Adrenal,MCF7,E2
Adrenal.3,53630,Adrenal,MCF7,E2
Adrenal.3,169044,Adrenal,MCF7,E2
Adrenal.3,79400,Adrenal,MCF7,E2
Adrenal.3,7018,Adrenal,MCF7,E2
Adrenal.3,375611,Adrenal,MCF7,E2
Adrenal.3,79937,Adrenal,MCF7,E2
Adrenal.3,270,Adrenal,MCF7,E2
Adrenal.3,9900,Adrenal,MCF7,E2
Adrenal.3,83988,Adrenal,MCF7,E2
Adrenal.3,729665,Adrenal,MCF7,E2
Adrenal.3,148738,Adrenal,MCF7,E2
Adrenal.3,84689,Adrenal,MCF7,E2
Adrenal.3,55195,Adrenal,MCF7,E2
Adrenal.3,83449,Adrenal,MCF7,E2
Adrenal.3,3293,Adrenal,MCF7,E2
Adrenal.3,654502,Adrenal,MCF7,E2
Adrenal.3,81030,Adrenal,MCF7,E2
Adrenal.3,10350,Adrenal,MCF7,E2
Adrenal.3,60494,Adrenal,MCF7,E2
Adrenal.3,894,Adrenal,MCF7,E2
Adrenal.3,6340,Adrenal,MCF7,E2
Adrenal.3,91646,Adrenal,MCF7,E2
Adrenal.3,79623,Adrenal,MCF7,E2
Adrenal.3,284948,Adrenal,MCF7,E2
Adrenal.3,401089,Adrenal,MCF7,E2
Adrenal.3,651746,Adrenal,MCF7,E2
Adrenal.3,27115,Adrenal,MCF7,E2
Adrenal.3,26261,Adrenal,MCF7,E2
Adrenal.3,158435,Adrenal,MCF7,E2
Adrenal.3,644353,Adrenal,MCF7,E2
Adrenal.3,8556,Adrenal,MCF7,E2
Adrenal.3,222967,Adrenal,MCF7,E2
Adrenal.3,4135,Adrenal,MCF7,E2
Adrenal.3,152273,Adrenal,MCF7,E2
Adrenal.3,101928936,Adrenal,MCF7,E2
Adrenal.3,8110,Adrenal,MCF7,E2
Adrenal.3,1113,Adrenal,MCF7,E2
Adrenal.3,148170,Adrenal,MCF7,E2
Adrenal.3,25833,Adrenal,MCF7,E2
Adrenal.3,80036,Adrenal,MCF7,E2
Adrenal.3,8515,Adrenal,MCF7,E2
Adrenal.3,7455,Adrenal,MCF7,E2
Adrenal.3,55811,Adrenal,MCF7,E2
Adrenal.3,56956,Adrenal,MCF7,E2
Adrenal.3,55753,Adrenal,MCF7,E2
Adrenal.3,338811,Adrenal,MCF7,E2
Adrenal.3,80031,Adrenal,MCF7,E2
Adrenal.3,102723320,Adrenal,MCF7,E2
